probe_country,service_id,msm_id,file_name,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_unit_observation_mass,rank_within_unit,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0337::landing_region_0377,landing_region_0337 -> landing_region_0377,5.0,5,5,4,3,2,0.5555555555555556,1,True,False,False,5.0,0.0
AE,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0377::landing_region_0663,landing_region_0377 -> landing_region_0663,2.5,4,4,3,2,1,0.2777777777777778,2,False,True,False,0.0,2.5
AE,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0337::landing_region_0663,landing_region_0337 -> landing_region_0663,1.5,3,3,2,2,1,0.16666666666666666,3,False,False,True,0.0,1.5
AF,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0485,landing_region_0132 -> landing_region_0485,6.0,6,6,4,2,1,1.0,1,True,False,False,0.0,6.0
AR,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0975,landing_region_0174 -> landing_region_0975,1.0,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
AT,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,7.0,7,7,6,3,3,1.0,1,True,False,False,2.0,5.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0625,landing_region_0041 -> landing_region_0625,19.0,19,19,14,7,4,0.1623931623931624,1,True,False,False,19.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,19.0,38,38,29,16,8,0.1623931623931624,2,False,True,False,19.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,19.0,38,38,29,16,8,0.1623931623931624,3,False,False,True,19.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0009::landing_region_0945,landing_region_0009 -> landing_region_0945,13.0,13,13,10,5,4,0.1111111111111111,4,False,False,False,13.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0041,landing_region_0041 -> landing_region_0041,12.0,12,12,10,5,2,0.10256410256410256,5,False,False,False,12.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0009::landing_region_0735,landing_region_0009 -> landing_region_0735,11.0,11,11,8,4,3,0.09401709401709402,6,False,False,False,11.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0735::landing_region_0945,landing_region_0735 -> landing_region_0945,10.0,10,10,8,4,2,0.08547008547008547,7,False,False,False,10.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0266,landing_region_0041 -> landing_region_0266,5.0,5,5,4,2,1,0.042735042735042736,8,False,False,False,0.0,5.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0009::landing_region_0041,landing_region_0009 -> landing_region_0041,3.0,3,3,2,1,1,0.02564102564102564,9,False,False,False,3.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0735,landing_region_0041 -> landing_region_0735,3.0,3,3,2,1,1,0.02564102564102564,10,False,False,False,3.0,0.0
AU,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0089::landing_region_0635,landing_region_0089 -> landing_region_0635,3.0,3,3,2,2,1,0.02564102564102564,11,False,False,False,0.0,3.0
AX,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0415::landing_region_0693,landing_region_0415 -> landing_region_0693,4.5,9,9,2,1,1,0.5,1,True,False,False,3.0,1.5
