probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
?,D-Root,all_publicly_visible,17,0,0,10,7,10,7,0.0,0.0,0.5882352941176471,0.4117647058823529
?,D-Root,resolved_entry_only,17,0,0,10,7,10,7,0.0,0.0,0.5882352941176471,0.4117647058823529
AD,D-Root,all_publicly_visible,14,0,0,4,10,8,6,0.0,0.0,0.2857142857142857,0.7142857142857143
AD,D-Root,resolved_entry_only,14,0,0,4,10,8,6,0.0,0.0,0.2857142857142857,0.7142857142857143
AE,D-Root,all_publicly_visible,162,6,0,100,56,123,39,0.037037037037037035,0.0,0.6172839506172839,0.345679012345679
AE,D-Root,resolved_entry_only,156,6,0,98,52,119,37,0.038461538461538464,0.0,0.6282051282051282,0.3333333333333333
AF,D-Root,all_publicly_visible,76,4,0,20,52,54,22,0.05263157894736842,0.0,0.2631578947368421,0.6842105263157895
AF,D-Root,resolved_entry_only,76,4,0,20,52,54,22,0.05263157894736842,0.0,0.2631578947368421,0.6842105263157895
AL,D-Root,all_publicly_visible,558,0,0,424,134,368,190,0.0,0.0,0.7598566308243727,0.24014336917562723
AL,D-Root,resolved_entry_only,542,0,0,420,122,356,186,0.0,0.0,0.7749077490774908,0.22509225092250923
AM,D-Root,all_publicly_visible,181,0,0,132,49,142,39,0.0,0.0,0.7292817679558011,0.27071823204419887
AM,D-Root,resolved_entry_only,180,0,0,132,48,141,39,0.0,0.0,0.7333333333333333,0.26666666666666666
AO,D-Root,all_publicly_visible,148,0,0,57,91,108,40,0.0,0.0,0.38513513513513514,0.6148648648648649
AO,D-Root,resolved_entry_only,148,0,0,57,91,108,40,0.0,0.0,0.38513513513513514,0.6148648648648649
AR,D-Root,all_publicly_visible,554,0,0,371,183,387,167,0.0,0.0,0.6696750902527075,0.3303249097472924
AR,D-Root,resolved_entry_only,550,0,0,371,179,383,167,0.0,0.0,0.6745454545454546,0.32545454545454544
AT,D-Root,all_publicly_visible,2316,0,0,1773,543,1643,673,0.0,0.0,0.7655440414507773,0.2344559585492228
AT,D-Root,resolved_entry_only,2254,0,0,1723,531,1598,656,0.0,0.0,0.764418811002662,0.23558118899733807
AU,D-Root,all_publicly_visible,2730,49,0,1375,1306,1669,1061,0.017948717948717947,0.0,0.5036630036630036,0.4783882783882784
AU,D-Root,resolved_entry_only,2704,47,0,1361,1296,1648,1056,0.017381656804733726,0.0,0.5033284023668639,0.47928994082840237
AX,D-Root,all_publicly_visible,48,2,0,42,4,29,19,0.041666666666666664,0.0,0.875,0.08333333333333333
AX,D-Root,resolved_entry_only,48,2,0,42,4,29,19,0.041666666666666664,0.0,0.875,0.08333333333333333
AZ,D-Root,all_publicly_visible,103,0,0,53,50,75,28,0.0,0.0,0.5145631067961165,0.4854368932038835
AZ,D-Root,resolved_entry_only,101,0,0,53,48,75,26,0.0,0.0,0.5247524752475248,0.4752475247524752
BA,D-Root,all_publicly_visible,138,0,0,102,36,101,37,0.0,0.0,0.7391304347826086,0.2608695652173913
BA,D-Root,resolved_entry_only,138,0,0,102,36,101,37,0.0,0.0,0.7391304347826086,0.2608695652173913
BB,D-Root,all_publicly_visible,14,0,0,10,4,12,2,0.0,0.0,0.7142857142857143,0.2857142857142857
BB,D-Root,resolved_entry_only,14,0,0,10,4,12,2,0.0,0.0,0.7142857142857143,0.2857142857142857
BD,D-Root,all_publicly_visible,80,0,0,32,48,66,14,0.0,0.0,0.4,0.6
BD,D-Root,resolved_entry_only,80,0,0,32,48,66,14,0.0,0.0,0.4,0.6
BE,D-Root,all_publicly_visible,1642,0,0,1065,577,1195,447,0.0,0.0,0.6485992691839221,0.351400730816078
BE,D-Root,resolved_entry_only,1642,0,0,1065,577,1195,447,0.0,0.0,0.6485992691839221,0.351400730816078
BF,D-Root,all_publicly_visible,46,0,0,22,24,24,22,0.0,0.0,0.4782608695652174,0.5217391304347826
BF,D-Root,resolved_entry_only,46,0,0,22,24,24,22,0.0,0.0,0.4782608695652174,0.5217391304347826
BG,D-Root,all_publicly_visible,701,0,0,513,188,545,156,0.0,0.0,0.7318116975748931,0.268188302425107
BG,D-Root,resolved_entry_only,699,0,0,511,188,543,156,0.0,0.0,0.7310443490701002,0.26895565092989987
BH,D-Root,all_publicly_visible,70,0,0,19,51,44,26,0.0,0.0,0.2714285714285714,0.7285714285714285
BH,D-Root,resolved_entry_only,70,0,0,19,51,44,26,0.0,0.0,0.2714285714285714,0.7285714285714285
BI,D-Root,all_publicly_visible,18,0,0,16,2,16,2,0.0,0.0,0.8888888888888888,0.1111111111111111
BI,D-Root,resolved_entry_only,18,0,0,16,2,16,2,0.0,0.0,0.8888888888888888,0.1111111111111111
BJ,D-Root,all_publicly_visible,134,5,0,103,26,94,40,0.03731343283582089,0.0,0.7686567164179104,0.19402985074626866
BJ,D-Root,resolved_entry_only,120,5,0,91,24,82,38,0.041666666666666664,0.0,0.7583333333333333,0.2
BL,D-Root,all_publicly_visible,4,2,0,2,0,3,1,0.5,0.0,0.5,0.0
BL,D-Root,resolved_entry_only,4,2,0,2,0,3,1,0.5,0.0,0.5,0.0
BO,D-Root,all_publicly_visible,256,0,0,152,104,169,87,0.0,0.0,0.59375,0.40625
BO,D-Root,resolved_entry_only,256,0,0,152,104,169,87,0.0,0.0,0.59375,0.40625
BR,D-Root,all_publicly_visible,1388,5,0,849,534,980,408,0.0036023054755043226,0.0,0.611671469740634,0.38472622478386165
BR,D-Root,resolved_entry_only,1251,5,0,760,486,879,372,0.003996802557953637,0.0,0.6075139888089528,0.38848920863309355
BT,D-Root,all_publicly_visible,12,0,0,10,2,8,4,0.0,0.0,0.8333333333333334,0.16666666666666666
BT,D-Root,resolved_entry_only,12,0,0,10,2,8,4,0.0,0.0,0.8333333333333334,0.16666666666666666
BW,D-Root,all_publicly_visible,20,0,0,14,6,11,9,0.0,0.0,0.7,0.3
BW,D-Root,resolved_entry_only,20,0,0,14,6,11,9,0.0,0.0,0.7,0.3
BY,D-Root,all_publicly_visible,375,0,0,300,75,246,129,0.0,0.0,0.8,0.2
BY,D-Root,resolved_entry_only,375,0,0,300,75,246,129,0.0,0.0,0.8,0.2
CA,D-Root,all_publicly_visible,4483,185,6,3155,1137,3017,1466,0.041267008699531565,0.0013383894713361588,0.7037697970109302,0.2536248048182021
CA,D-Root,resolved_entry_only,4443,185,6,3141,1111,2989,1454,0.041638532523069996,0.0013504388926401081,0.7069547602970966,0.25005626828719335
CD,D-Root,all_publicly_visible,28,0,0,22,6,21,7,0.0,0.0,0.7857142857142857,0.21428571428571427
CD,D-Root,resolved_entry_only,28,0,0,22,6,21,7,0.0,0.0,0.7857142857142857,0.21428571428571427
CG,D-Root,all_publicly_visible,48,0,0,18,30,35,13,0.0,0.0,0.375,0.625
