unit_id,num_links,num_links_with_feasible_candidates,avg_feasible_candidates_per_link,median_feasible_candidates_per_link,max_feasible_candidates_per_link,avg_feasible_corridors_per_link,median_feasible_corridors_per_link,max_feasible_corridors_per_link,share_links_with_parallel_ambiguity,share_links_with_many_candidates,share_links_with_large_landing_radius,share_links_with_rtt_inconclusive,share_links_with_multi_segment_possible,share_links_with_domestic_submarine_candidate,share_links_with_only_low_support_feasible_candidates
probe_country=AE|service_id=E-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.5
probe_country=AF|service_id=E-Root,4,4,3.0,3.0,3,1.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
probe_country=AT|service_id=E-Root,8,8,2.0,2.0,2,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
probe_country=AU|service_id=E-Root,488,488,2.971311475409836,3.0,3,1.0,1.0,1,0.0,0.0,0.0,0.9057377049180327,0.004098360655737705,1.0,0.6762295081967213
probe_country=AX|service_id=E-Root,6,6,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
probe_country=BB|service_id=E-Root,2,2,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5
probe_country=BH|service_id=E-Root,6,6,4.0,4.0,4,1.0,1.0,1,1.0,0.0,0.0,1.0,0.0,1.0,0.16666666666666666
probe_country=BJ|service_id=E-Root,2,2,2.0,2.0,2,1.0,1.0,1,1.0,0.0,0.0,0.5,0.0,0.0,1.0
probe_country=BL|service_id=E-Root,2,2,5.0,5.0,5,3.0,3.0,3,0.0,1.0,0.0,1.0,0.0,1.0,1.0
probe_country=BR|service_id=E-Root,1,1,1.0,1.0,1,1.0,1.0,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0
