probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
AD,6,4,0,0.0,0.6666666666666666,1,3,1,1,1
AE,38,29,3,0.07894736842105263,0.7631578947368421,1,19,13,1,1
AF,12,12,4,0.3333333333333333,1.0,1,6,2,1,1
AL,46,42,0,0.0,0.9130434782608695,1,23,14,1,1
AM,28,28,0,0.0,1.0,1,14,7,1,1
AO,19,19,0,0.0,1.0,1,10,4,1,1
AR,101,93,0,0.0,0.9207920792079208,1,51,39,1,1
AT,410,403,6,0.014634146341463415,0.9829268292682927,1,205,80,1,1
AU,481,352,14,0.029106029106029108,0.7318087318087318,1,241,71,1,1
AX,4,4,2,0.5,1.0,1,2,2,1,1
AZ,18,14,0,0.0,0.7777777777777778,1,9,8,1,1
BA,30,28,0,0.0,0.9333333333333333,1,15,6,1,1
BB,2,2,1,0.5,1.0,1,1,1,1,1
BD,18,18,0,0.0,1.0,1,9,6,1,1
BE,293,257,0,0.0,0.8771331058020477,1,146,25,1,1
BF,8,6,0,0.0,0.75,1,4,3,1,1
BG,166,157,0,0.0,0.9457831325301205,1,83,51,1,1
BH,10,4,2,0.2,0.4,1,5,2,1,1
BI,2,2,0,0.0,1.0,1,1,1,1,1
BJ,14,14,0,0.0,1.0,1,7,4,1,1
BL,2,2,0,0.0,1.0,1,1,1,1,1
BO,36,36,2,0.05555555555555555,1.0,1,18,9,1,1
BR,174,139,12,0.06896551724137931,0.7988505747126436,1,87,58,1,1
BT,4,2,0,0.0,0.5,1,2,2,1,1
BW,2,2,0,0.0,1.0,1,1,1,1,1
BY,45,45,0,0.0,1.0,1,23,14,1,1
BZ,2,2,0,0.0,1.0,1,1,1,1,1
CA,540,514,37,0.06851851851851852,0.9518518518518518,1,270,85,1,1
CD,6,6,0,0.0,1.0,1,3,3,1,1
CG,4,4,0,0.0,1.0,1,2,2,1,1
CH,644,609,165,0.2562111801242236,0.9456521739130435,1,323,81,1,1
CI,2,2,0,0.0,1.0,1,1,1,1,1
CK,2,2,0,0.0,1.0,1,1,1,1,1
CL,151,139,8,0.052980132450331126,0.9205298013245033,1,75,33,1,1
CM,4,4,2,0.5,1.0,1,2,2,1,1
CN,98,91,26,0.2653061224489796,0.9285714285714286,1,49,22,1,1
CO,62,48,0,0.0,0.7741935483870968,1,31,22,1,1
CR,32,16,0,0.0,0.5,1,16,8,1,1
CU,2,2,2,1.0,1.0,1,1,1,1,1
CV,8,8,2,0.25,1.0,1,4,2,1,1
CW,4,4,1,0.25,1.0,1,2,2,1,1
CY,26,24,8,0.3076923076923077,0.9230769230769231,1,13,6,1,1
CZ,548,517,0,0.0,0.9434306569343066,1,276,112,1,1
DE,3184,3101,29,0.009108040201005025,0.9739321608040201,1,1594,376,1,1
DJ,6,6,4,0.6666666666666666,1.0,1,3,2,1,1
DK,216,203,97,0.44907407407407407,0.9398148148148148,1,108,35,1,1
DO,17,15,3,0.17647058823529413,0.8823529411764706,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,46,18,0,0.0,0.391304347826087,1,23,19,1,1
EE,76,56,8,0.10526315789473684,0.7368421052631579,1,38,22,1,1
EG,4,4,0,0.0,1.0,1,2,1,1,1
ES,458,421,16,0.034934497816593885,0.9192139737991266,1,230,73,1,1
ET,2,2,1,0.5,1.0,1,1,1,1,1
FI,281,249,70,0.2491103202846975,0.8861209964412812,1,141,49,1,1
FJ,4,2,0,0.0,0.5,1,2,2,1,1
FM,4,2,2,0.5,0.5,1,2,1,1,1
FR,1897,1809,8,0.004217185028993147,0.9536109646810754,1,949,162,1,1
GB,1048,972,3,0.0028625954198473282,0.9274809160305344,1,525,186,1,1
GE,20,20,0,0.0,1.0,1,10,6,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,0,0.0,1.0,1,1,1,1,1
GH,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
GP,4,4,4,1.0,1.0,1,2,2,1,1
GQ,2,2,2,1.0,1.0,1,1,1,1,1
GR,146,110,0,0.0,0.7534246575342466,1,73,26,1,1
GT,8,8,2,0.25,1.0,1,4,3,1,1
GU,18,18,16,0.8888888888888888,1.0,1,9,5,1,1
HK,98,83,4,0.04081632653061224,0.8469387755102041,1,49,32,1,1
HN,18,18,8,0.4444444444444444,1.0,1,9,6,1,1
HR,84,83,0,0.0,0.9880952380952381,1,42,20,1,1
HT,2,2,0,0.0,1.0,1,1,1,1,1
HU,110,102,0,0.0,0.9272727272727272,1,55,23,1,1
ID,158,157,53,0.33544303797468356,0.9936708860759493,1,78,57,1,1
IE,176,166,0,0.0,0.9431818181818182,1,88,25,1,1
IL,60,44,30,0.5,0.7333333333333333,1,30,12,1,1
IM,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
IN,269,197,5,0.01858736059479554,0.7323420074349443,1,135,59,1,1
IQ,16,10,2,0.125,0.625,1,8,6,1,1
IR,88,33,0,0.0,0.375,1,44,22,1,1
IS,20,18,0,0.0,0.9,1,10,7,1,1
IT,611,571,6,0.009819967266775777,0.9345335515548282,1,307,102,1,1
JO,4,2,0,0.0,0.5,1,2,2,1,1
JP,451,418,109,0.24168514412416853,0.926829268292683,1,225,99,1,1
KE,30,26,4,0.13333333333333333,0.8666666666666667,1,15,10,1,1
KG,40,36,0,0.0,0.9,1,20,13,1,1
KH,6,6,0,0.0,1.0,1,3,3,1,1
KI,4,4,0,0.0,1.0,1,2,1,1,1
KN,2,2,0,0.0,1.0,1,1,1,1,1
KR,44,38,0,0.0,0.8636363636363636,1,22,12,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,107,107,0,0.0,1.0,1,54,20,1,1
LA,2,2,0,0.0,1.0,1,1,1,1,1
