metric,value
candidate_rows,4702.0
unique_links,1691.0
unique_units,50.0
units_with_network_layer_diversity,88.0
units_with_physical_diversity_cable,50.0
units_with_physical_diversity_corridor,50.0
units_with_network_physical_mismatch_cable,50.0
units_with_network_physical_mismatch_corridor,50.0
median_network_layer_diversity_score,3.7997503925480602
median_cable_physical_candidate_diversity_score,1.2388742396397858
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,11.0
cable_mismatch_network_high_physical_high,14.0
cable_mismatch_network_low_physical_low,14.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,18.0
corridor_mismatch_network_low_physical_low,19.0
corridor_mismatch_network_low_physical_high,6.0
cable_corridor_target_quadrant_preserved,6.0
cable_corridor_target_quadrant_jaccard,0.5
cable_corridor_target_quadrant_recall_from_cable,0.5454545454545454
cable_corridor_target_quadrant_precision_to_corridor,0.8571428571428571
mean_corridor_minus_cable_physical_diversity,-0.4797919071761102
cable_corridor_quadrant_agreement_rate,0.74
spearman_cable_corridor_physical_diversity_score,0.5774823758646411
