country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
SG,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,622.0,622.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9951768488745981,0.9983922829581994,1.0,0.0336097741654095,0.030592934843425002,1.034180963847565,severe_corridor_observation_concentration,True,True,True,True,auditable,,134.0,61.0,1.0,0.9951768488745981,0.00482315112540193,country_corridor_concentration_summary,,,,,
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,68.0,68.00000000000001,3.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.9509803921568628,0.9754901960784315,1.0,0.2295961605960464,0.2089874316574364,1.2580918402680248,severe_corridor_observation_concentration,True,True,True,True,auditable,,11.0,6.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,IL,E-Root,resolved_entry_only,0.29411764705882354,True
CA,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,407.0,407.0,8.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.9095823095823097,0.948894348894349,0.9783783783783785,0.43146800853353384,0.20749225207118877,1.5395158879546258,severe_corridor_observation_concentration,True,True,True,True,auditable,,73.0,23.0,1.0,0.9606879606879607,0.03931203931203931,country_corridor_concentration_summary,,,,,
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,417.0,417.0,9.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.8829736211031176,0.9213429256594725,0.9549160671462831,0.54401012593928,0.2475896781560693,1.722902081924426,severe_corridor_observation_concentration,True,True,True,True,auditable,,78.0,26.0,1.0,0.9376498800959233,0.06235011990407674,service_country_corridor_concentration_summary,CA,E-Root,all_publicly_visible,0.2158273381294964,True
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,34.0,34.0,2.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.8529411764705882,1.0,1.0,0.4175732119168012,0.6024308020404453,1.5182725554736363,severe_corridor_observation_concentration,True,True,True,True,auditable,,16.0,7.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,SE,E-Root,resolved_entry_only,0.14705882352941177,True
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,210.0,210.0,11.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8476190476190476,0.8952380952380952,0.919047619047619,0.7384565583409659,0.3079603044878515,2.0927030555042783,severe_corridor_observation_concentration,True,True,True,True,auditable,,40.0,18.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,NO,E-Root,resolved_entry_only,0.3,True
NZ,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,103.0,103.0,6.0,landing_region_0850a0fd663e::landing_region_202dc066a01e,0.8349514563106796,0.8737864077669902,0.9126213592233009,0.7085976189251253,0.3954758610710236,2.0311408269620443,severe_corridor_observation_concentration,True,True,True,True,auditable,,27.0,12.0,1.0,0.9611650485436893,0.038834951456310676,country_corridor_concentration_summary,,,,,
IL,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,158.0,158.0,3.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.8259493670886076,0.9177215189873418,1.0,0.5826348864685917,0.5303371284649862,1.7907506445916241,severe_corridor_observation_concentration,True,True,True,True,auditable,,31.0,11.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,158.0,158.0,3.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.8259493670886076,0.9177215189873418,1.0,0.5826348864685917,0.5303371284649862,1.7907506445916241,severe_corridor_observation_concentration,True,True,True,True,auditable,,31.0,11.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,IL,E-Root,all_publicly_visible,0.12658227848101267,True
NO,5013,dns-root_e-root_msm5013_20260701T000000Z_010000Z.json,471.0,471.0,19.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8259023354564756,0.8895966029723992,0.9171974522292994,0.8575388745220637,0.2912401583424323,2.3573518098421964,severe_corridor_observation_concentration,True,True,True,True,auditable,,85.0,32.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
