country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,34,34.0,3,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.8823529411764706,0.9411764705882353,1.0,0.4437572842601484,0.40392528723498305,1.5585521545710281,severe_corridor_observation_concentration,True,True,True,True,auditable,,10,6,1,0.8823529411764706,0.11764705882352941,transition_near_country
AU,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,156,156.0,6,landing_region_149acfcae34c::landing_region_58084817cbe7,0.5512820512820513,0.7115384615384616,0.8461538461538463,1.3131091563745743,0.7328601739943934,3.7177147179314507,weak_corridor_observation_concentration,True,True,True,True,auditable,,78,38,1,0.9487179487179487,0.05128205128205128,transition_near_country
AX,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BH,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,13,13.0,3,landing_region_05a5445633a9::landing_region_ca49ab31c10b,0.46153846153846156,0.7307692307692308,1.0,1.0634187732433902,0.9679654817375236,2.8962557243827907,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.46153846153846156,0.5384615384615384,transition_near_country
BJ,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2.0,2,landing_region_343850da3642::landing_region_8afa8229a8fd,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BR,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59,59.0,3,landing_region_a33078e57a08::landing_region_bd03623e84bf,0.9661016949152542,0.983050847457627,1.0,0.17153876142149294,0.1561413095328253,1.1871301566928694,severe_corridor_observation_concentration,True,True,True,True,auditable,,33,13,1,0.01694915254237288,0.9830508474576272,transition_near_country
CA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,289,289.0,8,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.4809688581314879,0.7439446366782007,0.9792387543252594,1.1565982144791365,0.55620616944336,3.179100243558406,weak_corridor_observation_concentration,True,True,True,True,auditable,,96,28,1,0.49480968858131485,0.5051903114186851,transition_near_country
CM,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_30beda532e6f::landing_region_99a747248ab4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,8,8.0,3,landing_region_271ad44782a4::landing_region_7a7da5f2aeb1,0.4375,0.875,1.0,0.9832739442463889,0.895014514573153,2.673193818477041,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,1,0.125,0.875,transition_near_country
CO,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,7,7.0,3,landing_region_61312bef9df1::landing_region_bd03623e84bf,0.42857142857142855,0.7142857142857142,1.0,1.0789922078775833,0.9821410328348751,2.941713421083178,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.0,1.0,transition_near_country
CV,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,4,4.0,4,landing_region_1ad4dd854de2::landing_region_d02d22941d60,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.75,0.25,transition_near_country
CW,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_83c1ffe3b901::landing_region_bd03623e84bf,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,7,1,0.0,1.0,transition_near_country
CY,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,18,18.0,1,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,1,0.0,1.0,transition_near_country
DK,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,389,389.0,3,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9717223650385605,0.9858611825192802,1.0,0.14830367534382716,0.13499182275088278,1.1598650653102556,severe_corridor_observation_concentration,True,True,True,True,auditable,,98,35,1,0.9305912596401028,0.06940874035989718,transition_near_country
DO,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,7,7.0,2,landing_region_508245093782::landing_region_bd03623e84bf,0.5714285714285714,1.0,1.0,0.6829081047004717,0.9852281360342515,1.9796263300525183,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0,transition_near_country
EE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59,59.0,3,landing_region_5631d1801aee::landing_region_65aa8d7cf62e,0.7796610169491526,0.8898305084745763,1.0,0.680064011054549,0.6190209394790376,1.9740040862696229,moderate_corridor_observation_concentration,True,True,True,True,auditable,,32,16,1,0.0,1.0,transition_near_country
ES,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,10,10.0,2,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.6,1.0,1.0,0.6730116670092565,0.9709505944546688,1.9601317042077895,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,1,0.4,0.6,transition_near_country
FI,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,64,64.0,7,landing_region_5ff6ee2e39f7::landing_region_65aa8d7cf62e,0.3125,0.5,0.6875,1.7272712002055204,0.8876418066086268,5.625282675249536,broad_corridor_observation_distribution,False,False,True,True,auditable,,29,15,1,0.46875,0.53125,transition_near_country
FJ,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_1cece50a3587::landing_region_58084817cbe7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
GG,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0389fb1be871::landing_region_da27bcef4ab9,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
GH,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_2e263771884f::landing_region_30beda532e6f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
