country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,34,4,5384->5384,0.4411764705882353,0.8235294117647058,0.9411764705882353,1.147049746112262,0.8274214901845525,3.148889169725539,moderate_network_transition_concentration,0.0,True,True,auditable,,10,6,0.8823529411764706,0.11764705882352941,transition_near_country
AU,156,15,COUNTRY_FALLBACK:AU->AU,0.2948717948717949,0.4871794871794872,0.6346153846153846,2.0763301862091756,0.7667251461454014,7.975147838237956,broad_network_transition_distribution,0.2948717948717949,True,True,auditable,,78,38,0.9487179487179487,0.05128205128205128,transition_near_country
AX,2,1,3238->3238,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BH,7,1,6453->6453,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0,transition_near_country
BJ,2,1,28683->174,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BR,59,4,12956->12956,0.9322033898305084,0.9661016949152542,0.983050847457627,0.31839134985646866,0.22967081074993517,1.3749142284399563,severe_network_transition_concentration,0.01694915254237288,True,True,auditable,,33,13,0.01694915254237288,0.9830508474576272,transition_near_country
CA,289,24,852->3257,0.17993079584775087,0.32179930795847755,0.43252595155709345,2.6496105029432124,0.8337210898196532,14.148526762482536,broad_network_transition_distribution,0.11072664359861592,True,True,auditable,,96,28,0.49480968858131485,0.5051903114186851,transition_near_country
CM,2,1,60171->60171,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,8,2,9808->58453,0.875,1.0,1.0,0.37677016125643675,0.5435644431995964,1.4575692649810903,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,4,0.125,0.875,transition_near_country
CO,7,2,23520->23520,0.7142857142857143,1.0,1.0,0.5982695885852573,0.8631205685666311,1.8189685116531733,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0,transition_near_country
