probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
AD,6,6,0,0.0,1.0,1,3,1,1,1
AE,35,33,12,0.34285714285714286,0.9428571428571428,1,19,13,1,1
AF,12,12,4,0.3333333333333333,1.0,1,6,2,1,1
AL,44,37,0,0.0,0.8409090909090909,1,23,14,1,1
AM,26,26,0,0.0,1.0,1,14,7,1,1
AO,18,16,15,0.8333333333333334,0.8888888888888888,1,10,4,1,1
AR,94,77,22,0.23404255319148937,0.8191489361702128,1,50,38,1,1
AT,385,377,4,0.01038961038961039,0.9792207792207792,1,205,81,1,1
AU,457,379,281,0.6148796498905909,0.8293216630196937,1,241,71,1,1
AX,4,4,2,0.5,1.0,1,2,2,1,1
AZ,18,11,8,0.4444444444444444,0.6111111111111112,1,9,8,1,1
BA,29,27,0,0.0,0.9310344827586207,1,15,6,1,1
BB,2,2,1,0.5,1.0,1,1,1,1,1
BD,16,16,7,0.4375,1.0,1,9,6,1,1
BE,279,254,0,0.0,0.910394265232975,1,146,25,1,1
BF,8,6,0,0.0,0.75,1,4,3,1,1
BG,148,143,0,0.0,0.9662162162162162,1,83,51,1,1
BH,9,9,5,0.5555555555555556,1.0,1,5,2,1,1
BI,2,2,2,1.0,1.0,1,1,1,1,1
BJ,13,13,1,0.07692307692307693,1.0,1,7,4,1,1
BL,2,2,0,0.0,1.0,1,1,1,1,1
BO,32,32,14,0.4375,1.0,1,18,9,1,1
BR,163,112,53,0.32515337423312884,0.6871165644171779,1,87,58,1,1
BT,4,2,2,0.5,0.5,1,2,2,1,1
BW,1,1,0,0.0,1.0,1,1,1,1,1
BY,43,43,0,0.0,1.0,1,23,14,1,1
BZ,2,2,2,1.0,1.0,1,1,1,1,1
CA,497,453,149,0.29979879275653926,0.9114688128772636,1,270,85,1,1
CD,6,6,0,0.0,1.0,1,3,3,1,1
CG,3,3,1,0.3333333333333333,1.0,1,2,2,1,1
CH,609,571,152,0.24958949096880131,0.9376026272577996,1,323,81,1,1
CI,2,2,2,1.0,1.0,1,1,1,1,1
CK,2,2,2,1.0,1.0,1,1,1,1,1
CL,140,115,31,0.22142857142857142,0.8214285714285714,1,75,33,1,1
CM,4,4,3,0.75,1.0,1,2,2,1,1
CN,94,83,27,0.2872340425531915,0.8829787234042553,1,49,22,1,1
CO,60,54,10,0.16666666666666666,0.9,1,31,22,1,1
CR,30,18,0,0.0,0.6,1,16,8,1,1
CU,2,2,1,0.5,1.0,1,1,1,1,1
CV,7,7,1,0.14285714285714285,1.0,1,4,2,1,1
CW,4,4,1,0.25,1.0,1,2,2,1,1
CY,25,23,16,0.64,0.92,1,13,6,1,1
CZ,520,497,0,0.0,0.9557692307692308,1,276,112,1,1
DE,2984,2882,19,0.006367292225201072,0.9658176943699732,1,1594,376,1,1
DJ,6,6,0,0.0,1.0,1,3,2,1,1
DK,195,182,78,0.4,0.9333333333333333,1,108,35,1,1
DO,17,16,7,0.4117647058823529,0.9411764705882353,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,43,36,2,0.046511627906976744,0.8372093023255814,1,23,19,1,1
EE,73,63,49,0.6712328767123288,0.863013698630137,1,38,22,1,1
EG,4,4,0,0.0,1.0,1,2,1,1,1
ES,422,404,4,0.009478672985781991,0.957345971563981,1,229,73,1,1
ET,1,1,0,0.0,1.0,1,1,1,1,1
FI,269,239,50,0.18587360594795538,0.8884758364312267,1,141,49,1,1
FJ,2,1,1,0.5,0.5,1,2,2,1,1
FM,4,2,2,0.5,0.5,1,2,1,1,1
FR,1774,1702,8,0.004509582863585118,0.9594137542277339,1,950,162,1,1
GB,972,927,4,0.00411522633744856,0.9537037037037037,1,524,186,1,1
GE,19,19,0,0.0,1.0,1,10,6,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,1,1,0,0.0,1.0,1,1,1,1,1
GH,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
GP,3,3,3,1.0,1.0,1,2,2,1,1
GQ,1,1,1,1.0,1.0,1,1,1,1,1
GR,138,128,2,0.014492753623188406,0.927536231884058,1,73,26,1,1
GT,8,4,2,0.25,0.5,1,4,3,1,1
GU,17,17,17,1.0,1.0,1,9,5,1,1
HK,94,92,68,0.723404255319149,0.9787234042553191,1,49,32,1,1
HN,16,12,10,0.625,0.75,1,9,6,1,1
HR,72,58,0,0.0,0.8055555555555556,1,42,20,1,1
HT,1,1,0,0.0,1.0,1,1,1,1,1
HU,97,88,0,0.0,0.9072164948453608,1,55,23,1,1
ID,153,152,128,0.8366013071895425,0.9934640522875817,1,79,57,1,1
IE,167,163,0,0.0,0.9760479041916168,1,88,25,1,1
IL,52,51,19,0.36538461538461536,0.9807692307692307,1,30,12,1,1
IM,6,6,2,0.3333333333333333,1.0,1,3,3,1,1
IN,251,217,206,0.8207171314741036,0.8645418326693227,1,135,59,1,1
IQ,16,12,0,0.0,0.75,1,8,6,1,1
IR,87,27,0,0.0,0.3103448275862069,1,44,22,1,1
IS,20,20,2,0.1,1.0,1,11,8,1,1
IT,581,548,8,0.013769363166953529,0.9432013769363167,1,306,102,1,1
JO,3,3,0,0.0,1.0,1,2,2,1,1
