country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,98,0.4387755102040816,0.5408163265306123,0.6020408163265306,9.00131773070106,broad_network_transition_distribution,0.1768707482993197,0.30612244897959184,0.3945578231292517,16.128889958499077,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,12,8,1.0,0.0,service_country_cross_layer_distribution_audit,NO,G-Root
NO,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,98,0.45918367346938777,0.5612244897959184,0.6224489795918368,8.280323817291427,broad_network_transition_distribution,0.1768707482993197,0.30612244897959184,0.4005102040816326,15.118945456696036,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,13,8,1.0,0.0,country_cross_layer_distribution_audit,,
SE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,235,0.2765957446808511,0.5191489361702127,0.6085106382978723,9.614195448256737,broad_network_transition_distribution,0.22269503546099292,0.39858156028368796,0.5368794326241135,8.542015607397659,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,44,32,0.46382978723404245,0.5361702127659573,country_cross_layer_distribution_audit,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,263,0.24334600760456274,0.33079847908745247,0.38783269961977185,26.15735475957693,broad_network_transition_distribution,0.34600760456273766,0.5513307984790875,0.6806083650190115,8.512710747216756,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,48,35,0.33079847908745247,0.6692015209125475,service_country_cross_layer_distribution_audit,ID,G-Root
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,175,0.13142857142857142,0.24,0.33714285714285713,23.84257693302645,broad_network_transition_distribution,0.46628571428571425,0.5977142857142856,0.712,8.491872914809035,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,36,20,0.6342857142857142,0.36571428571428566,service_country_cross_layer_distribution_audit,PH,G-Root
ID,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,174,0.16666666666666666,0.24712643678160917,0.3103448275862069,31.586745478287913,broad_network_transition_distribution,0.35919540229885055,0.5890804597701149,0.6637931034482758,7.551676125641088,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,39,26,0.5517241379310345,0.4482758620689655,country_cross_layer_distribution_audit,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,70,0.14285714285714285,0.2857142857142857,0.41428571428571426,14.144605056400842,broad_network_transition_distribution,0.380952380952381,0.5238095238095238,0.6380952380952382,7.3784720241091195,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,15,14,0.6857142857142857,0.3142857142857142,service_country_cross_layer_distribution_audit,FI,G-Root
US,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,442,0.14705882352941177,0.2239819004524887,0.28054298642533937,29.007557135442738,broad_network_transition_distribution,0.3054298642533937,0.583710407239819,0.7156862745098039,7.325547717744583,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,81,31,0.8574660633484164,0.1425339366515837,country_cross_layer_distribution_audit,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,137,0.25547445255474455,0.38686131386861317,0.5036496350364964,12.416083712012014,broad_network_transition_distribution,0.30900243309002434,0.5304136253041363,0.6581508515815085,6.945968912785774,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,30,14,0.6861313868613136,0.3138686131386861,service_country_cross_layer_distribution_audit,SE,G-Root
NZ,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,218,0.3394495412844037,0.591743119266055,0.7110091743119267,6.453582121636533,broad_network_transition_distribution,0.24770642201834864,0.47247706422018354,0.6972477064220184,6.310011767269809,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,51,12,0.463302752293578,0.536697247706422,country_cross_layer_distribution_audit,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,310,0.22580645161290322,0.4193548387096774,0.5838709677419355,9.536174338530001,broad_network_transition_distribution,0.3548387096774194,0.5032258064516129,0.635483870967742,6.296659530589324,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,59,14,0.2838709677419355,0.7161290322580646,service_country_cross_layer_distribution_audit,NZ,G-Root
PH,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,135,0.18518518518518517,0.32592592592592595,0.4148148148148148,18.53550883847955,broad_network_transition_distribution,0.634074074074074,0.697037037037037,0.7599999999999999,5.856644347907196,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,38,21,0.8370370370370369,0.16296296296296292,country_cross_layer_distribution_audit,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,409,0.21271393643031786,0.4180929095354523,0.5232273838630807,12.103472466568013,broad_network_transition_distribution,0.5427872860635696,0.6308068459657701,0.7163814180929094,5.484296846452332,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,115,42,0.43031784841075793,0.5696821515892421,service_country_cross_layer_distribution_audit,AU,G-Root
FI,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,84,0.14285714285714285,0.26190476190476186,0.38095238095238093,14.838548897388522,broad_network_transition_distribution,0.4722222222222222,0.6150793650793651,0.7301587301587301,5.43077515151046,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,25,18,0.7976190476190478,0.2023809523809524,country_cross_layer_distribution_audit,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,111,0.32432432432432434,0.5585585585585586,0.7117117117117118,7.438440011505491,broad_network_transition_distribution,0.32432432432432434,0.5405405405405406,0.6936936936936937,5.341876000921649,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,18,7,0.21621621621621623,0.7837837837837838,service_country_cross_layer_distribution_audit,ZA,G-Root
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,58,0.3448275862068966,0.5172413793103449,0.6206896551724138,6.896137049004378,broad_network_transition_distribution,0.3620689655172414,0.6206896551724138,0.7586206896551724,4.95417042368277,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,11,8,0.10344827586206896,0.896551724137931,service_country_cross_layer_distribution_audit,VN,G-Root
ZA,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,76,0.34210526315789475,0.5789473684210527,0.6578947368421053,7.612271844389661,broad_network_transition_distribution,0.3157894736842105,0.5526315789473684,0.7236842105263157,4.693621237846823,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,13,7,0.3157894736842105,0.6842105263157895,country_cross_layer_distribution_audit,,
