country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum
SG,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,1480.0,0.062162162162162166,0.11824324324324326,0.16891891891891891,3.93328027789615,0.8351746585678805,51.07424088774639,broad_network_transition_distribution,0.970945945945946,0.995945945945946,0.9972972972972973,0.14915336502283671,0.07664966704410614,1.1608510094992757,-0.7585249915237744,0.7585249915237744,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.006756756756756757,True,True,True,True,True,auditable,,395.0,205.0,0.970945945945946,0.029054054054054056,country_cross_layer_distribution_audit,,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,138.0,0.42028985507246375,0.6304347826086956,0.717391304347826,1.969699360850611,0.6952174515847291,7.168521026290987,broad_network_transition_distribution,0.9637681159420289,0.9782608695652173,0.9927536231884058,0.19399989692725514,0.13994134461496052,1.2140961578160032,-0.5552761069697686,0.5552761069697686,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,39.0,21.0,0.9637681159420289,0.036231884057971016,service_country_cross_layer_distribution_audit,TH,G-Root,all_publicly_visible
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,700.0,0.09714285714285714,0.16142857142857142,0.22428571428571428,3.62879491855539,0.8404875295842252,37.66739697433343,broad_network_transition_distribution,0.9628571428571429,0.9971428571428571,1.0,0.16882793355145395,0.15367380766888253,1.1839164091050487,-0.6868137219153427,0.6868137219153427,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0014285714285714286,True,True,True,True,True,auditable,,110.0,58.0,0.9628571428571429,0.037142857142857144,service_country_cross_layer_distribution_audit,SG,G-Root,all_publicly_visible
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,39.0,0.38461538461538464,0.5897435897435898,0.6923076923076923,1.7554830351764394,0.8442088897379184,5.786242025471523,broad_network_transition_distribution,0.9230769230769231,0.9743589743589745,1.0,0.32015200137221433,0.29141491013207854,1.377337105555524,-0.5527939796058399,0.5527939796058399,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,18.0,11.0,1.0,0.0,service_country_cross_layer_distribution_audit,SE,G-Root,all_publicly_visible
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,48.0,0.20833333333333334,0.39583333333333337,0.5625,2.031471563509743,0.9245625524417603,7.6252992186198245,broad_network_transition_distribution,0.9166666666666666,0.9583333333333333,1.0,0.3445982481028227,0.31366684285007634,1.4114227639742036,-0.610895709591684,0.610895709591684,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,13.0,12.0,0.9166666666666666,0.08333333333333333,service_country_cross_layer_distribution_audit,MY,G-Root,all_publicly_visible
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,46.0,0.30434782608695654,0.5652173913043479,0.6956521739130435,1.7778757088575647,0.8549774894952531,5.917273047229373,broad_network_transition_distribution,0.8478260869565217,0.9782608695652174,1.0,0.48887050487117023,0.44498911027460547,1.630473567565577,-0.4099883792206476,0.4099883792206476,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,14.0,11.0,0.9782608695652174,0.021739130434782608,service_country_cross_layer_distribution_audit,VN,G-Root,all_publicly_visible
EE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,59.0,0.6610169491525424,0.7796610169491526,0.864406779661017,1.1006252457095664,0.6838569150176101,3.0060449531987463,weak_network_transition_concentration,0.7796610169491526,1.0,1.0,0.5273366661854084,0.7607859931846075,1.694413504964711,0.07692907816699734,-0.07692907816699734,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,32.0,16.0,0.0,1.0,country_cross_layer_distribution_audit,,,
NO,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,337.0,0.18694362017804153,0.34124629080118696,0.44807121661721067,2.685829732143618,0.8149158594125909,14.670368808270537,broad_network_transition_distribution,0.7705242334322454,0.8170128585558853,0.8526211671612266,1.0664779656167926,0.393817649755061,2.905129494170127,-0.4210982096575299,0.4210982096575299,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,74.0,29.0,1.0,0.0,country_cross_layer_distribution_audit,,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,334.0,0.18862275449101795,0.344311377245509,0.4431137724550898,2.6895200482452015,0.8160355495706956,14.724607123209944,broad_network_transition_distribution,0.7684630738522955,0.815369261477046,0.8512974051896208,1.073703646025491,0.39648587222957693,2.9261970535040907,-0.41954967734111864,0.41954967734111864,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,72.0,27.0,1.0,0.0,service_country_cross_layer_distribution_audit,NO,G-Root,all_publicly_visible
HK,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,69.0,0.3188405797101449,0.47826086956521735,0.6231884057971014,2.09841149531979,0.8444629078918582,8.153208211029497,broad_network_transition_distribution,0.7391304347826086,1.0,1.0,0.5739644913933235,0.828055725379504,1.7752912454184924,-0.01640718251235418,0.01640718251235418,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,38.0,32.0,0.7391304347826086,0.2608695652173913,country_cross_layer_distribution_audit,,,
IL,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,58.0,0.3620689655172414,0.7068965517241379,0.7931034482758621,1.619048756179498,0.7368608438479846,5.048285881082859,broad_network_transition_distribution,0.7241379310344828,0.8793103448275862,1.0,0.7780548000754773,0.708215999494001,2.17723299026765,-0.028644844353983512,0.028644844353983512,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,20.0,9.0,1.0,0.0,country_cross_layer_distribution_audit,,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,58.0,0.3620689655172414,0.7068965517241379,0.7931034482758621,1.619048756179498,0.7368608438479846,5.048285881082859,broad_network_transition_distribution,0.7241379310344828,0.8793103448275862,1.0,0.7780548000754773,0.708215999494001,2.17723299026765,-0.028644844353983512,0.028644844353983512,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,20.0,9.0,1.0,0.0,service_country_cross_layer_distribution_audit,IL,G-Root,all_publicly_visible
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,55.0,0.6363636363636364,0.7636363636363637,0.8545454545454545,1.149222318929811,0.7140519743266994,3.1557377976187233,weak_network_transition_concentration,0.6909090909090909,0.9272727272727272,1.0,0.7870096732127946,0.7163670762930541,2.196817392532565,0.002315101966354649,-0.002315101966354649,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,27.0,14.0,0.0,1.0,service_country_cross_layer_distribution_audit,EE,G-Root,all_publicly_visible
IN,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,159.0,0.27672955974842767,0.5408805031446541,0.6981132075471698,1.8409465305675483,0.8378508731225822,6.302500948448237,broad_network_transition_distribution,0.6666666666666666,0.8616352201257862,1.0,0.8627338796491524,0.7852942193966154,2.3696301299345848,-0.05255665372596685,0.05255665372596685,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.20125786163522014,True,True,True,True,True,auditable,,85.0,43.0,0.13836477987421383,0.8616352201257862,country_cross_layer_distribution_audit,,,
SE,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,104.0,0.625,0.7692307692307692,0.8557692307692307,1.2896819834396538,0.620205933944077,3.6316314531484903,weak_network_transition_concentration,0.625,0.9807692307692308,1.0,0.7374156138320207,0.671224618037013,2.090525801146882,0.051018684092936084,-0.051018684092936084,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,62.0,45.0,0.375,0.625,country_cross_layer_distribution_audit,,,
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,38.0,0.13157894736842105,0.23684210526315788,0.3421052631578947,2.6232265411261726,0.9686772202592429,13.780114037422155,broad_network_transition_distribution,0.5,0.9210526315789473,1.0,0.9112283432526174,0.8294357824427167,2.4873760091802897,-0.1392414378165262,0.1392414378165262,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,12.0,10.0,0.9210526315789473,0.07894736842105263,service_country_cross_layer_distribution_audit,HK,G-Root,all_publicly_visible
,5014,dns-root_g-root_msm5014_20260701T000000Z_010000Z.json,298.0,0.24496644295302014,0.4563758389261745,0.6040268456375839,2.053829670069763,0.8007291310041242,7.7977066409321605,broad_network_transition_distribution,0.4865771812080537,0.825503355704698,0.9261744966442953,1.1407430828956793,0.8228721943109921,3.129092676748208,0.022143063306867883,-0.022143063306867883,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.09395973154362416,True,True,True,True,True,auditable,,110.0,48.0,0.5604026845637584,0.4395973154362416,service_country_cross_layer_distribution_audit,IN,G-Root,all_publicly_visible
