probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
?,G-Root,all_publicly_visible,14,0,0,8,6,9,5,0.0,0.0,0.5714285714285714,0.42857142857142855
AD,G-Root,all_publicly_visible,40,0,0,32,8,36,4,0.0,0.0,0.8,0.2
AE,G-Root,all_publicly_visible,220,8,6,155,51,185,35,0.03636363636363636,0.02727272727272727,0.7045454545454546,0.2318181818181818
AF,G-Root,all_publicly_visible,106,4,0,50,52,84,22,0.03773584905660377,0.0,0.4716981132075472,0.49056603773584906
AL,G-Root,all_publicly_visible,326,0,0,200,126,257,69,0.0,0.0,0.6134969325153374,0.38650306748466257
AM,G-Root,all_publicly_visible,254,0,0,206,48,206,48,0.0,0.0,0.8110236220472441,0.1889763779527559
AO,G-Root,all_publicly_visible,197,16,0,111,70,157,40,0.08121827411167512,0.0,0.5634517766497462,0.3553299492385787
AR,G-Root,all_publicly_visible,590,0,0,405,185,492,98,0.0,0.0,0.6864406779661016,0.3135593220338983
AT,G-Root,all_publicly_visible,2998,0,0,2497,501,2320,678,0.0,0.0,0.83288859239493,0.16711140760507004
AU,G-Root,all_publicly_visible,4143,138,9,2543,1453,3005,1138,0.0333091962346126,0.002172338884866039,0.6138064204682597,0.35071204441226167
AX,G-Root,all_publicly_visible,27,2,0,21,4,18,9,0.07407407407407407,0.0,0.7777777777777778,0.14814814814814814
AZ,G-Root,all_publicly_visible,140,0,8,78,54,100,40,0.0,0.05714285714285714,0.5571428571428572,0.38571428571428573
BA,G-Root,all_publicly_visible,171,0,0,135,36,148,23,0.0,0.0,0.7894736842105263,0.21052631578947367
BB,G-Root,all_publicly_visible,15,1,0,10,4,12,3,0.06666666666666667,0.0,0.6666666666666666,0.26666666666666666
BD,G-Root,all_publicly_visible,189,0,19,90,80,159,30,0.0,0.10052910052910052,0.47619047619047616,0.42328042328042326
BE,G-Root,all_publicly_visible,1540,0,0,1003,537,1312,228,0.0,0.0,0.6512987012987013,0.3487012987012987
BF,G-Root,all_publicly_visible,58,0,0,34,24,45,13,0.0,0.0,0.5862068965517241,0.41379310344827586
BG,G-Root,all_publicly_visible,758,0,0,593,165,641,117,0.0,0.0,0.7823218997361477,0.21767810026385223
BH,G-Root,all_publicly_visible,87,6,7,24,50,62,25,0.06896551724137931,0.08045977011494253,0.27586206896551724,0.5747126436781609
BI,G-Root,all_publicly_visible,24,0,0,22,2,21,3,0.0,0.0,0.9166666666666666,0.08333333333333333
BJ,G-Root,all_publicly_visible,147,0,3,121,23,114,33,0.0,0.02040816326530612,0.8231292517006803,0.1564625850340136
BL,G-Root,all_publicly_visible,14,0,0,14,0,11,3,0.0,0.0,1.0,0.0
BO,G-Root,all_publicly_visible,284,0,0,193,91,211,73,0.0,0.0,0.6795774647887324,0.3204225352112676
BR,G-Root,all_publicly_visible,1161,4,0,670,487,928,233,0.0034453057708871662,0.0,0.5770887166236004,0.41946597760551246
