country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,1.0,0.0,transition_near_country
AL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_6c6f20567c17::landing_region_ac34543a7a05,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
AU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,128,128.0,4,landing_region_149acfcae34c::landing_region_58084817cbe7,0.625,0.8125,0.9453125,1.0346754155242728,0.746360545453298,2.8141926441192884,moderate_corridor_observation_concentration,True,True,True,True,auditable,,50,29,1,1.0,0.0,transition_near_country
AX,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_3eb4f4d89687::landing_region_71db3ba08a92,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_445416594174::landing_region_8dc97f28b4d0,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BR,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7,7.0,2,landing_region_38c81e7bfa6f::landing_region_5113b57f1083,0.5714285714285714,1.0,1.0,0.6829081047004717,0.9852281360342515,1.9796263300525183,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,1.0,0.0,transition_near_country
CA,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,259,259.0,8,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.6069498069498069,0.9312741312741313,0.9776061776061776,0.9316365469963099,0.4480224754208314,2.538660416922195,moderate_corridor_observation_concentration,True,True,True,True,auditable,,56,16,1,0.5868725868725868,0.41312741312741313,transition_near_country
CN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11,11.0,1,landing_region_271ad44782a4::landing_region_319252418c1f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,4,1,0.0,1.0,transition_near_country
CO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9,9.0,4,landing_region_0c894d5ef6d3::landing_region_61312bef9df1,0.4444444444444444,0.6666666666666666,0.8888888888888888,1.2730283365896258,0.9182958340544897,3.5716523669284492,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,1,0.0,1.0,transition_near_country
CV,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,8,8.0,2,landing_region_0e3c71b8e5bb::landing_region_dffdb65405f5,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.75,0.25,transition_near_country
CW,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,13,13.0,2,landing_region_0c894d5ef6d3::landing_region_83c1ffe3b901,0.8461538461538461,1.0,1.0,0.4293230219306162,0.6193821946787638,1.5362171861003946,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,9,1,0.0,1.0,transition_near_country
CY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.0,1.0,transition_near_country
DK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,22,22.0,1,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,11,6,1,0.0,1.0,transition_near_country
DO,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0c894d5ef6d3::landing_region_bf457e1b83fe,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
EE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,49,49.0,2,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.8367346938775511,1.0,1.0,0.4450450518184774,0.6420642892306891,1.5605605003373662,severe_corridor_observation_concentration,True,True,True,True,auditable,,25,12,1,0.0,1.0,transition_near_country
ES,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,18,18.0,2,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.8333333333333334,1.0,1.0,0.45056120886630463,0.6500224216483541,1.5691925832141966,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,15,3,1,0.16666666666666666,0.8333333333333334,transition_near_country
FI,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,146,146.0,6,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.7328767123287672,0.8287671232876712,0.904109589041096,0.9638577173120502,0.5379392345152832,2.6217911187474505,moderate_corridor_observation_concentration,True,True,True,True,auditable,,71,29,1,0.1643835616438356,0.8356164383561644,transition_near_country
FJ,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,6,6.0,1,landing_region_1cece50a3587::landing_region_58084817cbe7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1,0.0,1.0,transition_near_country
GG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0389fb1be871::landing_region_6f4e74811068,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
GH,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,7,7.0,1,landing_region_2e263771884f::landing_region_30beda532e6f,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,1,0.0,1.0,transition_near_country
GP,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_24728f09c1b8::landing_region_89faef27b517,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
GU,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,12,12.0,4,landing_region_bc6c664daa8f::landing_region_df61fea74887,0.3333333333333333,0.5833333333333333,0.7916666666666666,1.3663676523001114,0.9856259180022331,3.921082063428213,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,1,0.0,1.0,transition_near_country
HK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,11,11.0,4,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.5454545454545454,0.9090909090909091,0.9545454545454545,0.9794782655903753,0.7065442182128787,2.66306646600355,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,1,0.36363636363636365,0.6363636363636364,transition_near_country
HN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,19,19.0,1,landing_region_0c894d5ef6d3::landing_region_620bdff3a2d2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,7,1,0.0,1.0,transition_near_country
ID,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,184,184.0,10,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.30978260869565216,0.5679347826086956,0.826086956521739,1.6614939527888333,0.7215776554118122,5.267173878588738,weak_corridor_observation_concentration,True,True,True,True,auditable,,63,46,1,0.7336956521739131,0.266304347826087,transition_near_country
IL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,66,66.0,3,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.7979797979797979,0.914141414141414,0.9999999999999999,0.6409387022420763,0.5834075486440363,1.898261945973263,moderate_corridor_observation_concentration,True,True,True,True,auditable,,19,8,1,1.0,0.0,transition_near_country
IN,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,139,139.0,4,landing_region_0074f164da96::landing_region_8dc97f28b4d0,0.5683453237410072,0.7913669064748201,0.9424460431654677,1.1056215071625997,0.797537332741832,3.0211015216799098,weak_corridor_observation_concentration,True,True,True,True,auditable,,80,30,1,0.1510791366906475,0.8489208633093526,transition_near_country
JP,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_a995dae8d34a::landing_region_df61fea74887,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
KY,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0c894d5ef6d3::landing_region_6a990cca53f4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
LC,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_b69228a09b14::landing_region_c92fc361db9a,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,0.0,1.0,transition_near_country
LK,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,17,17.0,3,landing_region_08ea81d123b5::landing_region_465d1b4e7da4,0.8235294117647058,0.9411764705882353,1.0,0.5783252866601273,0.5264143616682583,1.7830498315865158,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,1,0.0,1.0,transition_near_country
MM,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_a314ea9d2330::landing_region_d0ecf913edd7,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0,transition_near_country
