probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
?,2,2,0,0.0,1.0,1,1,1,1,1
AD,6,6,0,0.0,1.0,1,3,1,1,1
AE,44,32,2,0.045454545454545456,0.7272727272727273,1,22,14,1,1
AF,12,8,0,0.0,0.6666666666666666,1,6,2,1,1
AL,58,54,4,0.06896551724137931,0.9310344827586207,1,29,20,1,1
AM,42,42,0,0.0,1.0,1,21,10,1,1
AO,23,23,0,0.0,1.0,1,12,5,1,1
AR,112,108,0,0.0,0.9642857142857143,1,56,41,1,1
AT,448,435,6,0.013392857142857142,0.9709821428571429,1,224,85,1,1
AU,560,494,309,0.5517857142857143,0.8821428571428571,1,281,77,1,1
AX,4,4,4,1.0,1.0,1,2,2,1,1
AZ,18,14,0,0.0,0.7777777777777778,1,9,8,1,1
BA,30,28,0,0.0,0.9333333333333333,1,15,7,1,1
BB,2,2,1,0.5,1.0,1,1,1,1,1
BD,22,20,0,0.0,0.9090909090909091,1,11,7,1,1
BE,320,318,0,0.0,0.99375,1,160,28,1,1
BF,8,6,6,0.75,0.75,1,4,3,1,1
BG,180,178,2,0.011111111111111112,0.9888888888888889,1,90,50,1,1
BH,12,10,5,0.4166666666666667,0.8333333333333334,1,6,3,1,1
BI,2,2,0,0.0,1.0,1,1,1,1,1
BJ,20,20,1,0.05,1.0,1,10,5,1,1
BL,2,2,0,0.0,1.0,1,1,1,1,1
BO,36,36,12,0.3333333333333333,1.0,1,18,8,1,1
BR,218,192,7,0.03211009174311927,0.8807339449541285,1,109,70,1,1
BT,4,2,0,0.0,0.5,1,2,2,1,1
BW,2,2,0,0.0,1.0,1,1,1,1,1
BY,54,54,0,0.0,1.0,1,27,14,1,1
CA,621,595,118,0.19001610305958133,0.9581320450885669,1,310,96,1,1
CD,6,6,0,0.0,1.0,1,3,3,1,1
CG,6,6,0,0.0,1.0,1,3,2,1,1
CH,681,653,49,0.07195301027900147,0.9588839941262849,1,341,86,1,1
CI,4,4,2,0.5,1.0,1,2,2,1,1
CK,2,2,2,1.0,1.0,1,1,1,1,1
CL,172,168,0,0.0,0.9767441860465116,1,86,37,1,1
CM,2,2,1,0.5,1.0,1,1,1,1,1
CN,158,148,40,0.25316455696202533,0.9367088607594937,1,79,27,1,1
CO,86,80,10,0.11627906976744186,0.9302325581395349,1,43,29,1,1
CR,36,30,0,0.0,0.8333333333333334,1,18,9,1,1
CU,2,2,1,0.5,1.0,1,1,1,1,1
CV,8,8,2,0.25,1.0,1,4,2,1,1
CW,4,4,1,0.25,1.0,1,2,2,1,1
CY,28,26,6,0.21428571428571427,0.9285714285714286,1,14,7,1,1
CZ,567,559,0,0.0,0.9858906525573192,1,284,112,1,1
DE,3624,3521,22,0.006070640176600441,0.9715783664459161,1,1813,407,1,1
DJ,6,6,0,0.0,1.0,1,3,2,1,1
DK,220,210,118,0.5363636363636364,0.9545454545454546,1,110,36,1,1
DO,15,15,1,0.06666666666666667,1.0,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,52,50,13,0.25,0.9615384615384616,1,26,20,1,1
EE,84,72,50,0.5952380952380952,0.8571428571428571,1,42,22,1,1
EG,6,6,0,0.0,1.0,1,3,2,1,1
ES,502,474,23,0.045816733067729085,0.9442231075697212,1,251,79,1,1
ET,2,2,0,0.0,1.0,1,1,1,1,1
FI,353,314,145,0.41076487252124644,0.8895184135977338,1,177,62,1,1
FJ,4,2,2,0.5,0.5,1,2,2,1,1
FM,4,2,2,0.5,0.5,1,2,1,1,1
FR,2142,2055,0,0.0,0.9593837535014006,1,1072,179,1,1
GB,1225,1145,4,0.0032653061224489797,0.9346938775510204,1,613,205,1,1
GE,32,32,0,0.0,1.0,1,16,11,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,2,1.0,1.0,1,1,1,1,1
GH,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
GP,4,4,2,0.5,1.0,1,2,2,1,1
GQ,2,2,2,1.0,1.0,1,1,1,1,1
GR,152,142,0,0.0,0.9342105263157895,1,76,25,1,1
GT,8,4,0,0.0,0.5,1,4,3,1,1
GU,18,18,18,1.0,1.0,1,9,5,1,1
HK,132,102,45,0.3409090909090909,0.7727272727272727,1,66,40,1,1
HN,22,16,14,0.6363636363636364,0.7272727272727273,1,11,8,1,1
HR,94,94,0,0.0,1.0,1,47,22,1,1
HT,2,2,0,0.0,1.0,1,1,1,1,1
HU,110,104,0,0.0,0.9454545454545454,1,55,21,1,1
ID,192,182,169,0.8802083333333334,0.9479166666666666,1,95,66,1,1
IE,200,192,0,0.0,0.96,1,100,27,1,1
IL,70,68,38,0.5428571428571428,0.9714285714285714,1,35,13,1,1
IM,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
IN,307,269,137,0.44625407166123776,0.8762214983713354,1,152,63,1,1
IQ,20,20,0,0.0,1.0,1,10,8,1,1
IR,94,50,0,0.0,0.5319148936170213,1,47,24,1,1
IS,24,24,2,0.08333333333333333,1.0,1,12,9,1,1
IT,686,652,0,0.0,0.9504373177842566,1,345,117,1,1
JM,12,12,8,0.6666666666666666,1.0,1,6,3,1,1
JO,8,4,0,0.0,0.5,1,4,4,1,1
JP,585,520,30,0.05128205128205128,0.8888888888888888,1,291,118,1,1
KE,34,32,8,0.23529411764705882,0.9411764705882353,1,17,11,1,1
KG,46,40,0,0.0,0.8695652173913043,1,23,12,1,1
KH,14,12,6,0.42857142857142855,0.8571428571428571,1,7,7,1,1
KI,4,4,4,1.0,1.0,1,2,1,1,1
KN,2,2,2,1.0,1.0,1,1,1,1,1
KR,70,59,0,0.0,0.8428571428571429,1,35,14,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,146,145,38,0.2602739726027397,0.9931506849315068,1,73,23,1,1
LA,8,8,0,0.0,1.0,1,4,1,1,1
LB,8,6,1,0.125,0.75,1,4,4,1,1
LC,4,4,2,0.5,1.0,1,2,1,1,1
LI,6,6,0,0.0,1.0,1,3,3,1,1
LK,26,24,16,0.6153846153846154,0.9230769230769231,1,13,6,1,1
LR,2,2,0,0.0,1.0,1,1,1,1,1
LS,2,2,0,0.0,1.0,1,1,1,1,1
LT,86,82,0,0.0,0.9534883720930233,1,43,25,1,1
LU,94,90,0,0.0,0.9574468085106383,1,48,22,1,1
LV,62,60,0,0.0,0.967741935483871,1,31,21,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,52,52,0,0.0,1.0,1,26,14,1,1
ME,12,12,0,0.0,1.0,1,6,5,1,1
MG,4,4,0,0.0,1.0,1,2,1,1,1
MH,2,2,0,0.0,1.0,1,1,1,1,1
MK,26,24,0,0.0,0.9230769230769231,1,13,10,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,6,6,1.0,1.0,1,3,3,1,1
MN,16,16,7,0.4375,1.0,1,8,8,1,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,18,18,18,1.0,1.0,1,9,3,1,1
MU,16,14,0,0.0,0.875,1,8,4,1,1
MV,24,24,20,0.8333333333333334,1.0,1,12,4,1,1
MW,2,2,0,0.0,1.0,1,1,1,1,1
MX,113,105,4,0.035398230088495575,0.9292035398230089,1,58,27,1,1
MY,72,70,17,0.2361111111111111,0.9722222222222222,1,36,20,1,1
MZ,6,4,0,0.0,0.6666666666666666,1,3,3,1,1
NA,8,7,0,0.0,0.875,1,4,3,1,1
NC,10,10,10,1.0,1.0,1,5,2,1,1
NG,20,20,11,0.55,1.0,1,10,6,1,1
NI,14,8,0,0.0,0.5714285714285714,1,7,5,1,1
NL,1339,1285,2,0.0014936519790888724,0.9596713965646004,1,670,185,1,1
NO,186,178,156,0.8387096774193549,0.956989247311828,1,93,35,1,1
NP,31,31,0,0.0,1.0,1,16,10,1,1
NU,2,2,2,1.0,1.0,1,1,1,1,1
NZ,232,226,210,0.9051724137931034,0.9741379310344828,1,116,35,1,1
OM,4,4,0,0.0,1.0,1,2,2,1,1
PA,44,40,4,0.09090909090909091,0.9090909090909091,1,22,10,1,1
PE,46,46,25,0.5434782608695652,1.0,1,23,18,1,1
PF,12,12,0,0.0,1.0,1,6,1,1,1
