metric,value
candidate_rows,4315.0
unique_links,1434.0
unique_units,66.0
units_with_network_layer_diversity,97.0
units_with_physical_diversity_cable,66.0
units_with_physical_diversity_corridor,66.0
units_with_network_physical_mismatch_cable,66.0
units_with_network_physical_mismatch_corridor,66.0
median_network_layer_diversity_score,4.188403989244556
median_cable_physical_candidate_diversity_score,2.4301136500047944
median_corridor_physical_candidate_diversity_score,1.4508032967869628
cable_mismatch_network_high_physical_low,13.0
cable_mismatch_network_high_physical_high,20.0
cable_mismatch_network_low_physical_low,20.0
cable_mismatch_network_low_physical_high,13.0
corridor_mismatch_network_high_physical_low,12.0
corridor_mismatch_network_high_physical_high,21.0
corridor_mismatch_network_low_physical_low,21.0
corridor_mismatch_network_low_physical_high,12.0
cable_corridor_target_quadrant_preserved,9.0
cable_corridor_target_quadrant_jaccard,0.5625
cable_corridor_target_quadrant_recall_from_cable,0.6923076923076923
cable_corridor_target_quadrant_precision_to_corridor,0.75
mean_corridor_minus_cable_physical_diversity,-1.561275323842004
cable_corridor_quadrant_agreement_rate,0.7575757575757576
spearman_cable_corridor_physical_diversity_score,0.5471012312947823
