country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
NL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,162.0,162.0,1.0,landing_region_120836cdab0e::landing_region_35391ab448ed,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,126.0,18.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
CL,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,112.0,112.0,2.0,landing_region_382ef3579d8a::landing_region_8c0e5886c6bc,0.9821428571428571,1.0,1.0,0.08957802666754391,0.1292337748458849,1.0937126687378802,severe_corridor_observation_concentration,True,True,True,True,auditable,,35.0,11.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,94.0,94.0,2.0,landing_region_382ef3579d8a::landing_region_8c0e5886c6bc,0.9787234042553191,1.0,1.0,0.10296666046541245,0.14854949043034824,1.1084544531043852,severe_corridor_observation_concentration,True,True,True,True,auditable,,28.0,7.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,CL,H-Root,all_publicly_visible,0.0,True
,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,94.0,94.0,2.0,landing_region_382ef3579d8a::landing_region_8c0e5886c6bc,0.9787234042553191,1.0,1.0,0.10296666046541245,0.14854949043034824,1.1084544531043852,severe_corridor_observation_concentration,True,True,True,True,auditable,,28.0,7.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,CL,H-Root,resolved_entry_only,0.0,True
,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,156.0,156.0,6.0,landing_region_120836cdab0e::landing_region_35391ab448ed,0.9615384615384616,0.9743589743589743,0.9807692307692308,0.2230509529190353,0.12448710708649555,1.2498842573649058,severe_corridor_observation_concentration,True,True,True,True,auditable,,118.0,19.0,1.0,0.02564102564102564,0.9743589743589743,service_country_corridor_concentration_summary,NL,H-Root,all_publicly_visible,0.0,True
,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,156.0,156.0,6.0,landing_region_120836cdab0e::landing_region_35391ab448ed,0.9615384615384616,0.9743589743589743,0.9807692307692308,0.2230509529190353,0.12448710708649555,1.2498842573649058,severe_corridor_observation_concentration,True,True,True,True,auditable,,118.0,19.0,1.0,0.02564102564102564,0.9743589743589743,service_country_corridor_concentration_summary,NL,H-Root,resolved_entry_only,0.0,True
SG,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,179.0,178.99999999999997,9.0,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.8994413407821229,0.9229050279329609,0.9463687150837988,0.5049809641692621,0.2298267411433519,1.6569539786651613,severe_corridor_observation_concentration,True,True,True,True,auditable,,113.0,52.0,1.0,0.07262569832402235,0.9273743016759778,country_corridor_concentration_summary,,,,,
PE,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,50.0,50.0,2.0,landing_region_4d0efd9bb45b::landing_region_5113b57f1083,0.88,1.0,1.0,0.3669249912727096,0.5293608652873644,1.4432896557346915,severe_corridor_observation_concentration,True,True,True,True,auditable,,25.0,13.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,89.0,89.00000000000001,8.0,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.8764044943820225,0.901123595505618,0.9258426966292135,0.5880080481876625,0.2827720983743798,1.8003985340267368,severe_corridor_observation_concentration,True,True,True,True,auditable,,52.0,24.0,1.0,0.12359550561797751,0.8764044943820223,service_country_corridor_concentration_summary,SG,H-Root,all_publicly_visible,0.0449438202247191,True
,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,89.0,89.00000000000001,8.0,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.8764044943820225,0.901123595505618,0.9258426966292135,0.5880080481876625,0.2827720983743798,1.8003985340267368,severe_corridor_observation_concentration,True,True,True,True,auditable,,52.0,24.0,1.0,0.12359550561797751,0.8764044943820223,service_country_corridor_concentration_summary,SG,H-Root,resolved_entry_only,0.0449438202247191,True
