probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
ID,H-Root,dns_root,anycast,resolved_entry_only,178,178,163,0.9157303370786517,0.9269662921348315,0.9157303370786517,0.8876404494382022,0.3089887640449438,0.4101123595505618,163,0.9157303370786517,1.0,89,63,1,1,1.0,True,0.11422413793103449,True,True,auditable,
NO,H-Root,dns_root,anycast,resolved_entry_only,176,176,154,0.875,0.875,0.875,0.8636363636363636,0.011363636363636364,0.3522727272727273,154,0.875,1.0,88,34,1,1,1.0,True,0.0,True,True,auditable,
ID,H-Root,dns_root,anycast,all_publicly_visible,192,182,167,0.8697916666666666,0.8802083333333334,0.8697916666666666,0.84375,0.296875,0.390625,167,0.8697916666666666,0.9479166666666666,95,66,1,1,0.9270833333333334,True,0.1192468619246862,True,True,auditable,
NO,H-Root,dns_root,anycast,all_publicly_visible,186,178,156,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8279569892473119,0.010752688172043012,0.3333333333333333,156,0.8387096774193549,0.956989247311828,93,35,1,1,0.946236559139785,True,0.0,True,True,auditable,
MV,H-Root,dns_root,anycast,all_publicly_visible,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.8333333333333334,20,0.8333333333333334,1.0,12,4,1,1,1.0,False,0.0,True,True,auditable,
MV,H-Root,dns_root,anycast,resolved_entry_only,24,24,20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.8333333333333334,20,0.8333333333333334,1.0,12,4,1,1,1.0,False,0.0,True,True,auditable,
PT,H-Root,dns_root,anycast,resolved_entry_only,198,198,158,0.797979797979798,0.797979797979798,0.797979797979798,0.797979797979798,0.0,0.020202020202020204,158,0.797979797979798,1.0,99,22,1,1,1.0,True,0.0,True,True,auditable,
PT,H-Root,dns_root,anycast,all_publicly_visible,209,198,158,0.7559808612440191,0.7559808612440191,0.7559808612440191,0.7559808612440191,0.0,0.019138755980861243,158,0.7559808612440191,0.9473684210526315,105,23,1,1,0.9473684210526315,True,0.0,True,True,auditable,
SG,H-Root,dns_root,anycast,resolved_entry_only,268,268,201,0.75,0.7611940298507462,0.75,0.6119402985074627,0.5746268656716418,0.6268656716417911,201,0.75,1.0,135,60,1,1,1.0,True,0.01195814648729447,True,True,auditable,
EE,H-Root,dns_root,anycast,resolved_entry_only,72,72,50,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.2777777777777778,0.6805555555555556,0.2777777777777778,50,0.6944444444444444,1.0,36,19,1,1,1.0,True,0.0,True,True,auditable,
SG,H-Root,dns_root,anycast,all_publicly_visible,300,268,201,0.67,0.68,0.67,0.5466666666666666,0.5133333333333333,0.56,201,0.67,0.8933333333333333,150,67,1,1,0.8933333333333333,True,0.01195814648729447,True,True,auditable,
NZ,H-Root,dns_root,anycast,resolved_entry_only,225,225,150,0.6666666666666666,0.9288888888888889,0.6666666666666666,0.32,0.5955555555555555,0.9288888888888889,150,0.6666666666666666,1.0,113,33,1,1,1.0,True,0.09059233449477352,True,True,auditable,
NZ,H-Root,dns_root,anycast,all_publicly_visible,232,226,150,0.646551724137931,0.9051724137931034,0.646551724137931,0.3103448275862069,0.5775862068965517,0.9051724137931034,150,0.646551724137931,0.9741379310344828,116,35,1,1,0.9698275862068966,True,0.09059233449477352,True,True,auditable,
SE,H-Root,dns_root,anycast,resolved_entry_only,441,441,268,0.6077097505668935,0.6077097505668935,0.6077097505668935,0.6077097505668935,0.0,0.5668934240362812,268,0.6077097505668935,1.0,220,74,1,1,1.0,True,0.0,True,True,auditable,
EE,H-Root,dns_root,anycast,all_publicly_visible,84,72,50,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.23809523809523808,0.5833333333333334,0.23809523809523808,50,0.5952380952380952,0.8571428571428571,42,22,1,1,0.8571428571428571,True,0.0,True,True,auditable,
SE,H-Root,dns_root,anycast,all_publicly_visible,467,443,270,0.5781584582441114,0.5781584582441114,0.5781584582441114,0.5781584582441114,0.0,0.5353319057815846,270,0.5781584582441114,0.9486081370449678,233,78,1,1,0.9443254817987152,True,0.0,True,True,auditable,
PH,H-Root,dns_root,anycast,resolved_entry_only,111,111,63,0.5675675675675675,0.5855855855855856,0.5675675675675675,0.2072072072072072,0.5585585585585585,0.17117117117117117,63,0.5675675675675675,1.0,56,32,1,1,1.0,True,0.0,True,True,auditable,
IL,H-Root,dns_root,anycast,resolved_entry_only,66,66,36,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.5454545454545454,36,0.5454545454545454,1.0,33,13,1,1,1.0,True,0.0,True,True,auditable,
IL,H-Root,dns_root,anycast,all_publicly_visible,70,68,38,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.0,0.5428571428571428,38,0.5428571428571428,0.9714285714285714,35,13,1,1,0.9428571428571428,True,0.0,True,True,auditable,
IN,H-Root,dns_root,anycast,resolved_entry_only,267,267,133,0.49812734082397003,0.5056179775280899,0.49812734082397003,0.13857677902621723,0.43820224719101125,0.07116104868913857,133,0.49812734082397003,1.0,133,55,1,1,1.0,True,0.03896103896103896,True,True,auditable,
PH,H-Root,dns_root,anycast,all_publicly_visible,132,111,63,0.4772727272727273,0.49242424242424243,0.4772727272727273,0.17424242424242425,0.4696969696969697,0.14393939393939395,63,0.4772727272727273,0.8409090909090909,66,35,1,1,0.8409090909090909,True,0.0,True,True,auditable,
FI,H-Root,dns_root,anycast,resolved_entry_only,314,314,145,0.46178343949044587,0.46178343949044587,0.46178343949044587,0.27388535031847133,0.3853503184713376,0.22929936305732485,145,0.46178343949044587,1.0,157,61,1,1,1.0,True,0.01384083044982699,True,True,auditable,
DK,H-Root,dns_root,anycast,resolved_entry_only,206,206,94,0.4563106796116505,0.5728155339805825,0.4563106796116505,0.4368932038834951,0.06796116504854369,0.5533980582524272,94,0.4563106796116505,1.0,103,35,1,1,1.0,True,0.061224489795918366,True,True,auditable,
IN,H-Root,dns_root,anycast,all_publicly_visible,307,269,135,0.43973941368078173,0.44625407166123776,0.43973941368078173,0.12052117263843648,0.38762214983713356,0.06188925081433225,135,0.43973941368078173,0.8762214983713354,152,63,1,1,0.8697068403908795,True,0.05128205128205128,True,True,auditable,
DK,H-Root,dns_root,anycast,all_publicly_visible,220,210,94,0.42727272727272725,0.5363636363636364,0.42727272727272725,0.4090909090909091,0.06363636363636363,0.5181818181818182,94,0.42727272727272725,0.9545454545454546,110,36,1,1,0.9363636363636364,True,0.061224489795918366,True,True,auditable,
