probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,86.0,0.5465116279069767,0.7441860465116279,0.8023255813953488,1.4809306854416233,0.6740006009021676,4.397036034630909,weak_network_transition_concentration,0.32558139534883723,0.5697674418604651,0.7790697674418605,1.6090372052045998,0.8980207627410071,4.997996865214596,0.22402016183883944,-0.22402016183883944,broad_corridor_observation_distribution,network_and_physical_both_broad,0.26744186046511625,True,True,True,True,True,auditable,,33.0,18.0,0.9302325581395349,0.06976744186046512
CL,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,94.0,0.9574468085106383,0.9787234042553192,1.0,0.20547074980230556,0.187027536394487,1.2281030581792565,severe_network_transition_concentration,0.9787234042553191,1.0,1.0,0.10296666046541245,0.14854949043034824,1.1084544531043852,-0.03847804596413876,0.03847804596413876,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,28.0,7.0,1.0,0.0
DK,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,47.0,0.3829787234042553,0.5957446808510638,0.7659574468085106,1.6928681244047534,0.8140974826525795,5.435046762025807,broad_network_transition_distribution,0.5531914893617021,0.8723404255319149,1.0,0.9547897331896327,0.8690870683297756,2.5981242261872124,0.05498958567719603,-0.05498958567719603,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.2553191489361702,True,True,True,True,True,auditable,,21.0,8.0,0.7659574468085106,0.23404255319148937
FI,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,75.0,0.68,0.8133333333333334,0.8666666666666667,1.1704800142168428,0.5628819039900942,3.223539612056496,moderate_network_transition_concentration,0.6666666666666666,0.84,0.9733333333333333,0.9393862840767421,0.6776239667583134,2.5584107989759493,0.11474206276821919,-0.11474206276821919,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,29.0,13.0,0.8666666666666667,0.13333333333333333
ID,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,40.0,0.2,0.30000000000000004,0.4,2.614501324246021,0.9429820237218406,13.660402567543953,broad_network_transition_distribution,0.4,0.6000000000000001,0.8,1.574780553406103,0.809277115991515,4.829681644624228,-0.13370490773032562,0.13370490773032562,weak_corridor_observation_concentration,network_and_physical_both_broad,0.025,True,True,True,True,True,auditable,,21.0,19.0,0.55,0.45
IN,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,65.0,0.5846153846153846,0.8615384615384616,0.9846153846153847,0.9914565307391399,0.7151847100771667,2.6951571941734325,moderate_network_transition_concentration,0.4,0.676923076923077,0.8769230769230769,1.3018168758782809,0.9390623754875795,3.675969384138167,0.22387766541041287,-0.22387766541041287,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.12307692307692308,True,True,True,True,True,auditable,,37.0,17.0,0.27692307692307694,0.7230769230769231
NL,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,152.0,0.9802631578947368,0.993421052631579,1.0,0.10957595540553097,0.09974033290522732,1.1158048191240955,severe_network_transition_concentration,0.9868421052631579,1.0,1.0,0.07005428087549845,0.10106696361212417,1.0725663995173291,0.001326630706896842,-0.001326630706896842,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,117.0,18.0,0.013157894736842105,0.9868421052631579
NO,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,78.0,0.6153846153846154,0.8717948717948718,0.8974358974358975,1.1174297779683349,0.5742453106125259,3.0569869621051144,moderate_network_transition_concentration,0.6153846153846154,0.7692307692307693,0.8974358974358975,1.1413340776195475,0.7091507344283965,3.1309425005748803,0.13490542381587056,-0.13490542381587056,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,37.0,15.0,0.9743589743589743,0.02564102564102564
PE,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,32.0,0.5,0.6875,0.875,1.3642100419343188,0.761380121251466,3.912631016434835,weak_network_transition_concentration,0.75,0.9375,0.96875,0.7462406295585069,0.5382988277869579,2.1090563702358125,-0.2230812934645081,0.2230812934645081,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,16.0,12.0,0.03125,0.96875
PH,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,65.0,0.26153846153846155,0.4307692307692308,0.5846153846153846,2.246799377556006,0.8296741975616001,9.457417720400706,broad_network_transition_distribution,0.9076923076923077,0.9538461538461538,0.9846153846153847,0.40120510962545763,0.2894083110179803,1.493623593659637,-0.5402658865436198,0.5402658865436198,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,28.0,14.0,0.9230769230769231,0.07692307692307693
RU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,63.0,0.9206349206349206,1.0,1.0,0.27721592998101174,0.3999380474390278,1.3194512493601867,severe_network_transition_concentration,0.9206349206349206,1.0,1.0,0.27721592998101174,0.3999380474390278,1.3194512493601867,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,34.0,28.0,0.9206349206349206,0.07936507936507936
SE,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,173.0,0.7514450867052023,0.8208092485549132,0.8670520231213872,1.0527565161095291,0.4572063457340603,2.8655391461490782,moderate_network_transition_concentration,0.838150289017341,0.8959537572254335,0.953757225433526,0.6456907523743546,0.4011902213722661,1.9073040491528195,-0.056016124361794206,0.056016124361794206,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,75.0,26.0,1.0,0.0
SG,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,82.0,0.3048780487804878,0.5487804878048781,0.7195121951219512,1.8458163973113728,0.8400672449919195,6.333268143484773,broad_network_transition_distribution,0.9512195121951219,0.975609756097561,1.0,0.2287207447761076,0.20819059383851843,1.2569909686986167,-0.6318766511534011,0.6318766511534011,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.04878048780487805,True,True,True,True,True,auditable,,50.0,23.0,0.04878048780487805,0.9512195121951219
US,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,241.0,0.49377593360995853,0.6224066390041494,0.6887966804979253,2.118856305217206,0.6292456654233783,8.321614655852844,broad_network_transition_distribution,0.4730290456431535,0.7136929460580913,0.7759336099585062,1.7427676054164598,0.6151204988048652,5.713133261130526,-0.014125166618513152,0.014125166618513152,broad_corridor_observation_distribution,network_and_physical_both_broad,0.024896265560165973,True,True,True,True,True,auditable,,109.0,43.0,0.979253112033195,0.02074688796680498
