probe_country,service_id,path_scope_stratum,msm_id,file_name,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_unit_observation_mass,rank_within_unit,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,"Fujairah, United Arab Emirates -> Sharjah, United Arab Emirates",3.0,3,3,2,2,1,2,1,1.0,1,True,False,False,3.0,0.0
AE,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,"Fujairah, United Arab Emirates -> Sharjah, United Arab Emirates",3.0,3,3,2,2,1,2,1,1.0,1,True,False,False,3.0,0.0
AL,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_6c6f20567c17::landing_region_ac34543a7a05,"Bari, Italy -> Durres, Albania",4.0,4,4,4,2,2,2,2,1.0,1,True,False,False,0.0,4.0
AL,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_6c6f20567c17::landing_region_ac34543a7a05,"Bari, Italy -> Durres, Albania",4.0,4,4,4,2,2,2,2,1.0,1,True,False,False,0.0,4.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_149acfcae34c::landing_region_58084817cbe7,"Melbourne, VIC, Australia -> Paddington, NSW, Australia",79.0,79,79,79,41,22,51,28,0.632,1,True,False,False,79.0,0.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_3996aeca3c5e::landing_region_b204db5c9fda,"Perth, WA, Australia -> Adelaide, SA, Australia",20.0,20,20,20,10,8,51,28,0.16,2,False,True,False,20.0,0.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_3996aeca3c5e::landing_region_58084817cbe7,"Perth, WA, Australia -> Paddington, NSW, Australia",13.0,13,13,13,7,6,51,28,0.104,3,False,False,True,13.0,0.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_58084817cbe7::landing_region_b204db5c9fda,"Paddington, NSW, Australia -> Adelaide, SA, Australia",5.0,5,5,4,2,2,51,28,0.04,4,False,False,False,5.0,0.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_5d023e72c246::landing_region_7a7da5f2aeb1,"Singapore, Singapore -> Lantau Island, China",2.0,8,8,8,4,2,51,28,0.016,5,False,False,False,0.0,2.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_7a7da5f2aeb1::landing_region_9430e1a9028b,"Lantau Island, China -> Changi North, Singapore",2.0,8,8,8,4,2,51,28,0.016,6,False,False,False,0.0,2.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_85e39fb7d29e::landing_region_9430e1a9028b,"Chai Wan, China -> Changi North, Singapore",2.0,8,8,8,4,2,51,28,0.016,7,False,False,False,0.0,2.0
AU,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_85e39fb7d29e::landing_region_af2b1cb46785,"Chai Wan, China -> Tuas, Singapore",2.0,8,8,8,4,2,51,28,0.016,8,False,False,False,0.0,2.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_149acfcae34c::landing_region_58084817cbe7,"Melbourne, VIC, Australia -> Paddington, NSW, Australia",79.0,79,79,79,41,22,51,28,0.632,1,True,False,False,79.0,0.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_3996aeca3c5e::landing_region_b204db5c9fda,"Perth, WA, Australia -> Adelaide, SA, Australia",20.0,20,20,20,10,8,51,28,0.16,2,False,True,False,20.0,0.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_3996aeca3c5e::landing_region_58084817cbe7,"Perth, WA, Australia -> Paddington, NSW, Australia",13.0,13,13,13,7,6,51,28,0.104,3,False,False,True,13.0,0.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_58084817cbe7::landing_region_b204db5c9fda,"Paddington, NSW, Australia -> Adelaide, SA, Australia",5.0,5,5,4,2,2,51,28,0.04,4,False,False,False,5.0,0.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_5d023e72c246::landing_region_7a7da5f2aeb1,"Singapore, Singapore -> Lantau Island, China",2.0,8,8,8,4,2,51,28,0.016,5,False,False,False,0.0,2.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_7a7da5f2aeb1::landing_region_9430e1a9028b,"Lantau Island, China -> Changi North, Singapore",2.0,8,8,8,4,2,51,28,0.016,6,False,False,False,0.0,2.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_85e39fb7d29e::landing_region_9430e1a9028b,"Chai Wan, China -> Changi North, Singapore",2.0,8,8,8,4,2,51,28,0.016,7,False,False,False,0.0,2.0
AU,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_85e39fb7d29e::landing_region_af2b1cb46785,"Chai Wan, China -> Tuas, Singapore",2.0,8,8,8,4,2,51,28,0.016,8,False,False,False,0.0,2.0
AX,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,"Stavsnas, Sweden -> Hamnäs, Finland",2.0,2,2,2,1,1,2,2,0.25,1,True,False,False,0.0,2.0
AX,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_d073d559153a::landing_region_e2b0cd002b0c,"Bunkeflostand, Sweden -> Tuborg, Denmark",2.0,2,2,2,1,1,2,2,0.25,2,False,True,False,2.0,0.0
AX,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_1ce0b85cd8b9::landing_region_d073d559153a,"Uto, Sweden -> Bunkeflostand, Sweden",1.0,2,2,2,1,1,2,2,0.125,3,False,False,True,1.0,0.0
AX,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_1ce0b85cd8b9::landing_region_e2b0cd002b0c,"Uto, Sweden -> Tuborg, Denmark",1.0,2,2,2,1,1,2,2,0.125,4,False,False,False,1.0,0.0
AX,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_3c99e4792a25::landing_region_65aa8d7cf62e,"Stavsnas, Sweden -> Espoo, Finland",1.0,2,2,2,1,1,2,2,0.125,5,False,False,False,0.0,1.0
AX,H-Root,all_publicly_visible,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_65aa8d7cf62e::landing_region_c607af4095db,"Espoo, Finland -> Kista, Sweden",1.0,2,2,2,1,1,2,2,0.125,6,False,False,False,0.0,1.0
AX,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,"Stavsnas, Sweden -> Hamnäs, Finland",2.0,2,2,2,1,1,2,2,0.25,1,True,False,False,0.0,2.0
AX,H-Root,resolved_entry_only,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,landing_region_d073d559153a::landing_region_e2b0cd002b0c,"Bunkeflostand, Sweden -> Tuborg, Denmark",2.0,2,2,2,1,1,2,2,0.25,2,False,True,False,2.0,0.0
