probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
?,H-Root,all_publicly_visible,12,0,0,6,6,6,6,0.0,0.0,0.5,0.5
?,H-Root,resolved_entry_only,12,0,0,6,6,6,6,0.0,0.0,0.5,0.5
AD,H-Root,all_publicly_visible,30,0,0,18,12,23,7,0.0,0.0,0.6,0.4
AD,H-Root,resolved_entry_only,30,0,0,18,12,23,7,0.0,0.0,0.6,0.4
AE,H-Root,all_publicly_visible,145,3,0,87,55,108,37,0.020689655172413793,0.0,0.6,0.3793103448275862
AE,H-Root,resolved_entry_only,142,3,0,87,52,105,37,0.02112676056338028,0.0,0.6126760563380281,0.36619718309859156
AF,H-Root,all_publicly_visible,86,0,0,34,52,58,28,0.0,0.0,0.3953488372093023,0.6046511627906976
AF,H-Root,resolved_entry_only,86,0,0,34,52,58,28,0.0,0.0,0.3953488372093023,0.6046511627906976
AL,H-Root,all_publicly_visible,403,4,0,257,142,288,115,0.009925558312655087,0.0,0.6377171215880894,0.3523573200992556
AL,H-Root,resolved_entry_only,385,4,0,251,130,274,111,0.01038961038961039,0.0,0.6519480519480519,0.33766233766233766
AM,H-Root,all_publicly_visible,283,0,0,231,52,191,92,0.0,0.0,0.8162544169611308,0.18374558303886926
AM,H-Root,resolved_entry_only,277,0,0,227,50,185,92,0.0,0.0,0.8194945848375451,0.18050541516245489
AO,H-Root,all_publicly_visible,122,0,0,79,43,93,29,0.0,0.0,0.6475409836065574,0.3524590163934426
AO,H-Root,resolved_entry_only,122,0,0,79,43,93,29,0.0,0.0,0.6475409836065574,0.3524590163934426
AR,H-Root,all_publicly_visible,689,0,0,490,199,491,198,0.0,0.0,0.7111756168359942,0.2888243831640058
AR,H-Root,resolved_entry_only,689,0,0,490,199,491,198,0.0,0.0,0.7111756168359942,0.2888243831640058
AT,H-Root,all_publicly_visible,2790,0,0,2259,531,1824,966,0.0,0.0,0.8096774193548387,0.19032258064516128
AT,H-Root,resolved_entry_only,2740,0,0,2219,521,1785,955,0.0,0.0,0.8098540145985401,0.19014598540145985
AU,H-Root,all_publicly_visible,3303,117,8,1654,1524,2075,1228,0.035422343324250684,0.0024220405691795337,0.5007568876778686,0.46139872842870117
AU,H-Root,resolved_entry_only,3287,117,8,1646,1516,2061,1226,0.03559476726498327,0.002433830240340736,0.5007605719501065,0.4612108305445695
AX,H-Root,all_publicly_visible,30,4,4,18,4,16,14,0.13333333333333333,0.13333333333333333,0.6,0.13333333333333333
AX,H-Root,resolved_entry_only,30,4,4,18,4,16,14,0.13333333333333333,0.13333333333333333,0.6,0.13333333333333333
AZ,H-Root,all_publicly_visible,101,0,0,49,52,76,25,0.0,0.0,0.48514851485148514,0.5148514851485149
AZ,H-Root,resolved_entry_only,99,0,0,49,50,76,23,0.0,0.0,0.494949494949495,0.5050505050505051
BA,H-Root,all_publicly_visible,256,0,0,220,36,174,82,0.0,0.0,0.859375,0.140625
BA,H-Root,resolved_entry_only,246,0,0,214,32,167,79,0.0,0.0,0.8699186991869918,0.13008130081300814
BB,H-Root,all_publicly_visible,20,1,0,15,4,14,6,0.05,0.0,0.75,0.2
BD,H-Root,all_publicly_visible,146,0,0,71,75,124,22,0.0,0.0,0.4863013698630137,0.5136986301369864
BD,H-Root,resolved_entry_only,146,0,0,71,75,124,22,0.0,0.0,0.4863013698630137,0.5136986301369864
BE,H-Root,all_publicly_visible,2026,0,0,1451,575,1421,605,0.0,0.0,0.7161895360315893,0.28381046396841064
BE,H-Root,resolved_entry_only,2026,0,0,1451,575,1421,605,0.0,0.0,0.7161895360315893,0.28381046396841064
BF,H-Root,all_publicly_visible,65,8,0,33,24,51,14,0.12307692307692308,0.0,0.5076923076923077,0.36923076923076925
BF,H-Root,resolved_entry_only,65,8,0,33,24,51,14,0.12307692307692308,0.0,0.5076923076923077,0.36923076923076925
BG,H-Root,all_publicly_visible,882,0,0,689,193,625,257,0.0,0.0,0.7811791383219955,0.21882086167800455
BG,H-Root,resolved_entry_only,878,0,0,687,191,621,257,0.0,0.0,0.7824601366742597,0.21753986332574032
BH,H-Root,all_publicly_visible,72,7,2,12,51,54,18,0.09722222222222222,0.027777777777777776,0.16666666666666666,0.7083333333333334
BH,H-Root,resolved_entry_only,72,7,2,12,51,54,18,0.09722222222222222,0.027777777777777776,0.16666666666666666,0.7083333333333334
BI,H-Root,all_publicly_visible,26,0,0,24,2,20,6,0.0,0.0,0.9230769230769231,0.07692307692307693
BI,H-Root,resolved_entry_only,26,0,0,24,2,20,6,0.0,0.0,0.9230769230769231,0.07692307692307693
BJ,H-Root,all_publicly_visible,153,1,0,126,26,109,44,0.006535947712418301,0.0,0.8235294117647058,0.16993464052287582
BJ,H-Root,resolved_entry_only,153,1,0,126,26,109,44,0.006535947712418301,0.0,0.8235294117647058,0.16993464052287582
BL,H-Root,all_publicly_visible,14,0,0,14,0,12,2,0.0,0.0,1.0,0.0
BL,H-Root,resolved_entry_only,14,0,0,14,0,12,2,0.0,0.0,1.0,0.0
BO,H-Root,all_publicly_visible,347,12,0,233,102,236,111,0.0345821325648415,0.0,0.6714697406340058,0.29394812680115273
BO,H-Root,resolved_entry_only,347,12,0,233,102,236,111,0.0345821325648415,0.0,0.6714697406340058,0.29394812680115273
BR,H-Root,all_publicly_visible,1173,7,0,663,503,811,362,0.005967604433077579,0.0,0.5652173913043478,0.4288150042625746
BR,H-Root,resolved_entry_only,1035,5,0,567,463,717,318,0.004830917874396135,0.0,0.5478260869565217,0.4473429951690821
BT,H-Root,all_publicly_visible,22,0,0,20,2,15,7,0.0,0.0,0.9090909090909091,0.09090909090909091
BT,H-Root,resolved_entry_only,22,0,0,20,2,15,7,0.0,0.0,0.9090909090909091,0.09090909090909091
BW,H-Root,all_publicly_visible,16,0,0,10,6,11,5,0.0,0.0,0.625,0.375
BW,H-Root,resolved_entry_only,16,0,0,10,6,11,5,0.0,0.0,0.625,0.375
BY,H-Root,all_publicly_visible,382,0,0,306,76,248,134,0.0,0.0,0.8010471204188482,0.19895287958115182
BY,H-Root,resolved_entry_only,372,0,0,296,76,242,130,0.0,0.0,0.7956989247311828,0.20430107526881722
CA,H-Root,all_publicly_visible,4419,307,6,2860,1246,3151,1268,0.06947273138719168,0.0013577732518669382,0.6472052500565739,0.2819642453043675
