country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
AE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,64,64.0,2,landing_region_0337::landing_region_0377,0.9375,1.0,1.0,1.2633812503027273,severe_corridor_observation_concentration,True,True,True,True,auditable,,10,6,1,0.9375,0.0625
AT,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,21,21.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,1,0.5714285714285714,0.42857142857142855
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,619,619.0,12,landing_region_0041::landing_region_0735,0.35218093699515346,0.47495961227786754,0.5945072697899838,7.280250301780854,broad_corridor_observation_distribution,False,False,True,True,auditable,,46,26,1,0.975767366720517,0.024232633279483037
AX,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,10,10.0,3,landing_region_0415::landing_region_0693,0.5,0.75,1.0,2.82842712474619,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5
BH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,8.0,3,landing_region_0035::landing_region_0035,0.625,0.8125,1.0,2.5130406413348823,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.625,0.375
BJ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,5,5.0,1,landing_region_0239::landing_region_0297,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
BR,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,32,32.0,5,landing_region_0174::landing_region_0770,0.5,0.6875,0.84375,3.840856415235125,weak_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,5,4,1,0.40625,0.59375
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,279,279.0,6,landing_region_0008::landing_region_0223,0.32974910394265233,0.6594982078853047,0.7455197132616488,4.809179642220208,broad_corridor_observation_distribution,False,False,True,True,auditable,,50,9,1,0.18637992831541217,0.8136200716845878
CH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,536,536.0,1,landing_region_0376::landing_region_0376,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,83,25,1,1.0,0.0
CL,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,28,28.0,2,landing_region_0242::landing_region_0975,0.6428571428571429,1.0,1.0,1.9189085505973331,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.6428571428571429,0.35714285714285715
CN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,12,12.0,3,landing_region_0230::landing_region_0270,0.4166666666666667,0.8333333333333334,1.0,2.795983321801711,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1,1.0,0.0
CO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,26,26.0,3,landing_region_0243::landing_region_0603,0.4230769230769231,0.8269230769230769,1.0,2.8114136703860404,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,1,0.0,1.0
CW,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,26,26.0,1,landing_region_0174::landing_region_0603,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,7,1,0.0,1.0
CY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,22,22.0,3,landing_region_0734::landing_region_1009,0.4090909090909091,0.7045454545454546,1.0,2.962735304020076,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,1,0.4090909090909091,0.5909090909090909
DE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,13,13.0,2,landing_region_0388::landing_region_0388,0.6153846153846154,1.0,1.0,1.9469780302238757,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0
