probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
?,2,2,0,0.0,1.0,1,1,1,1,1
AD,6,6,0,0.0,1.0,1,3,1,1,1
AE,44,29,5,0.11363636363636363,0.6590909090909091,1,22,14,1,1
AF,12,12,4,0.3333333333333333,1.0,1,6,2,1,1
AL,58,40,0,0.0,0.6896551724137931,1,29,20,1,1
AM,42,40,0,0.0,0.9523809523809523,1,21,10,1,1
AO,23,20,0,0.0,0.8695652173913043,1,12,5,1,1
AR,112,84,0,0.0,0.75,1,56,41,1,1
AT,451,378,6,0.013303769401330377,0.8381374722838137,1,225,85,1,1
AU,561,519,492,0.8770053475935828,0.9251336898395722,1,281,77,1,1
AX,4,2,2,0.5,0.5,1,2,2,1,1
AZ,18,6,0,0.0,0.3333333333333333,1,9,8,1,1
BA,30,24,0,0.0,0.8,1,15,7,1,1
BB,2,2,0,0.0,1.0,1,1,1,1,1
BD,22,2,0,0.0,0.09090909090909091,1,11,7,1,1
BE,322,300,0,0.0,0.9316770186335404,1,160,28,1,1
BF,8,6,2,0.25,0.75,1,4,3,1,1
BG,177,149,2,0.011299435028248588,0.8418079096045198,1,89,49,1,1
BH,12,8,4,0.3333333333333333,0.6666666666666666,1,6,3,1,1
BI,2,2,0,0.0,1.0,1,1,1,1,1
BJ,20,20,2,0.1,1.0,1,10,5,1,1
BL,2,2,0,0.0,1.0,1,1,1,1,1
BO,36,36,0,0.0,1.0,1,18,8,1,1
BR,217,124,1,0.004608294930875576,0.5714285714285714,1,109,70,1,1
BT,4,2,0,0.0,0.5,1,2,2,1,1
BW,2,2,0,0.0,1.0,1,1,1,1,1
BY,54,54,0,0.0,1.0,1,27,14,1,1
CA,619,566,139,0.2245557350565428,0.9143780290791599,1,310,96,1,1
CD,6,6,0,0.0,1.0,1,3,3,1,1
CG,6,6,0,0.0,1.0,1,3,2,1,1
CH,682,601,36,0.05278592375366569,0.8812316715542522,1,341,86,1,1
CI,4,2,0,0.0,0.5,1,2,2,1,1
CK,2,2,2,1.0,1.0,1,1,1,1,1
CL,173,42,0,0.0,0.24277456647398843,1,87,37,1,1
CM,2,2,0,0.0,1.0,1,1,1,1,1
CN,160,140,16,0.1,0.875,1,79,27,1,1
CO,86,80,9,0.10465116279069768,0.9302325581395349,1,43,29,1,1
CR,36,20,4,0.1111111111111111,0.5555555555555556,1,18,9,1,1
CU,2,2,1,0.5,1.0,1,1,1,1,1
CV,8,2,2,0.25,0.25,1,4,2,1,1
CW,4,4,0,0.0,1.0,1,2,2,1,1
CY,28,26,6,0.21428571428571427,0.9285714285714286,1,14,7,1,1
CZ,568,508,0,0.0,0.8943661971830986,1,284,112,1,1
DE,3622,3418,22,0.006073992269464384,0.943677526228603,1,1813,407,1,1
DJ,6,4,0,0.0,0.6666666666666666,1,3,2,1,1
DK,222,212,159,0.7162162162162162,0.954954954954955,1,110,36,1,1
DO,14,10,2,0.14285714285714285,0.7142857142857143,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,52,42,12,0.23076923076923078,0.8076923076923077,1,26,20,1,1
EE,84,70,25,0.2976190476190476,0.8333333333333334,1,42,22,1,1
EG,6,6,0,0.0,1.0,1,3,2,1,1
ES,504,351,28,0.05555555555555555,0.6964285714285714,1,251,79,1,1
ET,2,2,0,0.0,1.0,1,1,1,1,1
FI,355,258,22,0.061971830985915494,0.7267605633802817,1,178,62,1,1
FJ,4,2,2,0.5,0.5,1,2,2,1,1
FM,4,2,2,0.5,0.5,1,2,1,1,1
FR,2142,1978,0,0.0,0.9234360410831,1,1072,179,1,1
GB,1224,1029,4,0.0032679738562091504,0.8406862745098039,1,613,205,1,1
GE,32,32,0,0.0,1.0,1,16,11,1,1
GF,2,2,0,0.0,1.0,1,1,1,1,1
GG,2,2,2,1.0,1.0,1,1,1,1,1
GH,6,6,4,0.6666666666666666,1.0,1,3,3,1,1
GP,4,4,2,0.5,1.0,1,2,2,1,1
GQ,2,2,2,1.0,1.0,1,1,1,1,1
GR,152,90,0,0.0,0.5921052631578947,1,76,25,1,1
GT,8,4,0,0.0,0.5,1,4,3,1,1
GU,18,18,15,0.8333333333333334,1.0,1,9,5,1,1
HK,132,120,113,0.8560606060606061,0.9090909090909091,1,66,40,1,1
HN,22,16,12,0.5454545454545454,0.7272727272727273,1,11,8,1,1
HR,94,66,0,0.0,0.7021276595744681,1,47,22,1,1
HT,2,2,0,0.0,1.0,1,1,1,1,1
HU,110,102,0,0.0,0.9272727272727272,1,55,21,1,1
ID,188,173,143,0.7606382978723404,0.9202127659574468,1,94,66,1,1
IE,200,153,0,0.0,0.765,1,100,27,1,1
IL,70,62,60,0.8571428571428571,0.8857142857142857,1,35,13,1,1
IM,6,4,4,0.6666666666666666,0.6666666666666666,1,3,3,1,1
IN,306,181,13,0.042483660130718956,0.5915032679738562,1,152,63,1,1
IQ,20,14,0,0.0,0.7,1,10,8,1,1
IR,94,38,0,0.0,0.40425531914893614,1,47,24,1,1
IS,24,18,0,0.0,0.75,1,12,9,1,1
IT,683,493,0,0.0,0.7218155197657394,1,343,116,1,1
JM,12,9,8,0.6666666666666666,0.75,1,6,3,1,1
JO,8,6,0,0.0,0.75,1,4,4,1,1
JP,585,516,28,0.04786324786324787,0.882051282051282,1,291,118,1,1
KE,34,32,15,0.4411764705882353,0.9411764705882353,1,17,11,1,1
KG,46,40,0,0.0,0.8695652173913043,1,23,12,1,1
KH,14,10,0,0.0,0.7142857142857143,1,7,7,1,1
KI,4,4,4,1.0,1.0,1,2,1,1,1
KN,2,2,2,1.0,1.0,1,1,1,1,1
KR,70,49,0,0.0,0.7,1,35,14,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,145,130,0,0.0,0.896551724137931,1,73,23,1,1
LA,8,8,0,0.0,1.0,1,4,1,1,1
LB,8,4,2,0.25,0.5,1,4,4,1,1
LC,4,4,1,0.25,1.0,1,2,1,1,1
LI,6,6,0,0.0,1.0,1,3,3,1,1
LK,26,22,15,0.5769230769230769,0.8461538461538461,1,13,6,1,1
LR,2,2,0,0.0,1.0,1,1,1,1,1
LS,2,2,0,0.0,1.0,1,1,1,1,1
LT,86,70,0,0.0,0.813953488372093,1,43,25,1,1
LU,94,52,0,0.0,0.5531914893617021,1,47,22,1,1
LV,62,47,0,0.0,0.7580645161290323,1,31,21,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,52,48,0,0.0,0.9230769230769231,1,26,14,1,1
ME,12,12,0,0.0,1.0,1,6,5,1,1
MG,4,4,0,0.0,1.0,1,2,1,1,1
MH,2,2,0,0.0,1.0,1,1,1,1,1
MK,26,17,0,0.0,0.6538461538461539,1,13,10,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,6,5,0.8333333333333334,1.0,1,3,3,1,1
MN,16,16,8,0.5,1.0,1,8,8,1,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,18,18,18,1.0,1.0,1,9,3,1,1
MU,16,14,0,0.0,0.875,1,8,4,1,1
MV,24,24,21,0.875,1.0,1,12,4,1,1
MW,2,2,0,0.0,1.0,1,1,1,1,1
MX,113,100,4,0.035398230088495575,0.8849557522123894,1,58,27,1,1
MY,72,46,26,0.3611111111111111,0.6388888888888888,1,36,20,1,1
MZ,6,4,0,0.0,0.6666666666666666,1,3,3,1,1
NA,8,3,0,0.0,0.375,1,4,3,1,1
NC,10,10,10,1.0,1.0,1,5,2,1,1
NG,20,14,6,0.3,0.7,1,10,6,1,1
NI,14,6,0,0.0,0.42857142857142855,1,7,5,1,1
NL,1338,1102,0,0.0,0.8236173393124065,1,670,185,1,1
NO,186,173,144,0.7741935483870968,0.9301075268817204,1,93,35,1,1
NP,31,27,2,0.06451612903225806,0.8709677419354839,1,16,10,1,1
NU,2,2,2,1.0,1.0,1,1,1,1,1
NZ,232,211,207,0.8922413793103449,0.9094827586206896,1,116,35,1,1
OM,4,4,0,0.0,1.0,1,2,2,1,1
PA,44,33,2,0.045454545454545456,0.75,1,22,10,1,1
PE,46,34,1,0.021739130434782608,0.7391304347826086,1,23,18,1,1
PF,12,12,0,0.0,1.0,1,6,1,1,1
