metric,value
candidate_rows,7574.0
unique_links,2415.0
unique_units,60.0
units_with_network_layer_diversity,92.0
units_with_physical_diversity_cable,60.0
units_with_physical_diversity_corridor,60.0
units_with_network_physical_mismatch_cable,60.0
units_with_network_physical_mismatch_corridor,60.0
median_network_layer_diversity_score,4.342636763377389
median_cable_physical_candidate_diversity_score,1.9449407874211548
median_corridor_physical_candidate_diversity_score,1.8104324993821475
cable_mismatch_network_high_physical_low,10.0
cable_mismatch_network_high_physical_high,20.0
cable_mismatch_network_low_physical_low,20.0
cable_mismatch_network_low_physical_high,10.0
corridor_mismatch_network_high_physical_low,8.0
corridor_mismatch_network_high_physical_high,22.0
corridor_mismatch_network_low_physical_low,22.0
corridor_mismatch_network_low_physical_high,8.0
cable_corridor_target_quadrant_preserved,8.0
cable_corridor_target_quadrant_jaccard,0.8
cable_corridor_target_quadrant_recall_from_cable,0.8
cable_corridor_target_quadrant_precision_to_corridor,1.0
mean_corridor_minus_cable_physical_diversity,-0.8838425317187577
cable_corridor_quadrant_agreement_rate,0.8666666666666667
spearman_cable_corridor_physical_diversity_score,0.8050712466634397
