country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,203,0.2512315270935961,0.47783251231527096,0.5615763546798029,10.592704203969944,broad_network_transition_distribution,0.22167487684729065,0.3349753694581281,0.41379310344827586,14.71160092453895,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,15,8,1.0,0.0,service_country_cross_layer_distribution_audit,NO,J-Root
NO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,193,0.26424870466321243,0.5025906735751295,0.5906735751295337,9.393641057442938,broad_network_transition_distribution,0.23316062176165803,0.35233160621761656,0.43523316062176165,13.360477372587873,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,15,8,1.0,0.0,country_cross_layer_distribution_audit,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,386,0.5621761658031088,0.6658031088082902,0.7357512953367875,5.516609441545577,broad_network_transition_distribution,0.21243523316062177,0.42487046632124353,0.594559585492228,8.48162970229427,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,39,11,0.5310880829015543,0.46891191709844554,service_country_cross_layer_distribution_audit,SE,J-Root
SE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,497,0.4869215291750503,0.619718309859155,0.7002012072434608,7.032209205041687,broad_network_transition_distribution,0.2062374245472837,0.4124748490945674,0.613682092555332,8.222219276139588,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,49,16,0.5171026156941649,0.48289738430583495,country_cross_layer_distribution_audit,,
SG,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,117,0.29914529914529914,0.5555555555555556,0.7435897435897436,6.114640068002216,broad_network_transition_distribution,0.29914529914529914,0.5982905982905983,0.683048433048433,6.229377317861038,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,10,8,0.26495726495726496,0.7350427350427351,country_cross_layer_distribution_audit,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,273,0.31868131868131866,0.4981684981684982,0.608058608058608,10.585431330144296,broad_network_transition_distribution,0.5882783882783883,0.6652014652014653,0.7421245421245422,6.186178760078406,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,31,16,0.7692307692307692,0.2307692307692308,service_country_cross_layer_distribution_audit,PH,J-Root
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,641,0.33229329173166927,0.5865834633385336,0.7722308892355695,6.778425519481907,broad_network_transition_distribution,0.3673946957878315,0.6123244929797191,0.7878315132605305,5.830857051848753,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,39,13,0.6801872074882995,0.31981279251170047,service_country_cross_layer_distribution_audit,TW,J-Root
PH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,306,0.3202614379084967,0.48039215686274506,0.5784313725490196,12.263519634397628,broad_network_transition_distribution,0.6081699346405228,0.6882352941176471,0.7683006535947712,5.54178814415371,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,34,18,0.7777777777777778,0.22222222222222227,country_cross_layer_distribution_audit,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,242,0.4834710743801653,0.6074380165289256,0.6983471074380165,6.214655940845393,broad_network_transition_distribution,0.33980716253443527,0.6692837465564738,0.74366391184573,5.36310159100957,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,42,9,0.24380165289256198,0.756198347107438,service_country_cross_layer_distribution_audit,CA,J-Root
FI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,108,0.28703703703703703,0.5277777777777778,0.6481481481481481,7.795874461960809,broad_network_transition_distribution,0.4737654320987654,0.6635802469135803,0.7422839506172839,5.095211826811447,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,17,11,0.8425925925925926,0.1574074074074074,country_cross_layer_distribution_audit,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,71,0.14084507042253522,0.28169014084507044,0.35211267605633806,12.283723684711681,broad_network_transition_distribution,0.5093896713615023,0.7136150234741783,0.7699530516431924,4.830056978979378,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,11,10,0.9295774647887324,0.07042253521126761,service_country_cross_layer_distribution_audit,FI,J-Root
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,279,0.46953405017921146,0.6272401433691757,0.7096774193548387,6.269876458369406,broad_network_transition_distribution,0.32974910394265233,0.6594982078853047,0.7455197132616488,4.809179642220208,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,50,9,0.18637992831541217,0.8136200716845878,country_cross_layer_distribution_audit,,
