country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
SG,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1037.0,1037.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.944069431051109,0.9633558341369335,0.9826422372227579,0.28305395567746783,0.17587131102769873,1.327176768607013,severe_corridor_observation_concentration,True,True,True,True,auditable,,198.0,83.0,1.0,0.944069431051109,0.055930568948891035,country_corridor_concentration_summary,,,,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,606.0,606.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9108910891089109,0.9537953795379538,0.9735973597359736,0.4085764075661681,0.25386279545772633,1.504674216860592,severe_corridor_observation_concentration,True,True,True,True,auditable,,85.0,36.0,1.0,0.9108910891089109,0.0891089108910891,service_country_corridor_concentration_summary,SG,J-Root,all_publicly_visible,0.033003300330033,True
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,72.0,72.0,3.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.8888888888888888,0.9444444444444444,1.0,0.42584844923858145,0.3876239630951644,1.530888750196174,severe_corridor_observation_concentration,True,True,True,True,auditable,,15.0,9.0,1.0,0.8888888888888888,0.1111111111111111,service_country_corridor_concentration_summary,VN,J-Root,all_publicly_visible,0.0,True
IL,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,150.0,150.0,3.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.8322222222222222,0.9311111111111111,1.0,0.5659431328428068,0.515143639553606,1.7611079584709801,severe_corridor_observation_concentration,True,True,True,True,auditable,,30.0,11.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,150.0,150.0,3.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.8322222222222222,0.9311111111111111,1.0,0.5659431328428068,0.515143639553606,1.7611079584709801,severe_corridor_observation_concentration,True,True,True,True,auditable,,30.0,11.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,IL,J-Root,all_publicly_visible,0.11333333333333333,True
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,106.0,106.0,2.0,landing_region_319252418c1f::landing_region_d0ecf913edd7,0.8018867924528302,1.0,1.0,0.49777562247179563,0.7181384220154764,1.645057967949926,severe_corridor_observation_concentration,True,True,True,True,auditable,,47.0,27.0,1.0,0.19811320754716982,0.8018867924528302,country_corridor_concentration_summary,,,,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,37.0,37.0,2.0,landing_region_5631d1801aee::landing_region_71db3ba08a92,0.7837837837837838,1.0,1.0,0.5220770639132397,0.7531979910695014,1.685524959441738,moderate_corridor_observation_concentration,True,True,True,True,auditable,,13.0,8.0,1.0,0.0,1.0,service_country_corridor_concentration_summary,EE,J-Root,all_publicly_visible,0.0,True
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,61.0,61.0,4.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.7704918032786885,0.9344262295081966,0.9672131147540983,0.7214414554429344,0.5204100050296188,2.0573967199476937,moderate_corridor_observation_concentration,True,True,True,True,auditable,,13.0,12.0,1.0,0.8524590163934426,0.14754098360655737,service_country_corridor_concentration_summary,MY,J-Root,all_publicly_visible,0.13114754098360656,True
NO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,276.0,276.0,13.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.7524154589371981,0.8200483091787439,0.8580917874396136,1.0874123846810324,0.4239508205172581,2.9665877443292477,moderate_corridor_observation_concentration,True,True,True,True,auditable,,71.0,27.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,276.0,276.0,13.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.7524154589371981,0.8200483091787439,0.8580917874396136,1.0874123846810324,0.4239508205172581,2.9665877443292477,moderate_corridor_observation_concentration,True,True,True,True,auditable,,71.0,27.0,1.0,1.0,0.0,service_country_corridor_concentration_summary,NO,J-Root,all_publicly_visible,0.0,True
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,257.0,257.0,5.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.6848249027237354,0.9027237354085603,0.9766536964980544,0.8877496563191338,0.5515898746143669,2.4296559338496606,moderate_corridor_observation_concentration,True,True,True,True,auditable,,42.0,21.0,1.0,0.7587548638132295,0.24124513618677043,service_country_corridor_concentration_summary,HK,J-Root,all_publicly_visible,0.0622568093385214,True
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,254.0,253.99999999999994,7.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.6307086614173227,0.9496062992125983,0.9811023622047244,0.8652711666920583,0.444661418263389,2.3756501958476894,moderate_corridor_observation_concentration,True,True,True,True,auditable,,58.0,16.0,1.0,0.6181102362204723,0.38188976377952766,country_corridor_concentration_summary,,,,,
,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,140.0,140.0,3.0,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.5857142857142857,0.9857142857142858,1.0,0.7405212274810401,0.6740514694030982,2.097028258442355,moderate_corridor_observation_concentration,True,True,True,True,auditable,,62.0,13.0,1.0,0.32857142857142857,0.6714285714285714,service_country_corridor_concentration_summary,SE,J-Root,all_publicly_visible,0.02857142857142857,True
SE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,166.0,166.0,5.0,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.4939759036144578,0.9036144578313252,0.9759036144578312,1.010367482649677,0.6277766137132967,2.746610161163364,moderate_corridor_observation_concentration,True,True,True,True,auditable,,74.0,20.0,1.0,0.3373493975903614,0.6626506024096386,country_corridor_concentration_summary,,,,,
