country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
AE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,83,83.0,18,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,0.6626506024096386,0.6987951807228916,0.7349397590361446,1.555649304574797,0.5382177224521175,4.738162036866128,broad_corridor_observation_distribution,False,False,True,True,auditable,,58,46,1,0.6746987951807228,0.3253012048192771,transition_near_country
AL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,11,11.0,1,landing_region_6c6f20567c17::landing_region_ac34543a7a05,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,1,0.0,1.0,transition_near_country
AO,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_3ee19f69866b::landing_region_eafefa1c1ea4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
AU,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,966,966.0,12,landing_region_3996aeca3c5e::landing_region_58084817cbe7,0.35403726708074534,0.5921325051759834,0.7101449275362319,1.778611190281496,0.7157657976541043,5.921626692452281,broad_corridor_observation_distribution,False,False,True,True,auditable,,421,248,1,0.8105590062111802,0.18944099378881987,transition_near_country
AX,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_3c99e4792a25::landing_region_3eb4f4d89687,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BB,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_1f353b6f915d::landing_region_4902d01cb35c,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
BH,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,29,29.0,7,landing_region_05a5445633a9::landing_region_ca49ab31c10b,0.4827586206896552,0.6206896551724138,0.7586206896551724,1.5732909489472664,0.8085116107293323,4.8224926849941046,broad_corridor_observation_distribution,False,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,18,16,1,0.4827586206896552,0.5172413793103449,transition_near_country
BJ,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,11,11.0,4,landing_region_343850da3642::landing_region_8afa8229a8fd,0.3181818181818182,0.6363636363636364,0.9090909090909091,1.301060941391834,0.9385170840201625,3.6731916421373354,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,3,1,0.0,1.0,transition_near_country
BN,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_c479c17fedeb::landing_region_d2d1ba3fde74,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
BQ,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,0.9999999999999999,6,landing_region_04a5b4bc2547::landing_region_32bca37bf53d,0.16666666666666666,0.3333333333333333,0.5,1.791759469228055,1.0,6.0,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,1.0,0.0,transition_near_country
BR,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,187,187.0,21,landing_region_7f124bf07cd8::landing_region_a33078e57a08,0.37967914438502676,0.5133689839572193,0.6417112299465241,2.1247904013270253,0.697905975334464,8.371142723829358,broad_corridor_observation_distribution,False,False,True,True,auditable,,176,141,1,0.6898395721925134,0.31016042780748665,transition_near_country
CA,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,526,526.0,9,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.6250950570342205,0.8304182509505703,0.9730038022813688,1.0371486441035798,0.4720266898529577,2.821161399905144,moderate_corridor_observation_concentration,True,True,True,True,auditable,,162,98,1,0.6121673003802282,0.38783269961977185,transition_near_country
CL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1,1.0,1,landing_region_4d0efd9bb45b::landing_region_8c0e5886c6bc,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CM,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_30beda532e6f::landing_region_99a747248ab4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,transition_near_country
CN,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,56,56.0,14,landing_region_271ad44782a4::landing_region_7a7da5f2aeb1,0.32142857142857145,0.6428571428571429,0.75,1.8376493409456858,0.6963279351015812,6.281754628799381,broad_corridor_observation_distribution,False,False,True,True,auditable,,52,42,1,0.48214285714285715,0.5178571428571429,transition_near_country
CO,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,7,7.0,4,landing_region_7f124bf07cd8::landing_region_a7a807763bb3,0.42857142857142855,0.7142857142857142,0.8571428571428571,1.2770342594661392,0.9211854965885544,3.5859888270569544,weak_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,1,0.14285714285714285,0.8571428571428571,transition_near_country
CV,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,13,13.0,5,landing_region_1ad4dd854de2::landing_region_d02d22941d60,0.23076923076923078,0.46153846153846156,0.6923076923076923,1.5508457063832817,0.9635946154877113,4.715456388341039,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.6923076923076923,0.3076923076923077,transition_near_country
CW,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,21,21.0,4,landing_region_83c1ffe3b901::landing_region_bd03623e84bf,0.7142857142857143,0.9047619047619048,0.9523809523809523,0.8461447967228176,0.6103644510530045,2.330644402002197,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,15,13,1,0.0,1.0,transition_near_country
CY,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,21,21.0,2,landing_region_08ea81d123b5::landing_region_3e7b4a85e943,0.9047619047619048,1.0,1.0,0.31449220128141064,0.4537163391869449,1.3695636716720743,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",9,5,1,0.0,1.0,transition_near_country
