country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,"Fujairah, United Arab Emirates -> Sharjah, United Arab Emirates",55.0,55,55,47,40,32,58,46,0.6626506024096386,1,True,False,False,55.0,0.0
AE,landing_region_0074f164da96::landing_region_1392e3aea9b8,"Mumbai, India -> Fujairah, United Arab Emirates",3.0,3,3,3,2,2,58,46,0.03614457831325301,2,False,True,False,0.0,3.0
AE,landing_region_1392e3aea9b8::landing_region_a096883e3a96,"Fujairah, United Arab Emirates -> Jeddah, Saudi Arabia",3.0,3,3,3,3,3,58,46,0.03614457831325301,3,False,False,True,0.0,3.0
AE,landing_region_6fa1e5de30e2::landing_region_8dc97f28b4d0,"Al Seeb, Oman -> Sharjah, United Arab Emirates",3.0,3,3,3,2,2,58,46,0.03614457831325301,4,False,False,False,0.0,3.0
AE,landing_region_05a5445633a9::landing_region_8dc97f28b4d0,"Al Khobar, Saudi Arabia -> Sharjah, United Arab Emirates",2.5,5,5,5,5,5,58,46,0.030120481927710843,5,False,False,False,0.0,2.5
AE,landing_region_8dc97f28b4d0::landing_region_ca49ab31c10b,"Sharjah, United Arab Emirates -> Amwaj Island, Bahrain",2.5,5,5,5,5,5,58,46,0.030120481927710843,6,False,False,False,0.0,2.5
AE,landing_region_1392e3aea9b8::landing_region_af2b1cb46785,"Fujairah, United Arab Emirates -> Tuas, Singapore",2.0,2,2,2,1,1,58,46,0.024096385542168676,7,False,False,False,0.0,2.0
AE,landing_region_8dc97f28b4d0::landing_region_fab792fddadd,"Sharjah, United Arab Emirates -> Kuwait City, Kuwait",2.0,2,2,2,2,2,58,46,0.024096385542168676,8,False,False,False,0.0,2.0
AE,landing_region_0074f164da96::landing_region_8dc97f28b4d0,"Mumbai, India -> Sharjah, United Arab Emirates",1.0,1,1,1,1,1,58,46,0.012048192771084338,9,False,False,False,0.0,1.0
AE,landing_region_05a5445633a9::landing_region_1392e3aea9b8,"Al Khobar, Saudi Arabia -> Fujairah, United Arab Emirates",1.0,2,2,2,2,2,58,46,0.012048192771084338,10,False,False,False,0.0,1.0
AE,landing_region_08ea81d123b5::landing_region_1392e3aea9b8,"Marseille, France -> Fujairah, United Arab Emirates",1.0,2,2,2,2,2,58,46,0.012048192771084338,11,False,False,False,0.0,1.0
AE,landing_region_08ea81d123b5::landing_region_1ef38be3b39c,"Marseille, France -> Abu Dhabi, United Arab Emirates",1.0,1,1,1,1,1,58,46,0.012048192771084338,12,False,False,False,0.0,1.0
AE,landing_region_1392e3aea9b8::landing_region_16217d497d23,"Fujairah, United Arab Emirates -> Toulon, France",1.0,2,2,2,2,2,58,46,0.012048192771084338,13,False,False,False,0.0,1.0
AE,landing_region_1392e3aea9b8::landing_region_173727a59ebb,"Fujairah, United Arab Emirates -> Djibouti City, Djibouti",1.0,1,1,1,1,1,58,46,0.012048192771084338,14,False,False,False,0.0,1.0
AE,landing_region_1392e3aea9b8::landing_region_1ef38be3b39c,"Fujairah, United Arab Emirates -> Abu Dhabi, United Arab Emirates",1.0,1,1,1,1,1,58,46,0.012048192771084338,15,False,False,False,1.0,0.0
AE,landing_region_1392e3aea9b8::landing_region_85e39fb7d29e,"Fujairah, United Arab Emirates -> Chai Wan, China",1.0,1,1,1,1,1,58,46,0.012048192771084338,16,False,False,False,0.0,1.0
AE,landing_region_1392e3aea9b8::landing_region_ca49ab31c10b,"Fujairah, United Arab Emirates -> Amwaj Island, Bahrain",1.0,2,2,2,2,2,58,46,0.012048192771084338,17,False,False,False,0.0,1.0
AE,landing_region_1392e3aea9b8::landing_region_f0ff9789c5ea,"Fujairah, United Arab Emirates -> Al-Kheesa, Qatar",1.0,1,1,1,1,1,58,46,0.012048192771084338,18,False,False,False,0.0,1.0
AL,landing_region_6c6f20567c17::landing_region_ac34543a7a05,"Bari, Italy -> Durres, Albania",11.0,11,11,11,6,6,6,6,1.0,1,True,False,False,0.0,11.0
AO,landing_region_3ee19f69866b::landing_region_eafefa1c1ea4,"Luanda, Angola -> Amanzimtoti, South Africa",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
AU,landing_region_3996aeca3c5e::landing_region_58084817cbe7,"Perth, WA, Australia -> Paddington, NSW, Australia",342.0,342,342,258,179,98,421,248,0.35403726708074534,1,True,False,False,342.0,0.0
AU,landing_region_149acfcae34c::landing_region_58084817cbe7,"Melbourne, VIC, Australia -> Paddington, NSW, Australia",230.0,230,230,217,174,136,421,248,0.23809523809523808,2,False,True,False,230.0,0.0
AU,landing_region_3996aeca3c5e::landing_region_b204db5c9fda,"Perth, WA, Australia -> Adelaide, SA, Australia",114.0,114,114,112,75,43,421,248,0.11801242236024845,3,False,False,True,114.0,0.0
AU,landing_region_58084817cbe7::landing_region_b204db5c9fda,"Paddington, NSW, Australia -> Adelaide, SA, Australia",97.0,97,97,75,49,24,421,248,0.10041407867494824,4,False,False,False,97.0,0.0
AU,landing_region_58084817cbe7::landing_region_df61fea74887,"Paddington, NSW, Australia -> El Segundo, CA, United States",95.0,95,95,92,69,39,421,248,0.09834368530020704,5,False,False,False,0.0,95.0
