probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,35,0.11428571428571428,0.2,0.2857142857142857,2.8222052982295187,0.95848659734442,16.81388945699636,broad_network_transition_distribution,0.3142857142857143,0.5714285714285714,0.6571428571428571,2.102948049377063,0.7968557657986333,8.190279705660133,-0.16163083154578672,0.16163083154578672,broad_corridor_observation_distribution,network_and_physical_both_broad,0.2,True,True,True,True,True,auditable,,15,9,0.5714285714285714,0.42857142857142855
AR,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,41,0.17073170731707318,0.3170731707317073,0.41463414634146345,2.734440018537507,0.9127785024973211,15.401116680900305,broad_network_transition_distribution,0.4146341463414634,0.4878048780487805,0.5609756097560975,2.276616367574454,0.787655207796367,9.743655620063574,-0.12512329470095407,0.12512329470095407,broad_corridor_observation_distribution,network_and_physical_both_broad,0.04878048780487805,True,True,True,True,True,auditable,,18,17,0.6097560975609756,0.3902439024390244
AT,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,106,0.1509433962264151,0.2358490566037736,0.3113207547169811,3.344728198765645,0.8838690769580739,28.352868274667124,broad_network_transition_distribution,0.42452830188679247,0.4716981132075472,0.5094339622641509,2.6640195646636657,0.737767966237937,14.35386960391543,-0.14610111072013698,0.14610111072013698,broad_corridor_observation_distribution,network_and_physical_both_broad,0.12264150943396226,True,True,True,True,True,auditable,,60,35,0.6132075471698113,0.3867924528301887
AT,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,44,0.1590909090909091,0.2954545454545454,0.38636363636363635,2.891431275793636,0.9098119258342048,18.019081428927176,broad_network_transition_distribution,0.36363636363636365,0.4772727272727273,0.5454545454545454,2.4236594278416486,0.8090373927061035,11.28708811646487,-0.10077453312810125,0.10077453312810125,broad_corridor_observation_distribution,network_and_physical_both_broad,0.18181818181818182,True,True,True,True,True,auditable,,25,20,0.5681818181818182,0.4318181818181818
AU,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,869,0.34177215189873417,0.41657077100115075,0.475258918296893,3.186678724581548,0.6740887032724014,24.207892699138352,broad_network_transition_distribution,0.2336018411967779,0.4315304948216341,0.5546605293440736,2.3490579581965036,0.6035884954238272,10.475696530924212,-0.07050020784857425,0.07050020784857425,broad_corridor_observation_distribution,network_and_physical_both_broad,0.1323360184119678,True,True,True,True,True,auditable,,208,65,0.7686996547756041,0.23130034522439585
AU,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,402,0.3283582089552239,0.3955223880597015,0.44776119402985076,3.18049112704211,0.7258036959145066,24.058566463591575,broad_network_transition_distribution,0.23383084577114427,0.4552238805970149,0.5671641791044776,2.3295469113981366,0.6783796131667308,10.273285769700507,-0.047424082747775764,0.047424082747775764,broad_corridor_observation_distribution,network_and_physical_both_broad,0.13432835820895522,True,True,True,True,True,auditable,,137,52,0.7686567164179104,0.23134328358208955
BE,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,70,0.15714285714285714,0.2571428571428571,0.34285714285714286,3.2585830892227787,0.9024251362270831,26.012653409249825,broad_network_transition_distribution,0.4714285714285714,0.5428571428571428,0.5857142857142857,2.3316024433931783,0.707438668291817,10.294424555576699,-0.19498646793526608,0.19498646793526608,broad_corridor_observation_distribution,network_and_physical_both_broad,0.05714285714285714,True,True,True,True,True,auditable,,45,14,0.6142857142857143,0.38571428571428573
BE,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,36,0.1111111111111111,0.2222222222222222,0.3055555555555555,3.1068861474226868,0.9535893461614187,22.35133715921377,broad_network_transition_distribution,0.4444444444444444,0.5277777777777778,0.611111111111111,2.0911388826204167,0.7721935441851474,8.094128178948546,-0.18139580197627125,0.18139580197627125,broad_corridor_observation_distribution,network_and_physical_both_broad,0.08333333333333333,True,True,True,True,True,auditable,,26,13,0.5833333333333334,0.4166666666666667
BG,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,37,0.16216216216216217,0.32432432432432434,0.40540540540540543,2.687641886941808,0.9127857313255205,14.696977890103511,broad_network_transition_distribution,0.6756756756756757,0.7027027027027026,0.7297297297297297,1.4360018147603055,0.5598558157036984,4.203854383300475,-0.3529299156218222,0.3529299156218222,broad_corridor_observation_distribution,network_and_physical_both_broad,0.16216216216216217,True,True,True,True,True,auditable,,18,14,0.7837837837837838,0.21621621621621623
BR,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,66,0.18181818181818182,0.30303030303030304,0.36363636363636365,3.1968860281933593,0.8921080321039621,24.456255410133323,broad_network_transition_distribution,0.3484848484848485,0.42424242424242425,0.48484848484848486,2.6572089539125914,0.8062319410651015,14.25644312875996,-0.08587609103886051,0.08587609103886051,broad_corridor_observation_distribution,network_and_physical_both_broad,0.13636363636363635,True,True,True,True,True,auditable,,35,29,0.5151515151515151,0.48484848484848486
