probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
?,Topology-IPv4-UDP,all_publicly_visible,27,0,0,18,9,15,12,0.0,0.0,0.6666666666666666,0.3333333333333333
?,Topology-IPv4-UDP,resolved_entry_only,8,0,0,5,3,4,4,0.0,0.0,0.625,0.375
AD,Topology-IPv4-UDP,all_publicly_visible,72,6,1,47,18,59,13,0.08333333333333333,0.013888888888888888,0.6527777777777778,0.25
AD,Topology-IPv4-UDP,resolved_entry_only,10,0,0,8,2,9,1,0.0,0.0,0.8,0.2
AE,Topology-IPv4-UDP,all_publicly_visible,533,24,6,408,95,403,130,0.0450281425891182,0.01125703564727955,0.7654784240150094,0.17823639774859287
AE,Topology-IPv4-UDP,resolved_entry_only,221,8,3,177,33,164,57,0.03619909502262444,0.013574660633484163,0.8009049773755657,0.1493212669683258
AF,Topology-IPv4-UDP,all_publicly_visible,192,5,3,103,81,144,48,0.026041666666666668,0.015625,0.5364583333333334,0.421875
AF,Topology-IPv4-UDP,resolved_entry_only,55,0,1,36,18,46,9,0.0,0.01818181818181818,0.6545454545454545,0.32727272727272727
AL,Topology-IPv4-UDP,all_publicly_visible,934,23,13,684,214,718,216,0.02462526766595289,0.013918629550321198,0.7323340471092077,0.2291220556745182
AL,Topology-IPv4-UDP,resolved_entry_only,277,7,6,201,63,207,70,0.02527075812274368,0.021660649819494584,0.7256317689530686,0.22743682310469315
AM,Topology-IPv4-UDP,all_publicly_visible,654,6,6,552,90,495,159,0.009174311926605505,0.009174311926605505,0.8440366972477065,0.13761467889908258
AM,Topology-IPv4-UDP,resolved_entry_only,336,2,2,284,48,247,89,0.005952380952380952,0.005952380952380952,0.8452380952380952,0.14285714285714285
AO,Topology-IPv4-UDP,all_publicly_visible,410,22,2,231,155,315,95,0.05365853658536585,0.004878048780487805,0.5634146341463414,0.3780487804878049
AO,Topology-IPv4-UDP,resolved_entry_only,166,8,0,100,58,126,40,0.04819277108433735,0.0,0.6024096385542169,0.3493975903614458
AR,Topology-IPv4-UDP,all_publicly_visible,1702,60,10,1282,350,1286,416,0.03525264394829612,0.005875440658049354,0.7532314923619271,0.2056404230317274
AR,Topology-IPv4-UDP,resolved_entry_only,707,24,4,538,141,528,179,0.033946251768033946,0.005657708628005658,0.7609618104667609,0.19943422913719944
AT,Topology-IPv4-UDP,all_publicly_visible,7252,54,45,6241,912,5240,2012,0.007446221731936017,0.006205184776613348,0.8605901820187535,0.12575841147269717
AT,Topology-IPv4-UDP,resolved_entry_only,3175,24,19,2758,374,2294,881,0.007559055118110236,0.005984251968503937,0.8686614173228346,0.11779527559055118
AU,Topology-IPv4-UDP,all_publicly_visible,8866,741,153,5706,2266,6363,2503,0.08357771260997067,0.017256936611775322,0.6435822242273855,0.2555831265508685
AU,Topology-IPv4-UDP,resolved_entry_only,3954,344,76,2615,919,2828,1126,0.08700050581689428,0.019221041982802226,0.6613555892766818,0.23242286292362166
AX,Topology-IPv4-UDP,all_publicly_visible,63,5,6,46,6,47,16,0.07936507936507936,0.09523809523809523,0.7301587301587301,0.09523809523809523
AX,Topology-IPv4-UDP,resolved_entry_only,37,1,4,28,4,27,10,0.02702702702702703,0.10810810810810811,0.7567567567567568,0.10810810810810811
AZ,Topology-IPv4-UDP,all_publicly_visible,221,1,5,135,80,158,63,0.004524886877828055,0.02262443438914027,0.6108597285067874,0.36199095022624433
AZ,Topology-IPv4-UDP,resolved_entry_only,122,0,4,76,42,88,34,0.0,0.03278688524590164,0.6229508196721312,0.3442622950819672
BA,Topology-IPv4-UDP,all_publicly_visible,427,2,1,374,50,327,100,0.00468384074941452,0.00234192037470726,0.8758782201405152,0.117096018735363
BA,Topology-IPv4-UDP,resolved_entry_only,231,1,0,204,26,173,58,0.004329004329004329,0.0,0.8831168831168831,0.11255411255411256
BB,Topology-IPv4-UDP,all_publicly_visible,59,2,2,47,8,44,15,0.03389830508474576,0.03389830508474576,0.7966101694915254,0.13559322033898305
BB,Topology-IPv4-UDP,resolved_entry_only,19,1,2,12,4,16,3,0.05263157894736842,0.10526315789473684,0.631578947368421,0.21052631578947367
BD,Topology-IPv4-UDP,all_publicly_visible,361,4,3,210,144,283,78,0.0110803324099723,0.008310249307479225,0.5817174515235457,0.3988919667590028
BD,Topology-IPv4-UDP,resolved_entry_only,144,0,2,90,52,114,30,0.0,0.013888888888888888,0.625,0.3611111111111111
BE,Topology-IPv4-UDP,all_publicly_visible,4475,32,33,3510,900,3340,1135,0.007150837988826816,0.007374301675977654,0.7843575418994413,0.2011173184357542
BE,Topology-IPv4-UDP,resolved_entry_only,2094,15,20,1669,390,1529,565,0.0071633237822349575,0.009551098376313277,0.7970391595033429,0.18624641833810887
BF,Topology-IPv4-UDP,all_publicly_visible,121,7,0,78,36,89,32,0.05785123966942149,0.0,0.6446280991735537,0.2975206611570248
BF,Topology-IPv4-UDP,resolved_entry_only,82,6,0,52,24,61,21,0.07317073170731707,0.0,0.6341463414634146,0.2926829268292683
BG,Topology-IPv4-UDP,all_publicly_visible,2576,22,15,2209,330,1944,632,0.008540372670807454,0.005822981366459627,0.8575310559006211,0.1281055900621118
BG,Topology-IPv4-UDP,resolved_entry_only,1178,11,11,1015,141,863,315,0.00933786078098472,0.00933786078098472,0.8616298811544991,0.11969439728353141
BH,Topology-IPv4-UDP,all_publicly_visible,200,12,0,108,80,137,63,0.06,0.0,0.54,0.4
BH,Topology-IPv4-UDP,resolved_entry_only,60,3,0,26,31,43,17,0.05,0.0,0.43333333333333335,0.5166666666666667
BI,Topology-IPv4-UDP,all_publicly_visible,11,1,0,9,1,8,3,0.09090909090909091,0.0,0.8181818181818182,0.09090909090909091
BJ,Topology-IPv4-UDP,all_publicly_visible,319,12,4,258,45,228,91,0.03761755485893417,0.012539184952978056,0.8087774294670846,0.14106583072100312
BJ,Topology-IPv4-UDP,resolved_entry_only,124,4,1,104,15,92,32,0.03225806451612903,0.008064516129032258,0.8387096774193549,0.12096774193548387
BL,Topology-IPv4-UDP,all_publicly_visible,32,2,1,29,0,22,10,0.0625,0.03125,0.90625,0.0
BL,Topology-IPv4-UDP,resolved_entry_only,25,2,1,22,0,16,9,0.08,0.04,0.88,0.0
BO,Topology-IPv4-UDP,all_publicly_visible,725,25,4,529,167,509,216,0.034482758620689655,0.005517241379310344,0.7296551724137931,0.2303448275862069
BO,Topology-IPv4-UDP,resolved_entry_only,324,13,2,232,77,222,102,0.040123456790123455,0.006172839506172839,0.7160493827160493,0.23765432098765432
BR,Topology-IPv4-UDP,all_publicly_visible,3224,166,21,2143,894,2428,796,0.05148883374689826,0.006513647642679901,0.6647022332506204,0.27729528535980147
BR,Topology-IPv4-UDP,resolved_entry_only,1704,96,14,1130,464,1284,420,0.056338028169014086,0.008215962441314555,0.6631455399061033,0.27230046948356806
BT,Topology-IPv4-UDP,all_publicly_visible,35,0,1,31,3,25,10,0.0,0.02857142857142857,0.8857142857142857,0.08571428571428572
BT,Topology-IPv4-UDP,resolved_entry_only,35,0,1,31,3,25,10,0.0,0.02857142857142857,0.8857142857142857,0.08571428571428572
BW,Topology-IPv4-UDP,all_publicly_visible,51,0,0,39,12,37,14,0.0,0.0,0.7647058823529411,0.23529411764705882
BW,Topology-IPv4-UDP,resolved_entry_only,40,0,0,31,9,30,10,0.0,0.0,0.775,0.225
BY,Topology-IPv4-UDP,all_publicly_visible,913,6,4,785,118,667,246,0.0065717415115005475,0.004381161007667032,0.859802847754655,0.12924424972617743
BY,Topology-IPv4-UDP,resolved_entry_only,483,5,2,406,70,353,130,0.010351966873706004,0.004140786749482402,0.8405797101449275,0.14492753623188406
CA,Topology-IPv4-UDP,all_publicly_visible,9569,154,258,7232,1925,6909,2660,0.016093635698610095,0.026962065001567562,0.7557738530671961,0.2011704462326262
CA,Topology-IPv4-UDP,resolved_entry_only,4301,59,112,3306,824,3089,1212,0.013717740060451058,0.02604045570797489,0.7686584515229017,0.1915833527086724
