country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,group_unique_probes,group_unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
AE,landing_region_1392e3aea9b8::landing_region_8dc97f28b4d0,"Fujairah, United Arab Emirates -> Sharjah, United Arab Emirates",14.0,14,14,11,11,11,15,15,0.7368421052631579,1,True,False,False,14.0,0.0
AE,landing_region_6fa1e5de30e2::landing_region_8dc97f28b4d0,"Al Seeb, Oman -> Sharjah, United Arab Emirates",2.0,2,2,2,2,2,15,15,0.10526315789473684,2,False,True,False,0.0,2.0
AE,landing_region_0074f164da96::landing_region_8dc97f28b4d0,"Mumbai, India -> Sharjah, United Arab Emirates",1.0,1,1,1,1,1,15,15,0.05263157894736842,3,False,False,True,0.0,1.0
AE,landing_region_1392e3aea9b8::landing_region_a096883e3a96,"Fujairah, United Arab Emirates -> Jeddah, Saudi Arabia",1.0,1,1,1,1,1,15,15,0.05263157894736842,4,False,False,False,0.0,1.0
AE,landing_region_08ea81d123b5::landing_region_1392e3aea9b8,"Marseille, France -> Fujairah, United Arab Emirates",0.5,1,1,1,1,1,15,15,0.02631578947368421,5,False,False,False,0.0,0.5
AE,landing_region_1392e3aea9b8::landing_region_16217d497d23,"Fujairah, United Arab Emirates -> Toulon, France",0.5,1,1,1,1,1,15,15,0.02631578947368421,6,False,False,False,0.0,0.5
AL,landing_region_6c6f20567c17::landing_region_ac34543a7a05,"Bari, Italy -> Durres, Albania",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
AO,landing_region_3ee19f69866b::landing_region_44e270aeb18c,"Luanda, Angola -> Melkbosstrand, South Africa",1.0,1,1,1,1,1,1,1,1.0,1,True,False,False,0.0,1.0
AU,landing_region_3996aeca3c5e::landing_region_58084817cbe7,"Perth, WA, Australia -> Paddington, NSW, Australia",113.0,113,113,84,83,44,216,120,0.35987261146496813,1,True,False,False,113.0,0.0
AU,landing_region_149acfcae34c::landing_region_58084817cbe7,"Melbourne, VIC, Australia -> Paddington, NSW, Australia",73.0,73,73,73,73,58,216,120,0.23248407643312102,2,False,True,False,73.0,0.0
AU,landing_region_58084817cbe7::landing_region_df61fea74887,"Paddington, NSW, Australia -> El Segundo, CA, United States",35.0,35,35,35,35,24,216,120,0.11146496815286625,3,False,False,True,0.0,35.0
AU,landing_region_3996aeca3c5e::landing_region_b204db5c9fda,"Perth, WA, Australia -> Adelaide, SA, Australia",34.0,34,34,33,33,20,216,120,0.10828025477707007,4,False,False,False,34.0,0.0
AU,landing_region_58084817cbe7::landing_region_b204db5c9fda,"Paddington, NSW, Australia -> Adelaide, SA, Australia",27.0,27,27,22,22,12,216,120,0.08598726114649681,5,False,False,False,27.0,0.0
AU,landing_region_34040dee7bd1::landing_region_58084817cbe7,"Hillsboro, OR, United States -> Paddington, NSW, Australia",12.0,12,12,12,12,10,216,120,0.03821656050955414,6,False,False,False,0.0,12.0
