country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,23,0.34782608695652173,0.5652173913043478,0.6956521739130435,1.7154642164188134,0.8815742172122515,5.55925561118406,broad_network_transition_distribution,0.782608695652174,0.8695652173913044,0.9130434782608696,0.8433273105947622,0.47066993370382104,2.3240870856418554,-0.41090428350843045,0.41090428350843045,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,17,14,0.782608695652174,0.21739130434782608,transition_near_country
AL,1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
AO,5,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,3,0.0,1.0,transition_near_country
AU,373,0.39946380697050937,0.5335120643431636,0.6595174262734584,2.318238111565102,0.6327826130656746,10.157761687847394,broad_network_transition_distribution,0.28418230563002683,0.418230563002681,0.5107238605898123,2.2577778157411887,0.7667938889942142,9.561817420490579,0.13401127592853956,-0.13401127592853956,broad_corridor_observation_distribution,network_and_physical_both_broad,0.15013404825737264,True,True,True,True,True,auditable,,232,111,0.8525469168900804,0.14745308310991956,transition_near_country
AX,3,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.8333333333333334,1.0,1.0,0.45056120886630463,0.6500224216483541,1.5691925832141966,0.6500224216483541,-0.6500224216483541,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6666666666666666,0.3333333333333333,transition_near_country
BH,3,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,weak_network_transition_concentration,0.6666666666666666,0.8333333333333333,1.0,0.8675632284814613,0.7896900821428475,2.3811015779522995,-0.21030991785715225,0.21030991785715225,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0,transition_near_country
BJ,2,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,0.0,0.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
BR,146,0.363013698630137,0.5,0.589041095890411,2.49462415869261,0.7264512096708952,12.117178526446704,broad_network_transition_distribution,0.3287671232876712,0.5273972602739726,0.7123287671232876,2.071454500228748,0.6914684995436108,7.936358161715557,-0.03498271012728438,0.03498271012728438,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0547945205479452,True,True,True,True,True,auditable,,118,89,0.6438356164383562,0.3561643835616438,transition_near_country
CA,101,0.1485148514851485,0.26732673267326734,0.3465346534653465,2.9729267726345907,0.8921801658801181,19.549051578278828,broad_network_transition_distribution,0.27722772277227725,0.37343234323432345,0.46963696369636965,2.517097423858001,0.7725668636530144,12.39257401994704,-0.11961330222710365,0.11961330222710365,broad_corridor_observation_distribution,network_and_physical_both_broad,0.07920792079207921,True,True,True,True,True,auditable,,78,33,0.22772277227722773,0.7722772277227723,transition_near_country
CL,51,0.8823529411764706,0.9215686274509803,0.9411764705882353,0.545823546434438,0.304629921486948,1.7260292624606002,severe_network_transition_concentration,0.5294117647058824,0.9803921568627452,1.0,0.7729244102049664,0.703546117385973,2.166091540616593,0.39891619589902494,-0.39891619589902494,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,42,26,0.47058823529411764,0.5294117647058824,transition_near_country
