country,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,19,6,8966->5384,0.3157894736842105,0.5789473684210527,0.7368421052631579,1.6356930862304961,0.9128976932016455,5.13301438603457,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,15,15,0.7368421052631579,0.2631578947368421,transition_near_country
AL,1,1,6939->6939,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
AO,1,1,37468->11845,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
AU,314,39,7578->7578,0.3980891719745223,0.4968152866242038,0.5923566878980893,2.454098180936777,0.6698667629980781,11.635935307555103,broad_network_transition_distribution,0.1337579617834395,True,True,auditable,,216,120,0.7866242038216561,0.21337579617834396,transition_near_country
AX,1,1,3238->3238,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BH,4,4,8529->42961,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0,transition_near_country
BJ,2,2,28683->174,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
BR,73,22,52320->52320,0.3287671232876712,0.4520547945205479,0.5753424657534246,2.4155221633892587,0.7814587472795378,11.19561477170439,broad_network_transition_distribution,0.0273972602739726,True,True,auditable,,72,64,0.6986301369863014,0.3013698630136986,transition_near_country
CA,190,46,6327->6327,0.15789473684210525,0.28421052631578947,0.3631578947368421,3.137562352019604,0.8194975781478991,23.047616351656128,broad_network_transition_distribution,0.1631578947368421,True,True,auditable,,89,49,0.6105263157894737,0.3894736842105263,transition_near_country
CM,1,1,60171->60171,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,14,8,58453->58453,0.21428571428571427,0.42857142857142855,0.5714285714285714,1.9701814400260846,0.9474569977257031,7.171977654113909,broad_network_transition_distribution,0.14285714285714285,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,14,13,0.7142857142857143,0.2857142857142857,transition_near_country
