metric,value
candidate_rows,10073.0
unique_links,3275.0
unique_units,127.0
units_with_network_layer_diversity,163.0
units_with_physical_diversity_cable,127.0
units_with_physical_diversity_corridor,127.0
units_with_network_physical_mismatch_cable,127.0
units_with_network_physical_mismatch_corridor,127.0
median_network_layer_diversity_score,7.713191766739613
median_cable_physical_candidate_diversity_score,5.73878432834999
median_corridor_physical_candidate_diversity_score,4.35172011671187
cable_mismatch_network_high_physical_low,11.0
cable_mismatch_network_high_physical_high,53.0
cable_mismatch_network_low_physical_low,53.0
cable_mismatch_network_low_physical_high,10.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,57.0
corridor_mismatch_network_low_physical_low,57.0
corridor_mismatch_network_low_physical_high,6.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.38461538461538464
cable_corridor_target_quadrant_recall_from_cable,0.45454545454545453
cable_corridor_target_quadrant_precision_to_corridor,0.7142857142857143
mean_corridor_minus_cable_physical_diversity,-0.8740766633174083
cable_corridor_quadrant_agreement_rate,0.84251968503937
spearman_cable_corridor_physical_diversity_score,0.9237906265813891
