country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
DK,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,36.0,36.0,1.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,36.0,30.0,1.0,0.0,1.0,country_corridor_concentration_summary,,,,,
,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,355.0,355.0,15.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9183098591549296,0.9380281690140845,0.952112676056338,0.4703414772095148,0.17368270241743672,1.6005406480653284,severe_corridor_observation_concentration,True,True,True,True,auditable,,103.0,50.0,1.0,0.9183098591549296,0.08169014084507042,service_country_corridor_concentration_summary,SG,Topology-IPv4-ICMP,all_publicly_visible,0.05070422535211268,True
,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,185.0,185.0,10.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.9135135135135135,0.9405405405405405,0.9513513513513514,0.46814525498357007,0.20331290096855525,1.5970293623137828,severe_corridor_observation_concentration,True,True,True,True,auditable,,58.0,34.0,1.0,0.9135135135135135,0.08648648648648649,service_country_corridor_concentration_summary,SG,Topology-IPv4-ICMP,resolved_entry_only,0.07027027027027027,True
SE,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,303.0,303.0,5.0,landing_region_1ce0b85cd8b9::landing_region_e1a72a298b9d,0.8382838283828383,0.9603960396039605,0.9933993399339934,0.5549449589071083,0.3448066897267346,1.7418451090770963,severe_corridor_observation_concentration,True,True,True,True,auditable,,281.0,176.0,1.0,0.6171617161716172,0.38283828382838286,country_corridor_concentration_summary,,,,,
NO,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,182.0,182.00000000000003,13.0,landing_region_2f1f6d8f7ce5::landing_region_d514e04d4eb8,0.8260073260073261,0.8855311355311356,0.9065934065934067,0.827283848875713,0.322534184337446,2.2870981917886626,severe_corridor_observation_concentration,True,True,True,True,auditable,,78.0,35.0,1.0,1.0,0.0,country_corridor_concentration_summary,,,,,
SG,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,1962.0,1962.0,30.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.817533129459735,0.8634046890927625,0.8835372069317023,0.9208738287742815,0.2707498934755304,2.5114840383790322,severe_corridor_observation_concentration,True,True,True,True,auditable,,996.0,572.0,1.0,0.8042813455657493,0.19571865443425077,country_corridor_concentration_summary,,,,,
,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,46.0,46.0,11.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.7608695652173914,0.8478260869565217,0.8695652173913044,1.0330747609349828,0.43082563807274743,2.8096916969401997,moderate_corridor_observation_concentration,True,True,True,True,auditable,,26.0,17.0,1.0,0.7391304347826086,0.2608695652173913,service_country_corridor_concentration_summary,TH,Topology-IPv4-ICMP,all_publicly_visible,0.10869565217391304,True
CA,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,190.0,190.0,8.0,landing_region_19da5dac2df8::landing_region_94c53aa4a6d7,0.7347368421052631,0.8768421052631579,0.9821052631578947,0.8410761062342487,0.40447210915811654,2.3188609753886666,moderate_corridor_observation_concentration,True,True,True,True,auditable,,89.0,49.0,1.0,0.6105263157894737,0.3894736842105263,country_corridor_concentration_summary,,,,,
FI,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,123.0,123.0,7.0,landing_region_65aa8d7cf62e::landing_region_71db3ba08a92,0.6747967479674797,0.8536585365853658,0.9186991869918699,1.0500277441316526,0.539607517151505,2.85773040221183,moderate_corridor_observation_concentration,True,True,True,True,auditable,,113.0,54.0,1.0,0.12195121951219512,0.8780487804878049,country_corridor_concentration_summary,,,,,
IL,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,79.0,79.0,4.0,landing_region_7559ef31b258::landing_region_c6ca70161fbc,0.6286919831223629,0.8016877637130801,0.9493670886075949,1.0288174564501713,0.7421349212003296,2.79775541011001,moderate_corridor_observation_concentration,True,True,True,True,auditable,,36.0,27.0,1.0,0.9493670886075949,0.05063291139240506,country_corridor_concentration_summary,,,,,
ES,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,35.0,35.0,5.0,landing_region_09d9f94c7c1e::landing_region_1a00bf1d418e,0.4857142857142857,0.8857142857142857,0.9428571428571428,1.0839845236411512,0.6735174530602067,2.956436102927441,moderate_corridor_observation_concentration,True,True,True,True,auditable,,35.0,27.0,1.0,0.02857142857142857,0.9714285714285714,country_corridor_concentration_summary,,,,,
PH,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,40.0,40.0,6.0,landing_region_71e1260196d0::landing_region_d0ecf913edd7,0.45,0.8500000000000001,0.925,1.1967807525146414,0.6679360556304197,3.3094458303414798,moderate_corridor_observation_concentration,True,True,True,True,auditable,,36.0,21.0,1.0,0.125,0.875,country_corridor_concentration_summary,,,,,
