probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
NO,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,52,52,47,0.9038461538461539,0.9230769230769231,0.9038461538461539,0.8076923076923077,0.1346153846153846,0.4230769230769231,47,0.9038461538461539,1.0,51,25,52,50,1.0,True,0.07563025210084033,True,True,auditable,
NO,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,94,88,77,0.8191489361702128,0.851063829787234,0.8191489361702128,0.7659574468085106,0.10638297872340426,0.3191489361702128,77,0.8191489361702128,0.9361702127659575,92,34,92,87,0.5531914893617021,True,0.04568527918781726,True,True,auditable,
NZ,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,65,65,52,0.8,0.9076923076923077,0.8,0.5230769230769231,0.6615384615384615,0.8461538461538461,52,0.8,1.0,65,26,65,65,1.0,True,0.15384615384615385,True,True,auditable,
ID,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,61,61,48,0.7868852459016393,0.8852459016393442,0.7868852459016393,0.6065573770491803,0.5901639344262295,0.819672131147541,48,0.7868852459016393,1.0,59,49,61,57,1.0,True,0.07894736842105263,True,True,auditable,
ID,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,96,93,74,0.7708333333333334,0.8854166666666666,0.7708333333333334,0.5729166666666666,0.6145833333333334,0.7916666666666666,74,0.7708333333333334,0.96875,94,65,96,91,0.6354166666666666,True,0.08187134502923976,True,True,auditable,
PH,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,36,36,27,0.75,0.7777777777777778,0.75,0.4166666666666667,0.6111111111111112,0.6111111111111112,27,0.75,1.0,35,25,36,36,1.0,True,0.11764705882352941,True,True,auditable,
SG,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,148,138,104,0.7027027027027027,0.7162162162162162,0.7027027027027027,0.6756756756756757,0.18243243243243243,0.7094594594594594,104,0.7027027027027027,0.9324324324324325,146,64,145,131,0.5743243243243243,True,0.05070422535211268,True,True,auditable,
NZ,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,116,104,81,0.6982758620689655,0.8103448275862069,0.6982758620689655,0.4396551724137931,0.5862068965517241,0.7672413793103449,81,0.6982758620689655,0.896551724137931,116,35,112,108,0.5603448275862069,True,0.136986301369863,True,True,auditable,
SG,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,85,85,59,0.6941176470588235,0.7176470588235294,0.6941176470588235,0.6588235294117647,0.17647058823529413,0.7058823529411765,59,0.6941176470588235,1.0,84,44,85,75,1.0,True,0.07027027027027027,True,True,auditable,
PH,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,66,61,42,0.6363636363636364,0.6515151515151515,0.6363636363636364,0.3484848484848485,0.5606060606060606,0.45454545454545453,42,0.6363636363636364,0.9242424242424242,65,34,65,64,0.5454545454545454,True,0.1375,True,True,auditable,
FI,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,resolved_entry_only,115,115,72,0.6260869565217392,0.6434782608695652,0.6260869565217392,0.1826086956521739,0.5739130434782609,0.08695652173913043,72,0.6260869565217392,1.0,114,40,106,102,1.0,True,0.09174311926605505,True,True,auditable,
FI,Topology-IPv4-ICMP,topology_baseline,dynamic_multi_target,all_publicly_visible,178,171,111,0.6235955056179775,0.6460674157303371,0.6235955056179775,0.20224719101123595,0.5561797752808989,0.11797752808988764,111,0.6235955056179775,0.9606741573033708,176,61,164,152,0.6460674157303371,True,0.10179640718562874,True,True,auditable,
