probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AT,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,47,0.1276595744680851,0.23404255319148937,0.2978723404255319,3.2030976142576644,0.9417558744245298,24.60864033148545,broad_network_transition_distribution,0.48936170212765956,0.5319148936170213,0.5744680851063829,2.1977743163728247,0.7218781800196671,9.004949011537228,-0.2198776944048627,0.2198776944048627,broad_corridor_observation_distribution,network_and_physical_both_broad,0.02127659574468085,True,True,True,True,True,auditable,,29,22,0.6595744680851063,0.3404255319148936
AU,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,269,0.34944237918215615,0.42750929368029744,0.4944237918215614,3.029917144842741,0.7258351822538237,20.695517787969536,broad_network_transition_distribution,0.2379182156133829,0.4163568773234201,0.5576208178438662,2.2559459544452976,0.7530532599193028,9.54431753081861,0.027218077665479123,-0.027218077665479123,broad_corridor_observation_distribution,network_and_physical_both_broad,0.13011152416356878,True,True,True,True,True,auditable,,145,59,0.758364312267658,0.241635687732342
AU,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,164,0.38414634146341464,0.45121951219512196,0.5,2.8651619594232964,0.7362009907842495,17.551895669298762,broad_network_transition_distribution,0.23170731707317074,0.4207317073170732,0.5426829268292683,2.2665643837944467,0.8174902990889494,9.646203167615957,0.08128930830469994,-0.08128930830469994,broad_corridor_observation_distribution,network_and_physical_both_broad,0.10975609756097561,True,True,True,True,True,auditable,,87,42,0.7560975609756098,0.24390243902439024
CA,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,199,0.12562814070351758,0.22613065326633164,0.3015075376884422,3.449019972560948,0.8423863502804662,31.469536182339386,broad_network_transition_distribution,0.46733668341708545,0.6582914572864322,0.8090452261306533,1.6980108152010396,0.5874714249342731,5.463069521419245,-0.2549149253461931,0.2549149253461931,weak_corridor_observation_concentration,network_and_physical_both_broad,0.1507537688442211,True,True,True,True,True,auditable,,93,40,0.6934673366834171,0.3065326633165829
CA,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,116,0.12931034482758622,0.21551724137931036,0.3017241379310345,3.3513723882194455,0.8753424625489057,28.541877313653927,broad_network_transition_distribution,0.4482758620689655,0.6637931034482758,0.8275862068965517,1.648802192607435,0.6428205640049016,5.200746602096714,-0.23252189854400407,0.23252189854400407,weak_corridor_observation_concentration,network_and_physical_both_broad,0.1206896551724138,True,True,True,True,True,auditable,,56,27,0.7241379310344828,0.27586206896551724
CH,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,49,0.14285714285714285,0.24489795918367346,0.32653061224489793,3.1383958373376375,0.9320226068020415,23.06683420928944,broad_network_transition_distribution,0.46938775510204084,0.5306122448979592,0.5714285714285714,2.1547536785144223,0.7454936108574554,8.625765205966466,-0.18652899594458616,0.18652899594458616,broad_corridor_observation_distribution,network_and_physical_both_broad,0.08163265306122448,True,True,True,True,True,auditable,,33,21,0.673469387755102,0.32653061224489793
CH,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,30,0.16666666666666666,0.23333333333333334,0.3,2.9019086694031566,0.9531572615287055,18.208866930087513,broad_network_transition_distribution,0.4666666666666667,0.5333333333333333,0.6,2.0310078583963787,0.7695959597408497,7.621764148059707,-0.1835613017878558,0.1835613017878558,broad_corridor_observation_distribution,network_and_physical_both_broad,0.1,True,True,True,True,True,auditable,,18,14,0.6333333333333333,0.36666666666666664
CZ,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,44,0.11363636363636363,0.20454545454545453,0.29545454545454547,3.242833368503403,0.9443347267770607,25.606170779259422,broad_network_transition_distribution,0.5227272727272727,0.5681818181818181,0.6136363636363636,2.0506612236971224,0.696452274340444,7.773039125097854,-0.24788245243661666,0.24788245243661666,broad_corridor_observation_distribution,network_and_physical_both_broad,0.06818181818181818,True,True,True,True,True,auditable,,26,20,0.7045454545454546,0.29545454545454547
DE,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,307,0.11400651465798045,0.22149837133550487,0.32573289902280134,3.9438402205207894,0.8296550737376224,51.61643969679438,broad_network_transition_distribution,0.5635179153094463,0.5993485342019544,0.6254071661237786,2.354200791750384,0.570420192829428,10.52971006680697,-0.25923488090819435,0.25923488090819435,broad_corridor_observation_distribution,network_and_physical_both_broad,0.03257328990228013,True,True,True,True,True,auditable,,171,67,0.7231270358306189,0.2768729641693811
DE,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,162,0.1111111111111111,0.2222222222222222,0.2839506172839506,3.8788884361039013,0.8826791025627494,48.37041836695127,broad_network_transition_distribution,0.5,0.5493827160493827,0.5802469135802469,2.444793792994726,0.6540957448554716,11.52817216386721,-0.22858335770727778,0.22858335770727778,broad_corridor_observation_distribution,network_and_physical_both_broad,0.006172839506172839,True,True,True,True,True,auditable,,99,40,0.6851851851851852,0.3148148148148148
ES,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,71,0.18309859154929578,0.323943661971831,0.4225352112676056,3.035210241864825,0.8607203434467899,20.805351595610365,broad_network_transition_distribution,0.352112676056338,0.5070422535211268,0.5915492957746479,2.4280404438285244,0.7640023024917401,11.336645506543347,-0.09671804095504988,0.09671804095504988,broad_corridor_observation_distribution,network_and_physical_both_broad,0.028169014084507043,True,True,True,True,True,auditable,,46,24,0.4507042253521127,0.5492957746478874
ES,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,35,0.22857142857142856,0.4,0.5428571428571428,2.3546351345469514,0.8694946399400519,10.534284563902444,broad_network_transition_distribution,0.3142857142857143,0.4857142857142857,0.5714285714285714,2.2270147109065896,0.8438674999270518,9.272144689475585,-0.02562714001300015,0.02562714001300015,broad_corridor_observation_distribution,network_and_physical_both_broad,0.02857142857142857,True,True,True,True,True,auditable,,23,16,0.45714285714285713,0.5428571428571428
FI,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,164,0.3170731707317073,0.4451219512195122,0.5060975609756098,2.860687363670405,0.7605783461864263,17.473533481784756,broad_network_transition_distribution,0.4451219512195122,0.6951219512195121,0.774390243902439,1.7863394358683364,0.5962947529183275,5.967567771119037,-0.16428359326809883,0.16428359326809883,broad_corridor_observation_distribution,network_and_physical_both_broad,0.10365853658536585,True,True,True,True,True,auditable,,109,45,0.27439024390243905,0.725609756097561
FI,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,107,0.35514018691588783,0.5233644859813084,0.6074766355140186,2.4352228151419983,0.7231983579986735,11.418362614033857,broad_network_transition_distribution,0.48598130841121495,0.7663551401869159,0.8504672897196262,1.5315519155590203,0.5803405247669634,4.625349406947909,-0.14285783323171009,0.14285783323171009,weak_corridor_observation_concentration,network_and_physical_both_broad,0.09345794392523364,True,True,True,True,True,auditable,,70,28,0.24299065420560748,0.7570093457943925
FR,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,183,0.20218579234972678,0.31693989071038253,0.40437158469945356,3.513988897149985,0.8164348868000015,33.58195594087164,broad_network_transition_distribution,0.4262295081967213,0.5081967213114754,0.5519125683060109,2.608112770932351,0.6934256861393873,13.573410529961402,-0.12300920066061427,0.12300920066061427,broad_corridor_observation_distribution,network_and_physical_both_broad,0.03278688524590164,True,True,True,True,True,auditable,,119,27,0.5519125683060109,0.44808743169398907
FR,Topology-IPv4-ICMP,resolved_entry_only,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,115,0.16521739130434782,0.31304347826086953,0.391304347826087,3.305941533109817,0.8408159063806603,27.27420907439879,broad_network_transition_distribution,0.4782608695652174,0.5304347826086957,0.5826086956521739,2.3287498181609485,0.6846852907498403,10.265100265828062,-0.15613061563081998,0.15613061563081998,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,67,18,0.6347826086956522,0.3652173913043478
GB,Topology-IPv4-ICMP,all_publicly_visible,5151,topology-baseline_topology-ipv4-icmp_msm5151_20260701T000000Z_010000Z.json,98,0.09183673469387756,0.15306122448979592,0.2142857142857143,3.6684007487449017,0.9284167239529147,39.18918236927178,broad_network_transition_distribution,0.47959183673469385,0.5408163265306122,0.5816326530612245,2.3917562525359957,0.6840414929727372,10.932677635229156,-0.24437523098017755,0.24437523098017755,broad_corridor_observation_distribution,network_and_physical_both_broad,0.05102040816326531,True,True,True,True,True,auditable,,65,36,0.6122448979591837,0.3877551020408163
