country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
AE,32,0.3125,0.625,0.75,1.5934032318284823,0.8892952760645766,4.920465952578201,broad_network_transition_distribution,0.34375,0.59375,0.84375,1.5150952343653756,0.8455907505364686,4.5498544087108215,-0.043704525528107996,0.043704525528107996,weak_corridor_observation_concentration,network_and_physical_both_broad,0.3125,False,True,True,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,11,8,0.40625,0.59375,transition_near_country
AL,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0,transition_near_country
AO,1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
AU,586,0.6040955631399317,0.6911262798634812,0.7747440273037542,1.6024447039016907,0.511066069189617,4.965155935247284,broad_network_transition_distribution,0.590443686006826,0.7218430034129693,0.8139931740614335,1.348071881663785,0.6927719053822899,3.8499951234548435,0.181705836192673,-0.181705836192673,weak_corridor_observation_concentration,network_and_physical_both_broad,0.09556313993174062,True,True,True,True,True,auditable,,176,57,0.8327645051194539,0.16723549488054607,transition_near_country
AX,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
BH,6,0.6666666666666666,1.0,1.0,0.6365141682948128,0.9182958340544894,1.8898815748423097,moderate_network_transition_concentration,0.3333333333333333,0.6666666666666666,1.0,1.0986122886681096,0.9999999999999998,2.9999999999999996,0.08170416594551033,-0.08170416594551033,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.3333333333333333,0.6666666666666666,transition_near_country
BJ,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,0.0,1.0,transition_near_country
BR,1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
CA,272,0.21691176470588236,0.43014705882352944,0.5955882352941176,2.3031904893669233,0.7688238731141787,10.006055796622475,broad_network_transition_distribution,0.5963235294117647,0.9382352941176471,0.9823529411764705,0.9086181504355977,0.46693736135592245,2.480891944199205,-0.3018865117582562,0.3018865117582562,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.16544117647058823,True,True,True,True,True,auditable,,61,18,0.5845588235294117,0.4154411764705883,transition_near_country
CM,1,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
CN,3,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,1.0,-1.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1.0,0.0,transition_near_country
CO,5,0.6,1.0,1.0,0.6730116670092565,0.9709505944546688,1.9601317042077895,moderate_network_transition_concentration,0.6,1.0,1.0,0.6730116670092565,0.9709505944546688,1.9601317042077895,0.0,0.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0,transition_near_country
CW,4,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.0,1.0,transition_near_country
CY,20,0.45,0.65,0.8500000000000001,1.3831487512487415,0.8593986388433457,3.987437329504385,weak_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.8593986388433457,0.8593986388433457,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.45,False,False,False,False,False,"insufficient_minimum_mappable_segments,maximum_country_fallback_share","minimum_mappable_segments,maximum_country_fallback_share",11,6,0.0,1.0,transition_near_country
DJ,6,0.5,0.8333333333333333,1.0,1.0114042647073518,0.920619835714305,2.7494592739972052,moderate_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,0.07938016428569505,-0.07938016428569505,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.5,False,False,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",4,3,0.0,1.0,transition_near_country
DK,339,0.1887905604719764,0.36578171091445427,0.4896755162241888,2.577145457680537,0.7734055487323716,13.159520087019931,broad_network_transition_distribution,0.9970501474926253,0.9985250737463126,1.0,0.022176020381333962,0.020185483641566408,1.022423736048305,-0.7532200650908052,0.7532200650908052,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.05014749262536873,True,True,True,True,True,auditable,,83,30,0.9705014749262537,0.029498525073746312,transition_near_country
DO,8,0.5,0.75,1.0,1.0397207708399179,0.946394630357186,2.82842712474619,weak_network_transition_concentration,0.5,1.0,1.0,0.6931471805599453,1.0,2.0,0.05360536964281404,-0.05360536964281404,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0,transition_near_country
EE,33,0.3939393939393939,0.6666666666666666,0.8181818181818181,1.443227981551174,0.8967279634716994,4.234342158446738,weak_network_transition_concentration,0.36363636363636365,0.7272727272727273,1.0,1.0900596587107838,0.992215060722018,2.9744515192128187,0.09548709725031868,-0.09548709725031868,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.09090909090909091,True,True,True,True,True,auditable,,19,11,0.0,1.0,transition_near_country
ES,116,0.4482758620689655,0.7931034482758621,0.896551724137931,1.3456989792242378,0.6471444146187161,3.840870291084222,weak_network_transition_concentration,0.9482758620689655,0.9827586206896551,0.9913793103448276,0.24843486626459432,0.17920787477192154,1.282017317073118,-0.4679365398467945,0.4679365398467945,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.008620689655172414,True,True,True,True,True,auditable,,61,23,0.05172413793103448,0.9482758620689655,transition_near_country
FI,124,0.3951612903225806,0.6612903225806451,0.7419354838709677,1.7411196070964277,0.7261032735030674,5.703725780998936,broad_network_transition_distribution,0.35080645161290325,0.7016129032258065,0.903225806451613,1.327424771032465,0.8247753832422643,3.7713188619239366,0.09867210973919693,-0.09867210973919693,weak_corridor_observation_concentration,network_and_physical_both_broad,0.07258064516129033,True,True,True,True,True,auditable,,54,18,0.29838709677419356,0.7016129032258065,transition_near_country
FJ,6,0.5,0.8333333333333333,1.0,1.0114042647073518,0.920619835714305,2.7494592739972052,moderate_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,-0.920619835714305,0.920619835714305,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.16666666666666666,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0,transition_near_country
FR,11,0.5454545454545454,0.8181818181818181,1.0,0.9949236325717752,0.9056185178648963,2.7045177963242053,moderate_network_transition_concentration,0.5454545454545454,0.8181818181818181,0.9090909090909091,1.1209503926735833,0.8085947862963575,3.0677684028710237,-0.09702373156853883,0.09702373156853883,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.0,1.0,transition_near_country
GG,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
GH,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,-0.0,0.0,1.0,0.0,0.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,transition_near_country
GP,2,1.0,1.0,1.0,-0.0,0.0,1.0,severe_network_transition_concentration,0.25,0.5,0.75,1.3862943611198906,1.0,4.0,1.0,-1.0,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0,transition_near_country
GU,4,0.75,1.0,1.0,0.5623351446188083,0.8112781244591328,1.7547653506033232,moderate_network_transition_concentration,0.375,0.75,1.0,1.0821955300387673,0.9850568223215079,2.9511517858675242,0.1737786978623751,-0.1737786978623751,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0,transition_near_country
HK,191,0.2670157068062827,0.4502617801047121,0.5706806282722513,2.320339623666897,0.7621358262683582,10.179130792813439,broad_network_transition_distribution,0.23036649214659685,0.4607329842931937,0.6910994764397905,1.597951842415771,0.7272592246137306,4.942898215241534,-0.03487660165462758,0.03487660165462758,broad_corridor_observation_distribution,network_and_physical_both_broad,0.04712041884816754,True,True,True,True,True,auditable,,114,61,0.06806282722513089,0.9319371727748691,transition_near_country
