probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
AD,6,6,0,0.0,1.0,1,3,1,1,1
AE,33,33,10,0.30303030303030304,1.0,1,20,14,3,1
AF,9,8,0,0.0,0.8888888888888888,1,5,2,2,1
AL,45,41,4,0.08888888888888889,0.9111111111111111,1,23,14,2,1
AM,27,27,0,0.0,1.0,1,14,7,1,1
AO,18,18,7,0.3888888888888889,1.0,1,10,4,3,1
AR,97,94,1,0.010309278350515464,0.9690721649484536,1,52,40,3,2
AT,384,366,8,0.020833333333333332,0.953125,1,204,81,4,2
AU,459,354,246,0.5359477124183006,0.7712418300653595,1,238,71,6,2
AX,4,4,4,1.0,1.0,1,2,2,1,1
AZ,17,10,0,0.0,0.5882352941176471,1,9,8,1,1
BA,30,26,0,0.0,0.8666666666666667,1,15,6,2,2
BB,2,2,1,0.5,1.0,1,1,1,1,1
BD,18,16,0,0.0,0.8888888888888888,1,9,6,1,1
BE,287,266,0,0.0,0.926829268292683,1,146,25,3,2
BF,7,6,0,0.0,0.8571428571428571,1,4,3,1,1
BG,156,152,0,0.0,0.9743589743589743,1,83,51,4,2
BH,10,6,4,0.4,0.6,1,5,2,1,1
BI,2,2,2,1.0,1.0,1,1,1,1,1
BJ,14,14,6,0.42857142857142855,1.0,1,7,4,2,1
BL,2,2,0,0.0,1.0,1,1,1,1,1
BO,33,33,20,0.6060606060606061,1.0,1,17,9,2,1
BR,165,158,20,0.12121212121212122,0.9575757575757575,1,87,58,3,2
BT,4,2,0,0.0,0.5,1,2,2,1,1
BW,2,2,0,0.0,1.0,1,1,1,1,1
BY,45,45,0,0.0,1.0,1,23,14,2,1
BZ,2,2,2,1.0,1.0,1,1,1,1,1
CA,526,510,109,0.20722433460076045,0.9695817490494296,1,269,85,5,2
CD,6,6,1,0.16666666666666666,1.0,1,3,3,1,1
CG,4,4,0,0.0,1.0,1,2,2,2,1
CH,623,606,134,0.21508828250401285,0.9727126805778491,1,323,81,4,2
CI,2,2,0,0.0,1.0,1,1,1,1,1
CK,2,2,2,1.0,1.0,1,1,1,1,1
CL,148,148,6,0.04054054054054054,1.0,1,76,33,2,1
CM,3,3,1,0.3333333333333333,1.0,1,2,2,1,1
CN,96,55,12,0.125,0.5729166666666666,1,50,23,24,4
CO,55,52,17,0.3090909090909091,0.9454545454545454,1,29,21,2,2
CR,28,24,0,0.0,0.8571428571428571,1,15,8,1,1
CU,2,2,2,1.0,1.0,1,1,1,1,1
CV,8,6,0,0.0,0.75,1,4,2,1,1
CW,4,4,1,0.25,1.0,1,2,2,1,1
CY,23,23,14,0.6086956521739131,1.0,1,12,6,1,1
CZ,535,523,0,0.0,0.9775700934579439,1,275,111,4,2
DE,3082,2960,16,0.005191434133679429,0.9604153147306943,1,1585,373,6,2
DJ,4,4,1,0.25,1.0,1,3,2,1,1
DK,212,203,83,0.3915094339622642,0.9575471698113207,1,108,35,4,2
DO,16,16,2,0.125,1.0,1,9,7,1,1
DZ,2,2,0,0.0,1.0,1,1,1,1,1
EC,45,43,0,0.0,0.9555555555555556,1,24,19,1,1
EE,70,61,33,0.4714285714285714,0.8714285714285714,1,38,22,3,1
EG,4,4,0,0.0,1.0,1,2,1,1,1
ES,446,427,93,0.2085201793721973,0.9573991031390134,1,228,73,4,2
ET,2,2,2,1.0,1.0,1,1,1,1,1
FI,268,258,97,0.3619402985074627,0.9626865671641791,1,141,50,4,2
FJ,4,2,2,0.5,0.5,1,2,2,2,1
FM,3,3,3,1.0,1.0,1,2,1,2,1
