country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum,country_fallback_share,sufficient_network_transition_resolution
DK,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,339.0,339.0,3.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9970501474926253,0.9985250737463126,1.0,0.022176020381333962,0.020185483641566408,1.022423736048305,severe_corridor_observation_concentration,True,True,True,True,auditable,,83.0,30.0,1.0,0.9705014749262537,0.029498525073746312,country_corridor_concentration_summary,,,,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,318.0,318.0,8.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9716981132075472,0.9779874213836478,0.9842767295597484,0.17699157234868376,0.08511495456886209,1.1936210336628745,severe_corridor_observation_concentration,True,True,True,True,auditable,,75.0,27.0,1.0,0.9685534591194969,0.031446540880503145,service_country_corridor_concentration_summary,DK,Wikipedia,all_publicly_visible,0.05345911949685535,True
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,318.0,318.0,8.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.9716981132075472,0.9779874213836478,0.9842767295597484,0.17699157234868376,0.08511495456886209,1.1936210336628745,severe_corridor_observation_concentration,True,True,True,True,auditable,,75.0,27.0,1.0,0.9685534591194969,0.031446540880503145,service_country_corridor_concentration_summary,DK,Wikipedia,resolved_entry_only,0.05345911949685535,True
ES,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,116.0,116.0,4.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.9482758620689655,0.9827586206896551,0.9913793103448276,0.24843486626459432,0.17920787477192154,1.282017317073118,severe_corridor_observation_concentration,True,True,True,True,auditable,,61.0,23.0,1.0,0.05172413793103448,0.9482758620689655,country_corridor_concentration_summary,,,,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,105.0,105.0,4.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.9428571428571428,0.9809523809523809,0.9904761904761905,0.2686075634165332,0.1937593998431501,1.308141677651478,severe_corridor_observation_concentration,True,True,True,True,auditable,,54.0,18.0,1.0,0.05714285714285714,0.9428571428571428,service_country_corridor_concentration_summary,ES,Wikipedia,all_publicly_visible,0.009523809523809525,True
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,105.0,105.0,4.0,landing_region_08ea81d123b5::landing_region_8eb611963dd1,0.9428571428571428,0.9809523809523809,0.9904761904761905,0.2686075634165332,0.1937593998431501,1.308141677651478,severe_corridor_observation_concentration,True,True,True,True,auditable,,54.0,18.0,1.0,0.05714285714285714,0.9428571428571428,service_country_corridor_concentration_summary,ES,Wikipedia,resolved_entry_only,0.009523809523809525,True
PT,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,401.0,401.0,2.0,landing_region_343850da3642::landing_region_f7627feb3284,0.7855361596009975,1.0,1.0,0.5198111811522648,0.749929013247007,1.6817100811586179,moderate_corridor_observation_concentration,True,True,True,True,auditable,,71.0,22.0,1.0,0.7855361596009975,0.2144638403990025,country_corridor_concentration_summary,,,,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,357.0,357.0,3.0,landing_region_343850da3642::landing_region_f7627feb3284,0.7759103641456583,0.9747899159663865,1.0,0.6108502308556835,0.5560198417189024,1.8419968557502544,moderate_corridor_observation_concentration,True,True,True,True,auditable,,61.0,16.0,1.0,0.7759103641456583,0.22408963585434175,service_country_corridor_concentration_summary,PT,Wikipedia,all_publicly_visible,0.1400560224089636,True
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,350.0,350.0,3.0,landing_region_343850da3642::landing_region_f7627feb3284,0.7714285714285715,0.9742857142857143,1.0,0.6179353790676863,0.5624690215479323,1.8550940193629457,moderate_corridor_observation_concentration,True,True,True,True,auditable,,61.0,16.0,1.0,0.7714285714285715,0.22857142857142856,service_country_corridor_concentration_summary,PT,Wikipedia,resolved_entry_only,0.14285714285714285,True
PH,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,99.0,99.0,10.0,landing_region_76da986d22a9::landing_region_9430e1a9028b,0.7676767676767676,0.8686868686868686,0.8888888888888888,0.9679172582426601,0.420361124193712,2.63245601976026,moderate_corridor_observation_concentration,True,True,True,True,auditable,,49.0,25.0,1.0,0.1414141414141414,0.8585858585858586,country_corridor_concentration_summary,,,,,
MY,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,75.0,75.0,4.0,landing_region_af2b1cb46785::landing_region_d5376611ccce,0.76,0.84,0.92,0.8147468773673191,0.5877156397787998,2.2586038962236197,moderate_corridor_observation_concentration,True,True,True,True,auditable,,39.0,9.0,1.0,0.08,0.92,country_corridor_concentration_summary,,,,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,278.0,278.0,6.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.7446043165467626,0.8471223021582734,0.9496402877697843,0.8876760375307793,0.49542142948083173,2.429477072107565,moderate_corridor_observation_concentration,True,True,True,True,auditable,,54.0,22.0,1.0,0.9028776978417267,0.09712230215827339,service_country_corridor_concentration_summary,SE,Wikipedia,all_publicly_visible,0.014388489208633094,True
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,278.0,278.0,6.0,landing_region_d073d559153a::landing_region_e2b0cd002b0c,0.7446043165467626,0.8471223021582734,0.9496402877697843,0.8876760375307793,0.49542142948083173,2.429477072107565,moderate_corridor_observation_concentration,True,True,True,True,auditable,,54.0,22.0,1.0,0.9028776978417267,0.09712230215827339,service_country_corridor_concentration_summary,SE,Wikipedia,resolved_entry_only,0.014388489208633094,True
US,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,765.0,765.0,15.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.7241830065359477,0.8470588235294118,0.8753812636165577,1.1105072098454483,0.41007630116807214,3.035897841266243,moderate_corridor_observation_concentration,True,True,True,True,auditable,,220.0,80.0,1.0,0.9529411764705882,0.047058823529411764,country_corridor_concentration_summary,,,,,
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,650.0,650.0000000000001,25.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.6892307692307692,0.8338461538461538,0.864102564102564,1.2545006295907932,0.3897325332958937,3.5060871009616013,moderate_corridor_observation_concentration,True,True,True,True,auditable,,145.0,60.0,1.0,0.9846153846153847,0.015384615384615382,service_country_corridor_concentration_summary,US,Wikipedia,all_publicly_visible,0.10307692307692308,True
,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,650.0,650.0000000000001,25.0,landing_region_08d221ee162c::landing_region_b451e83206f9,0.6892307692307692,0.8338461538461538,0.864102564102564,1.2545006295907932,0.3897325332958937,3.5060871009616013,moderate_corridor_observation_concentration,True,True,True,True,auditable,,145.0,60.0,1.0,0.9846153846153847,0.015384615384615382,service_country_corridor_concentration_summary,US,Wikipedia,resolved_entry_only,0.10307692307692308,True
MV,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,60.0,60.0,4.0,landing_region_05d4f4227b7d::landing_region_946d8574d05e,0.6833333333333333,0.9666666666666667,0.9833333333333334,0.7539932024915625,0.5438911270492827,2.125470527330243,moderate_corridor_observation_concentration,True,True,True,True,auditable,,10.0,3.0,1.0,0.6833333333333333,0.31666666666666665,country_corridor_concentration_summary,,,,,
CA,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,272.0,271.99999999999994,7.0,landing_region_82a1b23200f3::landing_region_c94f4fef1bdd,0.5963235294117647,0.9382352941176471,0.9823529411764705,0.9086181504355977,0.46693736135592245,2.480891944199205,moderate_corridor_observation_concentration,True,True,True,True,auditable,,61.0,18.0,1.0,0.5845588235294117,0.4154411764705883,country_corridor_concentration_summary,,,,,
