probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
PH,Wikipedia,popular_web,distributed,resolved_entry_only,103,103,82,0.7961165048543689,0.7961165048543689,0.7961165048543689,0.6019417475728155,0.6310679611650486,0.04854368932038835,82,0.7961165048543689,1.0,55,31,3,1,1.0,True,0.03680981595092025,True,True,auditable,
PH,Wikipedia,popular_web,distributed,all_publicly_visible,112,103,82,0.7321428571428571,0.7321428571428571,0.7321428571428571,0.5535714285714286,0.5803571428571429,0.044642857142857144,82,0.7321428571428571,0.9196428571428571,59,33,4,2,0.9196428571428571,True,0.03680981595092025,True,True,auditable,
AU,Wikipedia,popular_web,distributed,resolved_entry_only,354,354,246,0.6949152542372882,0.6949152542372882,0.6949152542372882,0.6384180790960452,0.1638418079096045,0.02824858757062147,246,0.6949152542372882,1.0,188,68,5,1,1.0,True,0.2053742802303263,True,True,auditable,
HK,Wikipedia,popular_web,distributed,resolved_entry_only,88,88,57,0.6477272727272727,0.6477272727272727,0.6477272727272727,0.045454545454545456,0.6136363636363636,0.06818181818181818,57,0.6477272727272727,1.0,47,30,3,1,1.0,True,0.09230769230769231,True,True,auditable,
VN,Wikipedia,popular_web,distributed,all_publicly_visible,46,46,28,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.0,0.6086956521739131,0.0,28,0.6086956521739131,1.0,24,13,1,1,1.0,True,0.0,True,True,auditable,
VN,Wikipedia,popular_web,distributed,resolved_entry_only,46,46,28,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.0,0.6086956521739131,0.0,28,0.6086956521739131,1.0,24,13,1,1,1.0,True,0.0,True,True,auditable,
NZ,Wikipedia,popular_web,distributed,resolved_entry_only,171,171,104,0.6081871345029239,0.6549707602339181,0.6081871345029239,0.49707602339181284,0.49122807017543857,0.05263157894736842,104,0.6081871345029239,1.0,89,32,3,1,1.0,True,0.0027247956403269754,True,True,auditable,
HK,Wikipedia,popular_web,distributed,all_publicly_visible,97,88,57,0.5876288659793815,0.5876288659793815,0.5876288659793815,0.041237113402061855,0.5567010309278351,0.061855670103092786,57,0.5876288659793815,0.9072164948453608,49,32,4,2,0.9072164948453608,True,0.09230769230769231,True,True,auditable,
NZ,Wikipedia,popular_web,distributed,all_publicly_visible,187,171,104,0.5561497326203209,0.5989304812834224,0.5561497326203209,0.45454545454545453,0.44919786096256686,0.0481283422459893,104,0.5561497326203209,0.9144385026737968,97,32,3,1,0.9144385026737968,True,0.0027247956403269754,True,True,auditable,
EE,Wikipedia,popular_web,distributed,resolved_entry_only,61,61,33,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.03278688524590164,0.5081967213114754,0.0,33,0.5409836065573771,1.0,34,20,2,1,1.0,True,0.07894736842105263,True,True,auditable,
