probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AU,Wikipedia,all_publicly_visible,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,975,0.23794871794871794,0.4471794871794872,0.5230769230769231,2.628369910173835,0.7174356989326398,13.851172833591384,broad_network_transition_distribution,0.5917948717948718,0.7876923076923077,0.8666666666666667,1.222024067484307,0.6279961426161258,3.3940505732584794,-0.08943955631651401,0.08943955631651401,weak_corridor_observation_concentration,network_and_physical_both_broad,0.28615384615384615,True,True,True,True,True,auditable,,199,67,0.9271794871794872,0.07282051282051281
AU,Wikipedia,resolved_entry_only,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,975,0.23794871794871794,0.4471794871794872,0.5230769230769231,2.628369910173835,0.7174356989326398,13.851172833591384,broad_network_transition_distribution,0.5917948717948718,0.7876923076923077,0.8666666666666667,1.222024067484307,0.6279961426161258,3.3940505732584794,-0.08943955631651401,0.08943955631651401,weak_corridor_observation_concentration,network_and_physical_both_broad,0.28615384615384615,True,True,True,True,True,auditable,,199,67,0.9271794871794872,0.07282051282051281
CA,Wikipedia,all_publicly_visible,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,288,0.2013888888888889,0.3854166666666667,0.5416666666666667,2.490146653290788,0.7835445169341757,12.063045075987288,broad_network_transition_distribution,0.5451388888888888,0.9166666666666666,0.9930555555555556,0.92958372644806,0.6705529161188495,2.533454348044122,-0.11299160081532622,0.11299160081532622,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.16319444444444445,True,True,True,True,True,auditable,,69,24,0.5798611111111112,0.4201388888888889
CA,Wikipedia,resolved_entry_only,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,288,0.2013888888888889,0.3854166666666667,0.5416666666666667,2.490146653290788,0.7835445169341757,12.063045075987288,broad_network_transition_distribution,0.5451388888888888,0.9166666666666666,0.9930555555555556,0.92958372644806,0.6705529161188495,2.533454348044122,-0.11299160081532622,0.11299160081532622,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.16319444444444445,True,True,True,True,True,auditable,,69,24,0.5798611111111112,0.4201388888888889
CN,Wikipedia,all_publicly_visible,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,42,0.30952380952380953,0.40476190476190477,0.5,2.266790402013461,0.8837563967566378,9.648383631679172,broad_network_transition_distribution,0.5714285714285714,0.738095238095238,0.8333333333333333,1.3208061419866646,0.737155943456913,3.746440323092853,-0.1466004532997247,0.1466004532997247,weak_corridor_observation_concentration,network_and_physical_both_broad,0.11904761904761904,True,True,True,True,True,auditable,,14,10,0.7857142857142857,0.21428571428571427
CN,Wikipedia,resolved_entry_only,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,39,0.3333333333333333,0.4358974358974359,0.5384615384615384,2.164046512351909,0.8708763818296894,8.706296611697653,broad_network_transition_distribution,0.6153846153846154,0.7948717948717949,0.8974358974358975,1.1452942323230508,0.7116113168919437,3.143366100697736,-0.15926506493774573,0.15926506493774573,weak_corridor_observation_concentration,network_and_physical_both_broad,0.1282051282051282,True,True,True,True,True,auditable,,11,9,0.7692307692307693,0.23076923076923078
EE,Wikipedia,all_publicly_visible,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,38,0.34210526315789475,0.6052631578947368,0.8421052631578947,1.460299646437568,0.9073351852567106,4.307249987109216,weak_network_transition_concentration,0.7631578947368421,1.0,1.0,0.5474124685254984,0.7897492536625224,1.7287739684700894,-0.11758593159418829,0.11758593159418829,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.07894736842105263,True,True,True,True,True,auditable,,19,11,0.0,1.0
EE,Wikipedia,resolved_entry_only,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,38,0.34210526315789475,0.6052631578947368,0.8421052631578947,1.460299646437568,0.9073351852567106,4.307249987109216,weak_network_transition_concentration,0.7631578947368421,1.0,1.0,0.5474124685254984,0.7897492536625224,1.7287739684700894,-0.11758593159418829,0.11758593159418829,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.07894736842105263,True,True,True,True,True,auditable,,19,11,0.0,1.0
ES,Wikipedia,all_publicly_visible,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,101,0.40594059405940597,0.801980198019802,0.9207920792079208,1.282823640578987,0.6592409424462703,3.606809694858331,moderate_network_transition_concentration,0.9801980198019802,1.0,1.0,0.09726745224280113,0.14032727099059328,1.1021551080611258,-0.518913671455677,0.518913671455677,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.009900990099009901,True,True,True,True,True,auditable,,52,17,0.019801980198019802,0.9801980198019802
ES,Wikipedia,resolved_entry_only,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,101,0.40594059405940597,0.801980198019802,0.9207920792079208,1.282823640578987,0.6592409424462703,3.606809694858331,moderate_network_transition_concentration,0.9801980198019802,1.0,1.0,0.09726745224280113,0.14032727099059328,1.1021551080611258,-0.518913671455677,0.518913671455677,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.009900990099009901,True,True,True,True,True,auditable,,52,17,0.019801980198019802,0.9801980198019802
