summary_group,cross_layer_distribution_class,unit_count,unit_share,total_group_units
Applications,network_and_physical_both_broad,13,0.3023255813953488,43
Applications,network_and_physical_both_concentrated,5,0.11627906976744186,43
Applications,network_broad_physical_concentrated,25,0.5813953488372093,43
DNS Roots,network_and_physical_both_broad,54,0.31952662721893493,169
DNS Roots,network_and_physical_both_concentrated,28,0.16568047337278108,169
DNS Roots,network_broad_physical_concentrated,87,0.514792899408284,169
Service-facing combined,network_and_physical_both_broad,67,0.3160377358490566,212
Service-facing combined,network_and_physical_both_concentrated,33,0.15566037735849056,212
Service-facing combined,network_broad_physical_concentrated,112,0.5283018867924528,212
Topology references,network_and_physical_both_broad,80,0.963855421686747,83
Topology references,network_broad_physical_concentrated,3,0.03614457831325301,83
