landing_region_id,landing_region_label,landing_station_count,region_diameter_km,configured_maximum_diameter_km,diameter_within_configured_maximum,configured_radius_km,diameter_within_configured_radius,region_assignment_methods,landing_station_ids
landing_region_004115a5edfc,"Klaipeda, Lithuania",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""klaipeda-lithuania""]"
landing_region_0074f164da96,"Mumbai, India",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""mumbai-india""]"
landing_region_00988b1e1ee9,"Preveza, Greece",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""preveza-greece""]"
landing_region_009c537762f0,"Dongyin, Taiwan",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""dongyin-taiwan""]"
landing_region_00c458c2b5c8,"Palompon, Philippines",2,24.12529489628604,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ormoc-philippines"", ""palompon-philippines""]"
landing_region_00d4cd5b696d,"Kalemie, Congo, Dem. Rep.",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kalemie-congo-dem-rep-""]"
landing_region_010aeea39f91,"Banyu Urip, Indonesia",3,14.698825174469448,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""banyu-urip-indonesia"", ""gresik-indonesia"", ""surabaya-indonesia""]"
landing_region_0154ac1fee30,"Tripoli, Libya",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""tripoli-libya""]"
landing_region_016097ac5724,"Tympaki, Greece",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""tympaki-greece""]"
landing_region_01613167ddff,"Pulau Perhentian Kecil, Malaysia",3,23.72427666357425,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kampung-raja-malaysia"", ""pulau-perhentian-besar-malaysia"", ""pulau-perhentian-kecil-malaysia""]"
landing_region_018bcce81392,"Borba, Brazil",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""borba-brazil""]"
landing_region_018ed5849946,"Sao Tome, Sao Tome and Principe",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""sao-tome-sao-tome-and-principe""]"
landing_region_026bb6041f11,"Hachijo, Japan",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""hachijo-japan""]"
landing_region_02cd140ae638,"Teluk, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""teluk-indonesia""]"
landing_region_03018c62011c,"Yate, New Caledonia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""yate-new-caledonia""]"
landing_region_03056283037d,"Ventotene, Italy",2,2.2657194917307044,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""santo-stefano-italy"", ""ventotene-italy""]"
landing_region_0369c5ba2c1c,"Cumaná, Venezuela",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""cuman-venezuela""]"
landing_region_0389fb1be871,"Havelet Bay, Guernsey",4,9.699872414780316,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""havelet-bay-guernsey"", ""lancresse-bay-guernsey"", ""pembroke-guernsey"", ""saints-bay-guernsey""]"
landing_region_03a3c4467b7e,"Nome, AK, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""nome-ak-united-states""]"
landing_region_03b120eb3dc3,"Sape, Indonesia",2,25.84943577733942,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bima-indonesia"", ""sape-indonesia""]"
landing_region_04269067e649,"Songkhla, Thailand",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""songkhla-thailand""]"
landing_region_04462a045ffd,"Bastia, France",2,12.150996802159359,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bastia-france"", ""st-florent-france""]"
landing_region_047255f97e15,"Boca Raton, FL, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""boca-raton-fl-united-states""]"
landing_region_04a5b4bc2547,"Gallows Bay, Bonaire, Sint Eustatius and Saba",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""gallows-bay-bonaire-sint-eustatius-and-saba""]"
landing_region_04cd51c6609e,"Puger, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""puger-indonesia""]"
landing_region_04d22ee1208c,"Genoa, Italy",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""genoa-italy""]"
landing_region_04d7ac3b394e,"Uvira, Congo, Dem. Rep.",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""uvira-congo-dem-rep-""]"
landing_region_05364bcc7756,"Salmon Beach, BC, Canada",4,15.171265679294097,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""macoah-bc-canada"", ""salmon-beach-bc-canada"", ""toquaht-bay-bc-canada"", ""ucluelet-bc-canada""]"
landing_region_0540c8f10892,"Little Andaman, India",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""little-andaman-india""]"
landing_region_0575a17deb36,"Rørvik, Norway",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""rrvik-norway""]"
landing_region_057e600cacb0,"Teriberka, Russia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""teriberka-russia""]"
landing_region_0595a7175b82,"Ardmair, United Kingdom",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ardmair-united-kingdom""]"
landing_region_05a5445633a9,"Al Khobar, Saudi Arabia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""al-khobar-saudi-arabia""]"
landing_region_05d4f4227b7d,"Ithaafushi, Maldives",3,25.086725317980605,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""ithaafushi-maldives"", ""maafushi-maldives"", ""male-maldives""]"
landing_region_063bd0144968,"Berbera, Somalia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""berbera-somalia""]"
landing_region_06879a622368,"Le Porge, France",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""le-porge-france""]"
landing_region_069f1cd0a78f,"Tainan, Taiwan",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""tainan-taiwan""]"
landing_region_06c447394fa3,"Hollis, AK, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""hollis-ak-united-states""]"
landing_region_06ebfe063016,"Juelsminde, Denmark",2,16.73653687869383,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bogense-denmark"", ""juelsminde-denmark""]"
landing_region_0712d7194ee9,"Kwakiutl (Cluxewe), BC, Canada",3,26.01293496970785,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""kwakiutl-cluxewe-bc-canada"", ""port-hardy-bc-canada"", ""pulteney-point-bc-canada""]"
landing_region_071eb1b3f10e,"Holyhead, United Kingdom",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""holyhead-united-kingdom""]"
landing_region_0740197af8d6,"Åheim, Norway",2,11.237857907897883,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""heim-norway"", ""lefdal-norway""]"
landing_region_077347b14027,"Telisai, Brunei",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""telisai-brunei""]"
landing_region_07c15c5c24ef,"Calatrava, Philippines",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""calatrava-philippines""]"
landing_region_07e9af2eb3bc,"Skagway, AK, United States",2,25.834276447592284,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""haines-ak-united-states"", ""skagway-ak-united-states""]"
landing_region_08a3e371f791,"Bosaso, Somalia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bosaso-somalia""]"
landing_region_08ab5d7ae73f,"Wilhelmshaven, Germany",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""wilhelmshaven-germany""]"
landing_region_08d221ee162c,"Clinton, WA, United States",5,17.918066980149657,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""clinton-wa-united-states"", ""everett-wa-united-states"", ""harbour-pointe-wa-united-states"", ""hat-island-wa-united-states"", ""maxwelton-wa-united-states""]"
landing_region_08ea81d123b5,"Marseille, France",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""marseille-france""]"
landing_region_09a4b76c28fd,"Saltcoats, United Kingdom",2,13.223461511143569,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""saltcoats-united-kingdom"", ""troon-united-kingdom""]"
landing_region_09d9f94c7c1e,"Virginia Beach, VA, United States",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""virginia-beach-va-united-states""]"
